,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-3.9,,0.6,,,,,,,
1,1980-02,-2.8,,1.8,,,,,,,
2,1980-03,5.4,,,,,,,,,
3,1980-04,10.2,,,,,,,,,
4,1980-05,16.7,,22.2,,,,,,,
5,1980-06,21.4,,,,,,,,,
6,1980-07,22.8,,26.7,,,,,,,
7,1980-08,22.8,,26.7,,,,,,,
8,1980-09,19.5,,,,,,,,,
9,1980-10,12.8,,18.7,,,,,,,
10,1980-11,8.6,,13.6,,,,,,,
11,1980-12,-3.8,,,,,,,,,
12,1981-01,-6.9,,-2.5,,,,,,,
13,1981-02,-1.5,,,,,,,,,
14,1981-03,5.8,,11.5,,,,,,,
15,1981-04,12.0,,17.7,,,,,,,
16,1981-05,15.9,,20.9,,,,,,,
17,1981-06,22.0,,26.9,,,,,,,
18,1981-07,25.5,,,,,,,,,
19,1981-08,24.5,,,,,,,,,
20,1981-09,20.0,,,,,,,,,
21,1981-10,13.2,,,,,,,,,
22,1981-11,3.6,,,,,,,,,
23,1981-12,0.1,,,,,,,,,
24,1982-01,-3.6,,,,,,,,,
25,1982-02,0.7,,,,,,,,,
26,1982-03,6.0,,,,,,,,,
27,1982-04,12.4,,18.1,,,,,,,
28,1982-05,17.9,,,,,,,,,
29,1982-06,21.9,,,,,,,,,
30,1982-07,25.1,,,,,,,,,
31,1982-08,25.3,,29.2,,,,,,,
32,1982-09,20.6,,,,,,,,,
33,1982-10,15.7,,21.8,,,,,,,
34,1982-11,7.8,,,,,,,,,
35,1982-12,-0.1,,,,,,,,,
36,1983-01,-1.6,,,,,,,,,
37,1983-02,-1.6,,,,,,,,,
38,1983-03,6.4,,11.3,,,,,,,
39,1983-04,13.5,,,,,,,,,
40,1983-05,18.5,,,,,,,,,
41,1983-06,22.3,,,,,,,,,
42,1983-07,23.6,,27.0,,,,,,,
43,1983-08,26.0,,,,,,,,,
44,1983-09,21.8,,26.1,,,,,,,
45,1983-10,14.0,,,,,,,,,
46,1983-11,6.6,,,,,,,,,
47,1983-12,-1.2,,,,,,,,,
48,1984-01,-5.8,,,,,,,,,
49,1984-02,-3.4,,1.3,,,,,,,
50,1984-03,2.6,,,,,,,,,
51,1984-04,12.1,,,,,,,,,
52,1984-05,18.2,,,,,,,,,
53,1984-06,22.6,,,,,,,,,
54,1984-07,25.3,,,,,,,,,
55,1984-08,26.2,,,,,,,,,
56,1984-09,20.0,,,,,,,,,
57,1984-10,13.7,,,,,,,,,
58,1984-11,8.0,,,,,,,,,
59,1984-12,-1.0,,,,,,,,,
60,1985-01,-5.8,,,,,,,,,
61,1985-02,-0.3,,4.2,,,,,,,
62,1985-03,4.3,,9.5,,,,,,,
63,1985-04,11.8,,,,,,,,,
64,1985-05,18.0,,23.6,,,,,,,
65,1985-06,22.1,,,,,,,,,
66,1985-07,25.3,,29.2,,,,,,,
67,1985-08,26.2,,,,,,,,,
68,1985-09,20.0,,,,,,,,,
69,1985-10,14.7,,,,,,,,,
70,1985-11,5.5,,9.6,,,,,,,
71,1985-12,-3.4,,,,,,,,,
72,1986-01,-5.5,,,,,,,,,
73,1986-02,-3.2,,0.6,,,,,,,
74,1986-03,5.1,,10.2,,,,,,,
75,1986-04,11.9,,17.8,,,,,,,
76,1986-05,17.0,,22.5,,,,,,,
77,1986-06,21.8,,26.3,,,,,,,
78,1986-07,23.4,,27.0,,,,,,,
79,1986-08,24.4,,28.3,,,,,,,
80,1986-09,19.9,,,,,,,,,
81,1986-10,12.7,,,,,,,,,
82,1986-11,5.2,,,,,,,,,
83,1986-12,1.8,,,,,,,,,
84,1987-01,-3.0,,,,,,,,,
85,1987-02,-0.1,,,,,,,,,
86,1987-03,4.1,,8.6,,,,,,,
87,1987-04,10.8,,,,,,,,,
88,1987-05,17.0,,,,,,,,,
89,1987-06,22.4,,,,,,,,,
90,1987-07,23.7,,27.1,,,,,,,
91,1987-08,24.4,,,,,,,,,
92,1987-09,19.9,,,,,,,,,
93,1987-10,15.4,,,,,,,,,
94,1987-11,7.3,,,,,,,,,
95,1987-12,0.9,,,,,,,,,
96,1988-01,-2.1,,,,,,,,,
97,1988-02,-1.4,,,,,,,,,
98,1988-03,4.4,,8.8,,,,,,,
99,1988-04,11.3,,,,,,,,,
100,1988-05,17.8,,,,,,,,,
101,1988-06,22.2,,,,,,,,,
102,1988-07,24.3,,,,,,,,,
103,1988-08,26.3,,31.0,,,,,,,
104,1988-09,21.3,,,,,,,,,
105,1988-10,14.8,,,,,,,,,
106,1988-11,5.3,,,,,,,,,
107,1988-12,0.2,,,,,,,,,
108,1989-01,0.8,,,,,,,,,
109,1989-02,2.5,,7.1,,,,,,,
110,1989-03,6.2,,,,,,,,,
111,1989-04,14.4,,,,,,,,,
112,1989-05,18.0,,,,,,,,,
113,1989-06,21.1,,,,,,,,,
114,1989-07,24.5,,,,,,,,,
115,1989-08,25.5,,,,,,,,,
116,1989-09,20.6,,,,,,,,,
117,1989-10,13.6,,18.8,,,,,,,
118,1989-11,7.0,,,,,,,,,
119,1989-12,1.5,,,,,,,,,
120,1990-01,-3.2,,0.2,,,,,,,
121,1990-02,2.8,,,,,,,,,
122,1990-03,7.2,,,,,,,,,
123,1990-04,11.3,,16.2,,,,,,,
