,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.8,20.5,37.8,2.0,,,,,1006.6,18180.0
1,1980-02,30.8,24.1,39.5,3.0,,,,,1004.3,15240.0
2,1980-03,28.8,24.1,37.4,22.0,,,,,1005.6,12300.0
3,1980-04,28.1,24.4,36.1,51.0,,,,,1006.0,11100.0
4,1980-05,,23.0,32.2,202.0,,,,,,
5,1980-06,25.3,22.1,31.4,103.0,,,,,1010.9,12540.0
6,1980-07,24.3,21.5,30.6,165.0,,,,,1011.2,12360.0
7,1980-08,23.9,20.6,30.6,206.0,,,,,1010.9,12720.0
8,1980-09,26.3,21.4,33.3,35.0,,,,,1009.6,15060.0
9,1980-10,26.1,21.4,35.2,88.0,,,,,1008.4,15900.0
10,1980-11,25.5,20.4,33.9,103.0,,,,,1008.0,
11,1980-12,,19.5,35.7,0.0,,,,,,
12,1981-01,27.2,20.2,37.7,0.0,,,,,1006.9,18060.0
13,1981-02,27.0,21.0,37.9,15.0,,,,,1006.3,14940.0
14,1981-03,,23.9,35.7,74.0,,,,,1006.4,11220.0
15,1981-04,,24.2,36.2,49.0,,,,,,
16,1981-05,28.1,22.8,33.5,96.0,,,,,1008.5,14520.0
17,1981-06,25.9,21.8,32.9,100.0,,,,,1010.1,12660.0
18,1981-07,24.1,20.8,30.4,103.0,,,,,1011.1,
19,1981-08,,21.0,31.5,121.0,,,,,,
20,1981-09,24.6,20.8,32.2,173.0,,,,,1010.1,12540.0
21,1981-10,27.4,21.1,35.1,18.0,,,,,1007.9,
22,1981-11,27.0,20.4,35.2,73.0,,,,,1008.1,15720.0
23,1981-12,25.2,20.3,37.8,2.0,,,,,1008.9,16680.0
24,1982-01,29.5,22.0,37.5,15.0,,,,,1006.3,16560.0
25,1982-02,28.8,20.4,37.3,0.0,,,,,1006.7,
26,1982-03,30.9,23.9,38.6,18.0,,,,,1005.1,14220.0
27,1982-04,29.0,24.2,35.7,111.0,,,,,1006.5,10440.0
28,1982-05,27.0,22.8,33.0,244.0,,,,,1008.5,13440.0
29,1982-06,25.9,21.9,31.5,213.0,,,,,1010.8,13680.0
30,1982-07,25.1,21.3,30.8,76.0,,,,,1010.7,
31,1982-08,,20.8,30.6,117.0,,,,,1013.0,6360.0
32,1982-09,25.0,21.4,33.5,69.0,,,,,1009.5,14700.0
33,1982-10,,,32.4,172.0,,,,,,
34,1982-11,25.0,20.8,33.0,4.0,,,,,1008.9,12360.0
35,1982-12,27.5,21.1,36.1,1.0,,,,,1008.5,16440.0
