,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,5.8,2.6,9.1,14.0,,,,,1019.8,6540.0
1,1980-02,8.2,4.2,12.2,40.0,,,,,1023.8,7440.0
2,1980-03,9.8,5.3,14.3,46.0,,,,,1016.2,12360.0
3,1980-04,11.9,6.3,17.5,50.0,,,,,1017.1,14820.0
4,1980-05,14.2,9.4,19.0,83.0,,,,,1013.8,14580.0
5,1980-06,20.1,14.1,26.1,26.0,,,,,1015.7,20100.0
6,1980-07,23.2,16.4,29.9,0.0,,,,,1015.5,22140.0
7,1980-08,25.5,18.8,32.2,6.0,,,,,1015.9,18240.0
8,1980-09,22.7,16.9,28.5,6.0,,,,,1018.4,15840.0
9,1980-10,14.9,9.9,19.8,46.0,,,,,1018.0,12300.0
10,1980-11,8.4,4.7,12.1,50.0,,,,,1019.9,8880.0
11,1980-12,5.6,1.3,9.8,1.0,,,,,1027.7,11340.0
12,1981-01,6.2,1.1,11.3,3.0,,,,,1028.7,12420.0
13,1981-02,6.8,2.0,11.5,41.0,,,,,1021.3,9060.0
14,1981-03,11.9,7.4,16.5,28.0,,,,,1016.7,8700.0
15,1981-04,11.6,7.1,16.1,119.0,,,,,1015.1,10320.0
16,1981-05,15.0,9.8,20.2,40.0,,,,,1014.7,17040.0
17,1981-06,22.4,16.1,28.8,11.0,,,,,1015.5,19860.0
18,1981-07,23.8,17.4,30.0,17.0,,,,,1017.0,21180.0
19,1981-08,24.3,18.0,30.5,10.0,,,,,1015.7,17880.0
20,1981-09,20.8,15.2,26.5,26.0,,,,,1016.9,15240.0
21,1981-10,15.8,10.8,20.9,1.9,,,,,1019.0,13860.0
22,1981-11,12.2,7.5,16.9,0.5,,,,,1027.0,10560.0
23,1981-12,7.8,4.8,10.9,128.0,,,,,1013.9,5880.0
24,1982-01,7.9,4.6,11.2,21.0,,,,,1022.6,6420.0
25,1982-02,8.1,4.4,11.8,44.0,,,,,1020.5,7560.0
26,1982-03,10.5,5.5,15.6,17.0,,,,,1021.1,13980.0
27,1982-04,13.1,7.7,18.5,28.0,,,,,1015.0,13980.0
28,1982-05,17.3,11.7,23.0,45.0,,,,,1017.6,17340.0
29,1982-06,21.8,16.0,27.6,25.0,,,,,1016.2,16800.0
30,1982-07,24.6,17.7,31.5,27.0,,,,,1014.0,18780.0
31,1982-08,24.0,17.8,30.2,14.0,,,,,1015.7,18000.0
32,1982-09,19.5,13.9,25.2,29.0,,,,,1018.6,13320.0
33,1982-10,13.8,8.8,18.9,23.0,,,,,1018.4,11280.0
34,1982-11,9.5,5.4,13.6,86.0,,,,,1020.7,7560.0
35,1982-12,6.6,2.6,10.5,10.0,,,,,1024.1,7860.0
36,1983-01,6.5,0.9,12.1,0.0,,,,,1035.3,12180.0
37,1983-02,6.0,1.3,10.8,9.0,,,,,1020.7,7800.0
38,1983-03,12.1,5.7,18.4,0.0,,,,,1021.4,12720.0
39,1983-04,11.3,5.6,17.0,54.0,,,,,1014.8,12480.0
40,1983-05,14.1,8.2,20.0,26.0,,,,,1014.7,16200.0
41,1983-06,22.8,15.7,29.8,1.0,,,,,1016.3,17760.0
42,1983-07,24.9,17.9,31.9,4.0,,,,,1013.7,22020.0
43,1983-08,22.6,16.6,28.7,29.0,,,,,1015.7,17040.0
44,1983-09,22.9,16.2,29.6,6.0,,,,,1018.4,16200.0
45,1983-10,16.6,10.8,22.4,8.0,,,,,1023.3,12900.0
46,1983-11,12.0,9.0,15.0,83.0,,,,,1018.0,4200.0
47,1983-12,6.8,2.9,10.6,41.0,,,,,1022.1,8160.0
48,1984-01,5.7,2.0,9.4,25.0,,,,,1026.3,6780.0
49,1984-02,6.8,2.1,11.5,37.0,,,,,1023.2,11400.0
50,1984-03,7.2,2.3,12.1,58.0,,,,,1016.1,9480.0
51,1984-04,14.7,8.7,20.7,30.0,,,,,1014.9,13920.0
52,1984-05,11.1,6.3,15.8,82.0,,,,,1011.2,9300.0
53,1984-06,19.5,13.3,25.6,36.0,,,,,1016.9,15780.0
54,1984-07,25.3,18.2,32.4,0.0,,,,,1016.5,21780.0
55,1984-08,22.5,16.0,28.9,7.0,,,,,1016.8,19200.0
56,1984-09,20.1,13.6,26.5,7.0,,,,,1016.4,16740.0
57,1984-10,14.1,9.0,19.2,30.0,,,,,1021.3,12420.0
58,1984-11,9.6,6.4,12.8,161.0,,,,,1014.3,5820.0
59,1984-12,7.0,3.6,10.5,11.0,,,,,1025.6,7740.0
60,1985-01,3.6,0.0,7.3,68.0,,,,,1017.9,8220.0
61,1985-02,9.3,5.7,13.0,45.0,,,,,1020.3,6000.0
62,1985-03,9.2,4.4,14.0,6.0,,,,,1019.2,13320.0
