,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.3,,,1.0,,,,,1010.9,15780.0
1,1980-02,27.5,,,0.0,,,,,1010.9,17760.0
2,1980-03,28.3,,,30.0,,,,,1010.9,18840.0
3,1980-04,28.1,,,228.0,,,,,1008.9,12540.0
4,1980-05,28.8,,,215.0,,,,,1007.5,14040.0
5,1980-06,28.3,,,283.0,,,,,1008.6,11460.0
6,1980-07,28.2,,,36.0,,,,,1009.5,
7,1980-08,27.9,,,141.0,,,,,1010.3,13200.0
8,1980-09,28.1,,,176.0,,,,,1010.3,14040.0
9,1980-10,27.1,,,452.0,,,,,1010.4,11040.0
10,1980-11,27.1,,,267.0,,,,,1010.4,12300.0
11,1980-12,26.7,,,172.0,,,,,1010.3,13920.0
12,1981-01,26.1,,,117.0,,,,,1012.2,16860.0
13,1981-02,26.6,,,93.0,,,,,1011.5,15960.0
14,1981-03,28.3,,,103.0,,,,,1010.6,16560.0
15,1981-04,28.5,,,200.0,,,,,1009.3,12600.0
16,1981-05,28.5,,,441.0,,,,,1007.9,10980.0
17,1981-06,27.7,,,182.0,,,,,1009.6,11880.0
18,1981-07,28.1,,,35.0,,,,,1008.1,9840.0
19,1981-08,27.9,,,80.0,,,,,1009.7,13560.0
20,1981-09,27.5,,,120.0,,,,,1009.7,10020.0
21,1981-10,26.9,,,193.0,,,,,1010.5,11100.0
22,1981-11,27.3,,,460.0,,,,,1009.8,13140.0
23,1981-12,26.5,,,54.0,,,,,1011.9,14760.0
24,1982-01,26.9,,,4.0,,,,,1011.9,16620.0
25,1982-02,27.0,,,0.0,,,,,1011.3,17280.0
26,1982-03,27.7,,,312.0,,,,,1010.4,16380.0
27,1982-04,28.5,,,109.0,,,,,1009.3,15780.0
28,1982-05,27.9,,,324.0,,,,,1010.3,13380.0
29,1982-06,27.9,,,195.0,,,,,1009.3,9540.0
30,1982-07,27.4,,,161.0,,,,,1009.5,12900.0
31,1982-08,27.5,,,124.0,,,,,1009.4,12420.0
32,1982-09,27.5,,,105.0,,,,,1010.9,11700.0
33,1982-10,27.1,,,187.0,,,,,1011.1,12240.0
34,1982-11,26.4,,,435.0,,,,,1010.6,10800.0
35,1982-12,26.3,,,51.0,,,,,1011.2,9960.0
36,1983-01,27.1,,,0.0,,,,,1012.4,16140.0
37,1983-02,27.5,,,43.0,,,,,1012.1,16020.0
38,1983-03,28.3,,,60.0,,,,,1011.4,18720.0
39,1983-04,29.5,,,83.0,,,,,1009.8,
40,1983-05,28.9,,,337.0,,,,,1009.3,15180.0
41,1983-06,28.5,,,119.0,,,,,1008.9,11640.0
42,1983-07,,,,,,,,,,
43,1983-08,27.9,,,94.0,,,,,1009.1,11640.0
44,1983-09,27.1,,,291.0,,,,,1010.3,7380.0
45,1983-10,27.4,,,95.0,,,,,1009.7,13860.0
46,1983-11,26.9,,,242.0,,,,,1012.0,13380.0
47,1983-12,26.9,,,224.0,,,,,1010.5,12480.0
48,1984-01,26.5,,,211.0,,,,,1009.9,11640.0
49,1984-02,26.6,,,180.0,,,,,1008.5,8520.0
50,1984-03,27.3,,,163.0,,,,,1010.2,
51,1984-04,27.7,,,254.0,,,,,1008.5,9780.0
52,1984-05,28.5,,,488.0,,,,,1007.5,11400.0
53,1984-06,27.5,,,177.0,,,,,1008.9,11280.0
54,1984-07,26.9,,,128.0,,,,,1008.7,11040.0
55,1984-08,26.3,,,5.0,,,,,1009.6,12420.0
56,1984-09,27.3,,,339.0,,,,,1009.9,10200.0
57,1984-10,26.7,,,161.0,,,,,1011.5,12960.0
58,1984-11,26.5,,,360.0,,,,,1010.7,8700.0
59,1984-12,26.5,,,24.0,,,,,1009.7,
60,1985-01,27.0,,,83.0,,,,,1011.2,
61,1985-02,26.9,,,161.0,,,,,1007.7,12720.0
62,1985-03,27.7,,,116.0,,,,,1010.1,16620.0
63,1985-04,28.7,,,76.0,,,,,1008.4,15420.0
64,1985-05,28.7,,,253.0,,,,,1007.5,12960.0
65,1985-06,26.7,,,317.0,,,,,1010.2,8400.0
66,1985-07,27.5,,,20.0,,,,,1009.7,14100.0
67,1985-08,27.3,,,111.0,,,,,1010.1,11700.0
68,1985-09,27.4,,,258.0,,,,,1009.7,12420.0
69,1985-10,26.9,,,343.0,,,,,1010.3,13080.0
70,1985-11,26.5,,,245.0,,,,,1010.7,12960.0
71,1985-12,26.7,,,165.0,,,,,1011.2,12960.0
72,1986-01,26.3,,,145.0,,,,,1010.7,12780.0
73,1986-02,,,,,,,,,,
74,1986-03,27.4,,,81.0,,,,,1009.7,12480.0
75,1986-04,28.2,,,217.0,,,,,1008.9,9180.0
76,1986-05,28.9,,,231.0,,,,,1009.1,14520.0
77,1986-06,27.5,,,30.0,,,,,1008.3,12960.0
78,1986-07,28.3,,,11.0,,,,,1010.2,11340.0
79,1986-08,27.1,,,76.0,,,,,1009.9,11460.0
80,1986-09,27.6,,,121.0,,,,,1011.1,11820.0
81,1986-10,27.5,,,163.0,,,,,1011.1,11160.0
82,1986-11,27.3,,,59.0,,,,,1011.5,14760.0
83,1986-12,27.5,,,203.0,,,,,1011.6,13920.0
84,1987-01,28.4,,,98.0,,,,,1012.1,14280.0
85,1987-02,27.1,,,0.0,,,,,1012.9,17580.0
86,1987-03,28.6,,,73.0,,,,,1010.5,18960.0
87,1987-04,28.7,,,179.0,,,,,1010.5,15180.0
88,1987-05,28.8,,,198.0,,,,,1009.9,16740.0
89,1987-06,28.9,,,116.0,,,,,1008.7,
90,1987-07,29.0,,,12.0,,,,,1010.5,
91,1987-08,27.7,,,405.0,,,,,1010.1,10740.0
92,1987-09,28.1,,,510.0,,,,,1010.3,
93,1987-10,27.4,,,507.0,,,,,1010.5,
