,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,22.3,,,0.0,,,,,1007.6,19560.0
1,1980-02,24.9,,,0.0,,,,,1009.3,
2,1980-03,29.3,,,0.0,,,,,1005.3,
3,1980-04,31.6,,,0.0,,,,,1004.4,
4,1980-05,35.9,,,0.5,,,,,1000.7,19560.0
5,1980-06,34.5,,,3.0,,,,,1004.9,
6,1980-07,31.4,,,61.0,,,,,1006.8,
7,1980-08,32.1,,,19.0,,,,,1005.0,
8,1980-09,33.9,,,11.0,,,,,1009.2,
9,1980-10,33.7,,,1.0,,,,,1005.4,
10,1980-11,28.4,,,0.0,,,,,1008.4,18600.0
11,1980-12,24.7,,,0.0,,,,,1007.1,18180.0
12,1981-01,22.4,,,0.0,,,,,1011.5,
13,1981-02,24.6,,,0.0,,,,,1008.0,16920.0
14,1981-03,28.7,,,0.0,,,,,1007.0,
15,1981-04,32.6,,,0.0,,,,,1005.3,
16,1981-05,35.2,,,13.0,,,,,1003.5,
17,1981-06,34.5,,,0.5,,,,,1004.4,
18,1981-07,29.7,,,85.0,,,,,1007.1,
19,1981-08,30.3,,,36.0,,,,,1005.0,
20,1981-09,32.2,,,13.0,,,,,1005.7,
21,1981-10,33.3,,,6.0,,,,,1004.9,17640.0
22,1981-11,27.1,,,0.0,,,,,1009.5,
23,1981-12,26.3,,,0.0,,,,,1009.5,19020.0
24,1982-01,24.8,,,0.0,,,,,1009.5,17940.0
25,1982-02,22.3,,,0.0,,,,,1010.9,
26,1982-03,28.2,,,0.0,,,,,1008.2,17340.0
27,1982-04,32.0,,,0.0,,,,,1004.4,18300.0
28,1982-05,34.3,,,5.0,,,,,1004.1,17580.0
29,1982-06,34.9,,,0.0,,,,,1004.9,16320.0
30,1982-07,33.8,,,9.0,,,,,1004.8,15060.0
31,1982-08,31.5,,,47.0,,,,,1006.1,
32,1982-09,33.0,,,40.0,,,,,1005.6,
33,1982-10,32.1,,,0.0,,,,,1005.6,14700.0
34,1982-11,25.9,,,0.0,,,,,1009.5,
35,1982-12,23.2,,,0.0,,,,,1011.4,18960.0
36,1983-01,18.5,,,1.0,,,,,1015.2,17340.0
37,1983-02,23.7,,,10.0,,,,,1011.6,16860.0
38,1983-03,25.7,,,0.0,,,,,1009.5,
39,1983-04,30.9,,,0.0,,,,,1006.9,18720.0
40,1983-05,35.0,,,1.0,,,,,1003.3,17580.0
41,1983-06,34.9,,,47.0,,,,,1004.2,9360.0
42,1983-07,33.4,,,23.0,,,,,1004.5,
43,1983-08,33.9,,,7.0,,,,,1005.2,13380.0
44,1983-09,34.0,,,6.0,,,,,1005.2,16680.0
45,1983-10,32.7,,,0.0,,,,,1005.7,15780.0
46,1983-11,28.9,,,0.0,,,,,1008.7,
47,1983-12,24.7,,,0.0,,,,,1010.1,7380.0
48,1984-01,21.7,,,0.5,,,,,1011.7,
49,1984-02,27.5,,,0.0,,,,,1009.5,
50,1984-03,27.9,,,0.0,,,,,1004.3,19140.0
51,1984-04,32.7,,,0.0,,,,,1003.3,14820.0
52,1984-05,34.9,,,1.0,,,,,1002.0,18540.0
53,1984-06,34.5,,,0.0,,,,,1003.7,
54,1984-07,33.7,,,0.5,,,,,1003.1,
55,1984-08,,,,0.5,,,,,1004.3,
56,1984-09,33.5,,,3.0,,,,,1006.0,
57,1984-10,33.2,,,0.0,,,,,1008.0,
58,1984-11,26.9,,,0.0,,,,,1012.5,16020.0
59,1984-12,24.2,,,0.0,,,,,1008.5,18660.0
60,1985-01,24.0,,,0.0,,,,,1006.9,
61,1985-02,22.5,,,0.0,,,,,1010.7,16440.0
62,1985-03,28.0,,,0.0,,,,,1008.0,
63,1985-04,31.0,,,0.0,,,,,1003.4,
64,1985-05,34.2,,,9.0,,,,,1006.5,
65,1985-06,34.1,,,3.0,,,,,1003.5,
66,1985-07,32.1,,,16.0,,,,,1006.3,
67,1985-08,30.5,,,0.5,,,,,1004.2,
68,1985-09,30.0,,,10.0,,,,,1003.4,
69,1985-10,31.3,,,0.0,,,,,1004.7,
70,1985-11,28.2,,,0.0,,,,,1007.2,
71,1985-12,24.8,,,0.0,,,,,1009.5,
72,1986-01,22.5,,,0.0,,,,,1008.0,
73,1986-02,24.5,,,0.0,,,,,1007.7,
74,1986-03,28.4,,,0.0,,,,,1006.7,
75,1986-04,31.0,,,0.0,,,,,1004.9,
76,1986-05,31.0,,,0.0,,,,,1005.5,
77,1986-06,33.2,,,0.5,,,,,1006.6,
78,1986-07,32.5,,,9.0,,,,,1006.6,
79,1986-08,30.7,,,22.0,,,,,1006.0,
80,1986-09,30.1,,,16.0,,,,,1006.9,
81,1986-10,32.8,,,10.0,,,,,1008.0,
82,1986-11,28.1,,,0.0,,,,,1008.5,
83,1986-12,22.1,,,0.0,,,,,1013.3,18660.0
84,1987-01,23.5,,,0.0,,,,,1012.1,
85,1987-02,25.4,,,0.0,,,,,1009.0,16860.0
86,1987-03,28.3,,,0.5,,,,,1007.1,
87,1987-04,31.8,,,0.0,,,,,1006.7,
88,1987-05,33.7,,,21.0,,,,,1004.7,
89,1987-06,34.2,,,23.0,,,,,1005.9,
90,1987-07,34.7,,,22.0,,,,,1004.4,
91,1987-08,31.6,,,49.0,,,,,1005.8,
92,1987-09,33.3,,,0.5,,,,,,
93,1987-10,32.3,,,1.0,,,,,1006.6,
94,1987-11,27.7,,,0.0,,,,,1008.6,
95,1987-12,23.9,,,0.0,,,,,1012.2,
96,1988-01,23.1,,,0.0,,,,,1011.5,
97,1988-02,24.3,,,0.0,,,,,1009.5,
98,1988-03,29.7,,,0.0,,,,,1005.9,
99,1988-04,,,,0.0,,,,,1004.0,
100,1988-05,35.0,,,0.5,,,,,1003.5,
101,1988-06,35.1,,,0.5,,,,,1004.3,
102,1988-07,31.3,,,66.0,,,,,1007.0,
103,1988-08,28.1,,,301.0,,,,,1006.7,
104,1988-09,31.6,,,46.0,,,,,1005.8,
105,1988-10,31.0,,,2.0,,,,,1005.9,
