,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-4.1,,,16.0,,,,,1017.0,
1,1980-02,-5.3,,,3.0,,,,,1023.1,
2,1980-03,-2.7,,,19.0,,,,,1017.7,
3,1980-04,5.1,,,44.0,,,,,1013.8,
4,1980-05,8.9,,,13.0,,,,,1017.5,
5,1980-06,16.9,,,113.0,,,,,1010.3,
6,1980-07,17.8,,,41.0,,,,,1011.2,
7,1980-08,15.5,,,134.0,,,,,1009.9,
8,1980-09,13.1,,,35.0,,,,,1013.9,
9,1980-10,5.7,,,153.0,,,,,1005.4,
10,1980-11,0.4,,,66.0,,,,,1010.9,
11,1980-12,0.2,,,50.0,,,,,1001.3,
12,1981-01,-3.3,,,18.0,,,,,1005.7,
13,1981-02,-1.8,,,21.0,,,,,1017.3,
14,1981-03,-1.6,,,37.0,,,,,1007.3,
15,1981-04,4.5,,,17.0,,,,,1016.1,
16,1981-05,12.2,,,9.0,,,,,1015.3,
17,1981-06,13.8,,,53.0,,,,,1010.5,
18,1981-07,17.3,,,40.0,,,,,1010.0,
19,1981-08,15.6,,,86.0,,,,,1012.9,
20,1981-09,11.5,,,17.0,,,,,1016.3,
21,1981-10,7.0,,,113.0,,,,,1003.4,
22,1981-11,1.4,,,101.0,,,,,1007.7,
23,1981-12,-5.5,,,65.0,,,,,1000.9,
24,1982-01,-7.4,,,41.0,,,,,1012.8,
25,1982-02,-3.1,,,24.0,,,,,1021.8,
26,1982-03,2.2,,,28.0,,,,,1011.7,
27,1982-04,4.8,,,36.0,,,,,1009.5,
28,1982-05,10.6,,,18.0,,,,,1014.8,
29,1982-06,13.7,,,50.0,,,,,1012.2,
30,1982-07,18.1,,,49.0,,,,,1016.7,
31,1982-08,17.8,,,44.0,,,,,1009.5,
32,1982-09,12.3,,,24.0,,,,,1013.1,
33,1982-10,7.8,,,26.0,,,,,1015.7,
34,1982-11,5.1,,,52.0,,,,,1006.0,
35,1982-12,0.7,,,49.0,,,,,1002.9,
36,1983-01,1.4,,,42.0,,,,,998.0,
37,1983-02,-3.0,,,14.0,,,,,1018.0,
38,1983-03,0.7,,,49.0,,,,,1007.4,
39,1983-04,4.8,,,25.0,,,,,1009.6,
40,1983-05,11.5,,,50.0,,,,,1012.1,
41,1983-06,15.0,,,33.0,,,,,1014.5,
42,1983-07,18.9,,,29.0,,,,,1013.4,
43,1983-08,16.8,,,17.0,,,,,1014.4,
44,1983-09,12.7,,,125.0,,,,,1007.0,
45,1983-10,8.1,,,42.0,,,,,1003.8,
46,1983-11,1.4,,,16.0,,,,,1009.4,
47,1983-12,-0.5,,,59.0,,,,,1006.5,
48,1984-01,-2.0,,,62.0,,,,,1001.7,
49,1984-02,-1.4,,,12.0,,,,,1024.0,
50,1984-03,-1.2,,,12.0,,,,,1021.0,
51,1984-04,5.7,,,13.0,,,,,1019.8,
52,1984-05,11.6,,,27.0,,,,,1013.3,
53,1984-06,14.5,,,99.0,,,,,1008.9,
54,1984-07,16.1,,,72.0,,,,,1009.6,
55,1984-08,16.6,,,17.0,,,,,1015.5,
56,1984-09,11.3,,,80.0,,,,,1005.9,
