,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,5.3,,,,,,,,,
1,1980-02,5.6,,,22.0,,,,,1019.1,9780.0
2,1980-03,9.1,,,25.0,,,,,1013.1,11880.0
3,1980-04,14.7,,,11.0,,,,,1011.4,4980.0
4,1980-05,20.1,,,0.0,,,,,1010.2,6120.0
5,1980-06,24.7,,,0.0,,,,,1006.3,7020.0
6,1980-07,26.8,,,,,,,,,
7,1980-08,25.9,,,0.0,,,,,1004.7,6720.0
8,1980-09,21.8,,,0.0,,,,,1010.0,6120.0
9,1980-10,18.0,,,43.0,,,,,1013.9,4920.0
10,1980-11,12.9,,,1.0,,,,,1017.4,4620.0
11,1980-12,7.8,,,51.0,,,,,1018.1,2340.0
12,1981-01,5.9,,,268.0,,,,,1017.0,2700.0
13,1981-02,9.0,,,10.0,,,,,1016.7,4140.0
14,1981-03,11.9,,,14.0,,,,,1013.0,4320.0
15,1981-04,14.6,,,27.0,,,,,1011.7,
16,1981-05,18.6,,,4.0,,,,,1010.2,6240.0
17,1981-06,24.4,,,3.0,,,,,1006.1,7140.0
18,1981-07,26.9,,,0.0,,,,,1003.1,7080.0
19,1981-08,26.2,,,0.0,,,,,1004.6,6840.0
20,1981-09,23.5,,,0.0,,,,,1008.7,6060.0
21,1981-10,19.2,,,0.0,,,,,1013.8,
22,1981-11,11.0,,,,,,,,1017.6,
23,1981-12,8.8,,,6.0,,,,,1018.6,3420.0
24,1982-01,6.9,,,15.0,,,,,1018.1,3900.0
25,1982-02,6.4,,,39.0,,,,,1016.0,3420.0
26,1982-03,9.6,,,2.0,,,,,1014.7,5640.0
27,1982-04,17.1,,,46.0,,,,,1010.8,3900.0
28,1982-05,19.4,,,9.0,,,,,1011.5,5820.0
29,1982-06,23.9,,,0.0,,,,,1007.7,7320.0
30,1982-07,25.1,,,0.0,,,,,1004.3,7200.0
31,1982-08,25.6,,,0.0,,,,,1004.9,6720.0
32,1982-09,23.0,,,0.0,,,,,1010.1,
33,1982-10,17.9,,,10.0,,,,,1013.3,4620.0
34,1982-11,8.8,,,45.0,,,,,1018.4,3600.0
35,1982-12,4.4,,,39.0,,,,,1021.0,
36,1983-01,3.3,,,43.0,,,,,1021.6,
37,1983-02,5.6,,,20.0,,,,,1018.0,
38,1983-03,9.3,,,25.0,,,,,1015.7,
39,1983-04,14.1,,,11.0,,,,,1013.6,
40,1983-05,19.5,,,27.0,,,,,1008.4,
41,1983-06,23.5,,,0.0,,,,,1008.5,
42,1983-07,25.6,,,0.0,,,,,1004.6,
43,1983-08,24.4,,,,,,,,,
44,1983-09,22.7,,,0.0,,,,,1008.3,
45,1983-10,16.2,,,0.0,,,,,1014.9,
46,1983-11,13.0,,,,,,,,1017.6,
47,1983-12,7.4,,,12.0,,,,,1020.4,
48,1984-01,6.4,,,21.0,,,,,1019.1,
49,1984-02,8.2,,,9.0,,,,,1018.5,
50,1984-03,11.7,,,38.0,,,,,1012.7,
51,1984-04,14.1,,,,,,,,,
52,1984-05,21.1,,,0.0,,,,,1008.9,18900.0
53,1984-06,23.8,,,0.0,,,,,1006.2,21240.0
54,1984-07,25.8,,,0.0,,,,,1003.1,
