,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,1.7,-2.1,7.2,95.0,,,,,,
1,1980-02,2.5,-1.5,7.7,139.5,,,,,,
2,1980-03,8.8,4.4,14.1,152.4,,,,,,
3,1980-04,17.7,11.1,24.1,104.5,,,,,,
4,1980-05,21.7,14.0,29.0,65.9,,,,,,
5,1980-06,25.9,17.3,33.6,5.0,,,,,,
6,1980-07,27.9,18.2,36.8,0.0,,,,,,
7,1980-08,25.5,16.5,34.6,0.0,,,,,,
8,1980-09,20.9,11.6,30.9,0.0,,,,,,
9,1980-10,15.9,8.5,24.6,1.4,,,,,,
10,1980-11,11.7,6.0,19.5,61.8,,,,,,
11,1980-12,6.6,1.0,14.2,36.5,,,,,,
12,1981-01,4.5,0.0,10.0,90.6,,,,,,
13,1981-02,5.0,0.9,10.5,156.8,,,,,,
14,1981-03,11.0,5.7,16.7,130.1,,,,,,
15,1981-04,16.0,9.7,22.7,90.6,,,,,,
16,1981-05,20.9,14.2,27.9,45.8,,,,,,
17,1981-06,24.0,16.5,31.2,12.3,,,,,,
18,1981-07,26.9,19.2,34.6,40.1,,,,,,
19,1981-08,24.8,15.7,33.7,1.3,,,,,,
20,1981-09,20.5,11.1,30.4,14.7,,,,,,
21,1981-10,13.4,6.4,21.5,47.4,,,,,,
22,1981-11,9.5,3.0,18.0,28.6,,,,,,
23,1981-12,7.0,2.3,12.6,56.6,,,,,,
24,1982-01,2.6,-2.4,9.3,88.5,,,,,,
25,1982-02,2.4,-1.4,7.2,114.2,,,,,,
26,1982-03,8.1,3.5,13.6,130.6,,,,,,
27,1982-04,17.0,9.8,24.1,40.4,,,,,,
28,1982-05,21.3,14.6,28.3,26.3,,,,,,
29,1982-06,25.6,16.9,33.4,21.7,,,,,,
30,1982-07,27.0,17.6,35.4,1.0,,,,,,
31,1982-08,25.9,17.7,34.2,0.0,,,,,,
32,1982-09,19.9,10.8,28.8,3.9,,,,,,
