,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,,,,,,,,,,
2,1980-03,,,,,,,,,,
3,1980-04,,,,,,,,,,
4,1980-05,,,,,,,,,,
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,24.1,,,145.0,,,,,,
15,1981-04,22.0,,,43.0,,,,,,
16,1981-05,22.0,,,43.0,,,,,,
17,1981-06,,,,,,,,,,
18,1981-07,,,,,,,,,,
19,1981-08,21.3,,,0.0,,,,,,
20,1981-09,22.2,,,0.0,,,,,,
21,1981-10,23.9,,,0.0,,,,,,
22,1981-11,24.6,,,32.0,,,,,,
23,1981-12,24.5,,,81.0,,,,,,
24,1982-01,24.3,,,109.0,,,,,,
25,1982-02,24.4,,,55.0,,,,,,
26,1982-03,24.2,,,30.0,,,,,,
27,1982-04,23.3,,,103.0,,,,,,
28,1982-05,22.4,,,0.0,,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,28.5,,,0.0,,,,,,
33,1982-10,,,,,,,,,,
34,1982-11,,,,,,,,,,
35,1982-12,,,,,,,,,,
36,1983-01,,,,,,,,,,
37,1983-02,24.7,,,,,,,,,
38,1983-03,24.8,,,123.0,,,,,,
39,1983-04,24.4,,,4.0,,,,,,
40,1983-05,,,,8.0,,,,,,
41,1983-06,21.8,,,0.0,,,,,,
42,1983-07,21.1,,,0.0,,,,,,
43,1983-08,27.6,,,0.0,,,,,,
44,1983-09,21.9,,,0.0,,,,,,
45,1983-10,21.2,,,0.0,,,,,,
46,1983-11,24.9,,,19.0,,,,,,
47,1983-12,24.1,,,217.0,,,,,,
48,1984-01,22.6,,,170.0,,,,,,
49,1984-02,,,,,,,,,,
50,1984-03,23.9,,,64.0,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,,,,,,,,,
54,1984-07,19.2,,,0.0,,,,,,
55,1984-08,21.2,,,0.0,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,23.5,,,0.0,,,,,,
58,1984-11,23.4,,,77.0,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,24.5,,,168.0,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,22.7,,,40.0,,,,,,
64,1985-05,,,,,,,,,,
65,1985-06,20.3,,,0.0,,,,,,
66,1985-07,19.4,,,0.0,,,,,,
67,1985-08,,,,,,,,,,
68,1985-09,21.9,,,0.0,,,,,,
69,1985-10,22.8,,,0.0,,,,,,
70,1985-11,,,,,,,,,,
71,1985-12,,,,,,,,,,
72,1986-01,,,,,,,,,,
73,1986-02,24.1,,,80.0,,,,,,
74,1986-03,24.1,,,75.0,,,,,,
75,1986-04,23.5,,,24.0,,,,,,
76,1986-05,,,,,,,,,,
77,1986-06,20.2,,,0.0,,,,,,
78,1986-07,,,,,,,,,,
79,1986-08,,,,,,,,,,
80,1986-09,,,,,,,,,,
81,1986-10,24.4,,,0.0,,,,,,
82,1986-11,24.9,,,0.0,,,,,,
83,1986-12,23.5,,,159.0,,,,,,
84,1987-01,23.7,,,325.0,,,,,,
85,1987-02,23.9,,,86.0,,,,,,
86,1987-03,24.0,,,131.0,,,,,,
87,1987-04,,,,,,,,,,
88,1987-05,22.6,,,5.0,,,,,,
89,1987-06,21.0,,,0.0,,,,,,
90,1987-07,20.0,,,0.0,,,,,,
91,1987-08,21.3,,,0.0,,,,,,
92,1987-09,22.5,,,0.0,,,,,,
93,1987-10,24.3,,,0.0,,,,,,
94,1987-11,24.5,,,,,,,,,
95,1987-12,,,,,,,,,,
96,1988-01,24.8,,,141.0,,,,,,
97,1988-02,24.2,,,80.0,,,,,,
98,1988-03,24.1,,,196.0,,,,,,
