,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.8,21.6,33.4,0.0,,,,,1011.3,15960.0
1,1980-02,28.8,24.0,33.6,0.0,,,,,1011.4,16140.0
2,1980-03,30.5,25.8,35.1,4.0,,,,,1009.8,15600.0
3,1980-04,31.5,27.3,35.6,53.0,,,,,1008.2,15060.0
4,1980-05,31.7,27.5,36.0,30.0,,,,,1006.4,13560.0
5,1980-06,29.4,25.3,33.4,268.0,,,,,1007.1,7620.0
6,1980-07,29.4,25.6,33.2,206.0,,,,,1006.8,11760.0
7,1980-08,29.3,25.1,33.4,201.0,,,,,1007.1,12720.0
8,1980-09,28.8,24.8,32.8,352.0,,,,,1008.1,8940.0
9,1980-10,28.5,24.6,32.5,325.0,,,,,1009.6,
10,1980-11,28.0,23.6,32.4,34.0,,,,,1011.2,13080.0
11,1980-12,27.2,21.7,32.6,0.0,,,,,1011.7,15360.0
12,1981-01,26.3,,32.5,0.0,,,,,1013.3,16320.0
13,1981-02,28.3,,33.4,11.0,,,,,1011.1,14880.0
14,1981-03,29.7,,34.2,17.0,,,,,1011.1,17040.0
15,1981-04,30.3,,34.9,154.0,,,,,1009.2,14280.0
16,1981-05,29.4,,33.6,417.0,,,,,1007.4,11460.0
17,1981-06,29.2,,32.6,101.0,,,,,1006.4,8160.0
18,1981-07,29.0,,32.7,157.0,,,,,1006.4,8760.0
19,1981-08,28.7,,32.2,145.0,,,,,1006.5,9000.0
20,1981-09,29.0,,33.2,179.0,,,,,1008.3,9780.0
21,1981-10,28.5,,32.4,257.0,,,,,1009.3,10920.0
22,1981-11,27.3,,30.9,156.0,,,,,1010.5,8640.0
23,1981-12,24.9,,30.1,0.0,,,,,1015.0,13560.0
24,1982-01,26.2,,32.0,0.0,,,,,1013.1,16320.0
25,1982-02,28.6,,32.6,20.0,,,,,1010.8,14700.0
26,1982-03,29.6,,33.3,176.0,,,,,1009.5,
27,1982-04,29.9,,34.4,223.0,,,,,1009.3,13800.0
28,1982-05,30.4,,34.5,236.0,,,,,1007.7,12840.0
29,1982-06,29.2,,32.7,188.0,,,,,1007.4,6360.0
30,1982-07,28.8,,32.7,199.0,,,,,1006.5,8880.0
31,1982-08,28.4,,31.9,221.0,,,,,1007.4,5760.0
32,1982-09,28.3,,31.8,255.0,,,,,1008.6,7140.0
33,1982-10,28.5,,32.5,249.0,,,,,1010.4,11400.0
34,1982-11,29.0,,33.3,44.0,,,,,1011.0,13800.0
35,1982-12,24.7,,30.2,20.0,,,,,1013.8,13380.0
36,1983-01,26.3,,31.9,0.0,,,,,1014.3,15000.0
37,1983-02,28.5,,32.8,0.5,,,,,1012.0,15540.0
38,1983-03,29.6,,33.8,29.0,,,,,1010.7,15180.0
39,1983-04,31.6,,35.3,0.0,,,,,1008.3,15060.0
40,1983-05,31.6,,35.8,48.0,,,,,1007.3,14520.0
41,1983-06,30.0,,33.8,161.0,,,,,1007.0,9840.0
42,1983-07,29.7,,33.8,230.0,,,,,1006.8,10800.0
43,1983-08,28.9,,32.8,575.0,,,,,1007.2,8940.0
44,1983-09,28.6,,32.3,454.0,,,,,1008.3,
45,1983-10,28.0,,31.6,487.0,,,,,1008.4,7860.0
46,1983-11,26.3,,30.4,132.0,,,,,1013.3,11820.0
47,1983-12,26.2,,30.9,14.0,,,,,1013.4,14820.0
48,1984-01,26.0,,31.1,1.0,,,,,1011.8,
49,1984-02,28.1,,33.0,13.0,,,,,1009.8,14040.0
50,1984-03,29.5,,34.0,34.0,,,,,1009.5,15360.0
51,1984-04,31.0,,35.2,53.0,,,,,1007.4,12720.0
52,1984-05,30.3,,34.5,184.0,,,,,1006.5,11760.0
53,1984-06,29.1,,32.5,131.0,,,,,1005.4,7140.0
54,1984-07,28.8,,32.8,240.0,,,,,1006.8,10500.0
55,1984-08,29.3,,32.8,93.0,,,,,1005.5,7380.0
56,1984-09,28.6,,32.8,331.0,,,,,1008.3,8520.0
57,1984-10,27.9,,32.0,293.0,,,,,1010.0,10980.0
58,1984-11,27.9,,32.4,26.0,,,,,1011.6,13980.0
59,1984-12,26.8,,32.1,0.0,,,,,1011.1,14460.0
60,1985-01,27.6,,32.7,19.0,,,,,1012.4,15420.0
61,1985-02,29.2,,33.6,6.0,,,,,1007.2,14340.0
62,1985-03,30.1,,34.7,11.0,,,,,1009.7,15300.0
63,1985-04,30.6,,35.2,61.0,,,,,1006.6,
64,1985-05,29.5,,33.5,174.0,,,,,1006.6,11040.0
65,1985-06,29.3,,32.3,91.0,,,,,1006.0,5160.0
66,1985-07,28.4,,31.9,143.0,,,,,1007.7,8100.0
67,1985-08,28.9,,32.4,135.0,,,,,1006.2,
68,1985-09,27.2,,31.9,338.0,,,,,1007.7,8340.0
69,1985-10,27.8,,31.2,376.0,,,,,1009.6,7800.0
70,1985-11,28.0,,31.8,17.0,,,,,1010.8,12360.0
71,1985-12,26.0,,31.1,0.0,,,,,1012.7,17520.0
72,1986-01,25.4,,31.0,0.0,,,,,1012.9,16980.0
73,1986-02,27.6,,,6.0,,,,,1011.2,15000.0
74,1986-03,28.7,,,0.0,,,,,1009.6,16140.0
