,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.9,15.2,25.6,,,,,,,
1,1980-02,19.5,14.3,24.0,72.0,,,,,1018.6,
2,1980-03,22.5,17.8,27.2,11.0,,,,,1018.6,
3,1980-04,23.8,19.3,28.2,430.0,,,,,,
4,1980-05,25.6,21.8,29.5,114.0,,,,,1015.5,
5,1980-06,27.3,22.3,31.0,226.6,,,,,,
6,1980-07,27.7,21.9,31.6,319.0,,,,,1017.8,
7,1980-08,28.0,21.9,32.1,230.0,,,,,1016.3,
8,1980-09,,22.4,31.5,,,,,,,
9,1980-10,,21.2,30.6,,,,,,,
10,1980-11,24.7,19.7,28.1,167.0,,,,,1016.5,
11,1980-12,21.5,16.1,25.3,27.0,,,,,1017.8,
12,1981-01,18.6,11.8,23.2,38.0,,,,,1017.9,
13,1981-02,21.5,16.8,25.0,10.7,,,,,,
14,1981-03,21.3,14.6,25.4,29.0,,,,,1016.0,
15,1981-04,23.5,18.1,27.8,24.0,,,,,1019.6,
16,1981-05,25.9,18.7,,0.5,,,,,,
17,1981-06,28.1,,31.8,73.1,,,,,,
18,1981-07,28.3,22.3,,162.0,,,,,1017.5,
19,1981-08,28.5,23.2,,168.0,,,,,1016.0,
20,1981-09,27.4,21.9,31.5,170.0,,,,,1014.8,
21,1981-10,25.7,20.1,29.8,100.0,,,,,1015.1,
22,1981-11,22.5,16.9,27.1,55.0,,,,,1015.7,
23,1981-12,21.7,15.9,25.6,157.0,,,,,1017.6,
24,1982-01,21.3,16.0,25.5,9.0,,,,,1019.5,
25,1982-02,22.8,17.2,27.0,44.0,,,,,1019.0,
26,1982-03,23.4,16.1,27.8,87.0,,,,,1017.2,
27,1982-04,24.3,17.7,29.0,55.0,,,,,1016.7,
28,1982-05,24.8,18.6,28.8,89.0,,,,,1015.9,
29,1982-06,27.8,20.3,31.4,64.0,,,,,1016.1,
30,1982-07,28.2,22.6,32.0,232.0,,,,,1018.3,
31,1982-08,28.3,23.4,32.2,209.0,,,,,1018.3,
32,1982-09,27.6,22.9,31.6,152.0,,,,,1014.6,
33,1982-10,26.0,21.8,29.8,130.0,,,,,1014.9,
34,1982-11,24.4,20.3,28.2,80.0,,,,,1017.3,
35,1982-12,22.5,17.9,26.6,21.0,,,,,1019.7,
36,1983-01,21.3,17.0,24.9,278.0,,,,,1016.7,
37,1983-02,21.5,17.4,25.2,79.0,,,,,1014.7,
38,1983-03,21.9,17.3,25.8,123.0,,,,,1015.0,
39,1983-04,23.3,18.6,27.4,45.0,,,,,1015.3,
40,1983-05,25.1,20.2,28.9,94.0,,,,,1016.2,
41,1983-06,27.3,22.6,31.0,278.0,,,,,1014.9,
42,1983-07,28.3,23.7,32.1,120.0,,,,,1017.8,
43,1983-08,28.2,23.5,32.1,178.0,,,,,1017.6,
44,1983-09,27.7,23.2,31.7,151.0,,,,,1016.8,
45,1983-10,26.4,22.1,30.2,142.0,,,,,1016.0,
46,1983-11,24.6,19.8,28.1,,,,,,,
47,1983-12,23.5,19.0,,70.0,,,,,1018.7,
48,1984-01,22.1,17.4,26.0,46.0,,,,,1018.6,
49,1984-02,22.1,17.6,25.8,88.0,,,,,1017.1,
50,1984-03,21.7,16.1,26.0,143.0,,,,,1017.0,
51,1984-04,23.1,17.9,27.6,150.0,,,,,1015.6,
52,1984-05,25.5,20.7,29.2,125.0,,,,,1017.7,
