,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,27.6,,,0.0,,,,,1010.6,14160.0
1,1980-02,28.2,,,32.0,,,,,1009.1,13320.0
2,1980-03,28.4,,,5.0,,,,,1009.7,14220.0
3,1980-04,28.6,,,64.0,,,,,1009.9,9300.0
4,1980-05,27.0,,,211.0,,,,,1011.8,11760.0
5,1980-06,26.2,,,89.0,,,,,1013.6,8340.0
6,1980-07,25.0,,,18.0,,,,,1013.9,6660.0
7,1980-08,25.0,,,66.0,,,,,1013.7,8460.0
8,1980-09,25.8,,,155.0,,,,,1012.9,8880.0
9,1980-10,26.3,,,186.0,,,,,1012.2,11460.0
10,1980-11,27.2,,,20.0,,,,,1011.3,15120.0
11,1980-12,25.8,,,0.0,,,,,1010.6,12840.0
12,1981-01,26.7,,,4.0,,,,,1010.8,13380.0
13,1981-02,28.3,,,7.0,,,,,1009.7,12180.0
14,1981-03,28.3,,,3.0,,,,,1010.0,13140.0
15,1981-04,28.2,,,55.0,,,,,1009.7,14700.0
16,1981-05,27.2,,,152.0,,,,,1011.1,11280.0
17,1981-06,26.3,,,209.0,,,,,1012.9,9120.0
18,1981-07,24.9,,,107.0,,,,,1013.7,5160.0
19,1981-08,24.9,,,38.0,,,,,1013.4,8280.0
20,1981-09,25.7,,,26.0,,,,,1012.8,12060.0
21,1981-10,27.0,,,66.0,,,,,1011.4,14700.0
22,1981-11,27.5,,,3.0,,,,,1010.7,12960.0
23,1981-12,28.0,,,0.5,,,,,1010.4,14160.0
24,1982-01,26.9,,,3.0,,,,,1010.0,14580.0
25,1982-02,28.1,,,27.0,,,,,1009.3,11820.0
26,1982-03,28.4,,,90.0,,,,,1009.4,13440.0
27,1982-04,28.2,,,113.0,,,,,1009.8,12180.0
28,1982-05,26.7,,,214.0,,,,,1011.3,10980.0
29,1982-06,25.7,,,394.0,,,,,1013.7,6300.0
30,1982-07,24.3,,,131.0,,,,,1013.9,5640.0
31,1982-08,24.2,,,0.5,,,,,1014.0,7980.0
32,1982-09,25.4,,,0.5,,,,,1013.1,12360.0
33,1982-10,26.2,,,60.0,,,,,1011.8,13980.0
34,1982-11,27.1,,,14.0,,,,,1011.2,13980.0
35,1982-12,27.2,,,1.0,,,,,1010.9,13380.0
36,1983-01,25.3,,,0.0,,,,,1011.6,9540.0
37,1983-02,27.8,,,0.5,,,,,1010.6,13800.0
38,1983-03,29.0,,,0.5,,,,,1009.7,13080.0
39,1983-04,28.9,,,54.0,,,,,1009.5,15120.0
40,1983-05,27.9,,,302.0,,,,,1010.4,13260.0
41,1983-06,26.0,,,192.0,,,,,1013.1,7440.0
42,1983-07,24.8,,,76.0,,,,,1013.7,9960.0
43,1983-08,24.6,,,2.0,,,,,1015.0,9000.0
44,1983-09,25.7,22.7,,32.0,,,,,1013.1,9960.0
45,1983-10,27.0,,,0.5,,,,,1012.7,14340.0
46,1983-11,27.5,,,13.0,,,,,1012.4,14220.0
47,1983-12,27.0,22.6,,9.0,,,,,1011.6,14040.0
48,1984-01,27.6,,,0.5,,,,,1010.1,12960.0
49,1984-02,28.3,,,2.0,,,,,1008.7,12720.0
50,1984-03,28.9,,,66.0,,,,,1008.8,13800.0
51,1984-04,28.3,,,133.0,,,,,1009.4,12600.0
52,1984-05,27.8,,,164.0,,,,,1009.9,13380.0
53,1984-06,26.5,,,44.0,,,,,1012.2,10800.0
54,1984-07,25.5,,,52.0,,,,,1012.3,12600.0
55,1984-08,25.7,,,9.0,,,,,1012.9,13380.0
