,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,30.3,,,,,,
1,1980-02,,,,3.1,,,,,,
2,1980-03,,,,58.3,,,,,,
3,1980-04,,,,61.2,,,,,,
4,1980-05,,,,118.2,,,,,,
5,1980-06,,,,108.6,,,,,,
6,1980-07,,,,107.8,,,,,,
7,1980-08,,,,88.5,,,,,,
8,1980-09,,,,35.3,,,,,,
9,1980-10,,,,56.6,,,,,,
10,1980-11,,,,93.1,,,,,,
11,1980-12,,,,57.7,,,,,,
12,1981-01,,,,41.1,,,,,,
13,1981-02,,,,32.5,,,,,,
14,1981-03,,,,41.5,,,,,,
15,1981-04,,,,31.6,,,,,,
16,1981-05,,,,42.3,,,,,,
17,1981-06,,,,29.6,,,,,,
18,1981-07,,,,60.2,,,,,,
19,1981-08,,,,34.0,,,,,,
20,1981-09,,,,36.6,,,,,,
21,1981-10,,,,62.7,,,,,,
22,1981-11,,,,104.3,,,,,,
23,1981-12,,,,56.6,,,,,,
24,1982-01,,,,9.4,,,,,,
25,1982-02,,,,19.4,,,,,,
26,1982-03,,,,12.0,,,,,,
27,1982-04,,,,37.9,,,,,,
28,1982-05,,,,35.9,,,,,,
29,1982-06,,,,74.4,,,,,,
30,1982-07,,,,68.0,,,,,,
31,1982-08,,,,47.4,,,,,,
32,1982-09,,,,37.4,,,,,,
33,1982-10,,,,17.0,,,,,,
34,1982-11,,,,6.8,,,,,,
35,1982-12,,,,21.7,,,,,,
36,1983-01,,,,10.3,,,,,,
37,1983-02,,,,17.1,,,,,,
38,1983-03,,,,11.3,,,,,,
39,1983-04,,,,25.9,,,,,,
40,1983-05,,,,68.4,,,,,,
41,1983-06,,,,77.1,,,,,,
42,1983-07,,,,92.4,,,,,,
43,1983-08,,,,46.4,,,,,,
44,1983-09,,,,3.5,,,,,,
45,1983-10,,,,7.8,,,,,,
46,1983-11,,,,9.0,,,,,,
47,1983-12,,,,13.7,,,,,,
48,1984-01,,,,55.8,,,,,,
49,1984-02,,,,64.7,,,,,,
50,1984-03,,,,48.1,,,,,,
51,1984-04,,,,103.6,,,,,,
52,1984-05,,,,26.6,,,,,,
53,1984-06,,,,135.2,,,,,,
54,1984-07,,,,45.4,,,,,,
55,1984-08,,,,39.0,,,,,,
56,1984-09,,,,56.3,,,,,,
57,1984-10,,,,11.9,,,,,,
58,1984-11,,,,22.7,,,,,,
59,1984-12,,,,23.8,,,,,,
60,1985-01,,,,51.7,,,,,,
61,1985-02,,,,38.1,,,,,,
62,1985-03,,,,3.8,,,,,,
63,1985-04,,,,35.8,,,,,,
64,1985-05,,,,26.2,,,,,,
65,1985-06,,,,88.7,,,,,,
66,1985-07,,,,95.4,,,,,,
67,1985-08,,,,17.9,,,,,,
