,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,,,,,,,,,
1,1980-02,24.8,,,44.0,,,,,1013.9,13800.0
2,1980-03,,,,,,,,,,
3,1980-04,26.7,,,52.0,,,,,1013.3,13980.0
4,1980-05,26.8,,,160.0,,,,,1013.3,10920.0
5,1980-06,,,,,,,,,,
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,,,,,,,,,,
9,1980-10,,,,,,,,,,
10,1980-11,,,,,,,,,,
11,1980-12,,,,,,,,,,
12,1981-01,,,,,,,,,,
13,1981-02,,,,,,,,,,
14,1981-03,,,,,,,,,,
15,1981-04,,,,,,,,,,
16,1981-05,,,,,,,,,,
17,1981-06,26.3,,,326.0,,,,,1013.8,10020.0
18,1981-07,,,,,,,,,,
19,1981-08,26.4,,,316.0,,,,,1012.8,11160.0
20,1981-09,26.7,,,228.0,,,,,1012.7,11580.0
21,1981-10,,,,,,,,,,
22,1981-11,,,,,,,,,,
23,1981-12,,,,,,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,,,89.0,,,,,,11100.0
26,1982-03,,,,27.0,,,,,,13020.0
27,1982-04,26.6,,,140.0,,,,,1013.1,
28,1982-05,27.1,,,140.0,,,,,1012.8,13620.0
29,1982-06,26.1,,,394.0,,,,,1014.2,6240.0
30,1982-07,,,,,,,,,,
31,1982-08,27.1,,,272.0,,,,,1013.6,10920.0
32,1982-09,27.0,,,160.0,,,,,1012.5,12060.0
33,1982-10,26.3,,,249.0,,,,,1011.9,12360.0
34,1982-11,26.1,,,203.0,,,,,1011.5,11760.0
35,1982-12,25.1,,,228.0,,,,,1012.0,11040.0
36,1983-01,25.4,,,88.0,,,,,1013.1,13980.0
37,1983-02,25.6,,,10.0,,,,,1013.3,14940.0
38,1983-03,26.8,,,17.0,,,,,1012.4,16620.0
39,1983-04,,,,,,,,,,
40,1983-05,,,,,,,,,,
41,1983-06,26.5,,,478.0,,,,,,
42,1983-07,,,,,,,,,,
43,1983-08,26.8,,,271.0,,,,,1014.3,13080.0
44,1983-09,26.9,,,190.0,,,,,1013.1,11400.0
45,1983-10,26.6,,,224.0,,,,,1012.1,11760.0
46,1983-11,26.4,,,191.0,,,,,1013.4,13500.0
47,1983-12,25.5,,,147.0,,,,,1013.7,10920.0
48,1984-01,24.7,,,218.0,,,,,1013.2,13320.0
49,1984-02,25.3,,,30.0,,,,,1012.7,14340.0
50,1984-03,25.3,,,10.0,,,,,1013.2,15120.0
51,1984-04,26.5,,,9.0,,,,,1013.3,14580.0
52,1984-05,26.5,,,87.0,,,,,1013.1,13620.0
53,1984-06,26.6,,,213.0,,,,,1013.6,12060.0
54,1984-07,26.0,,,352.0,,,,,1013.3,10380.0
55,1984-08,26.5,,,336.0,,,,,1013.3,11460.0
56,1984-09,26.3,,,153.0,,,,,1012.4,10440.0
57,1984-10,25.9,,,276.0,,,,,1011.7,9300.0
58,1984-11,25.6,,,297.0,,,,,1011.5,8520.0
59,1984-12,25.2,,,119.0,,,,,1012.2,10680.0
60,1985-01,24.4,,,22.0,,,,,1014.0,
61,1985-02,24.4,,,84.0,,,,,1014.7,12540.0
62,1985-03,25.4,,,10.0,,,,,1013.2,14820.0
63,1985-04,26.3,,,24.0,,,,,1013.0,
64,1985-05,26.7,,,79.0,,,,,1013.3,14760.0
65,1985-06,26.5,,,134.0,,,,,1015.2,7920.0
66,1985-07,25.9,,,335.0,,,,,1014.4,8820.0
67,1985-08,26.4,,,267.0,,,,,1013.6,13380.0
68,1985-09,26.2,,,255.0,,,,,1012.2,9780.0
69,1985-10,26.1,,,281.0,,,,,1011.6,10560.0
70,1985-11,25.7,,,229.0,,,,,1011.4,10380.0
71,1985-12,25.1,,,373.0,,,,,1013.6,12960.0
72,1986-01,24.7,,,53.0,,,,,1014.6,14940.0
73,1986-02,24.8,,,10.0,,,,,1014.3,12720.0
74,1986-03,25.3,,,59.0,,,,,1014.4,14040.0
75,1986-04,26.8,,,8.0,,,,,1012.8,16500.0
76,1986-05,27.1,,,80.0,,,,,1012.8,13260.0
77,1986-06,26.3,,,289.0,,,,,1014.3,10020.0
78,1986-07,26.5,,,167.0,,,,,1015.7,13020.0
79,1986-08,26.7,,,306.0,,,,,1013.3,11820.0
80,1986-09,26.6,,,197.0,,,,,1013.3,11520.0
81,1986-10,26.4,,,280.0,,,,,1012.6,11040.0
82,1986-11,25.5,,,443.0,,,,,1011.5,9300.0
83,1986-12,,,,158.0,,,,,,
84,1987-01,,,,9.0,,,,,,
85,1987-02,25.9,,,19.0,,,,,1014.0,15180.0
86,1987-03,26.6,,,3.0,,,,,1012.3,15840.0
87,1987-04,28.0,,,16.0,,,,,1012.8,15480.0
88,1987-05,27.9,,,105.0,,,,,1012.2,12240.0
89,1987-06,27.2,,,151.0,,,,,1014.3,11100.0
90,1987-07,26.8,,,286.0,,,,,1013.0,9660.0
91,1987-08,27.3,,,158.0,,,,,1013.1,13260.0
92,1987-09,27.1,,,187.0,,,,,1012.8,11580.0
93,1987-10,27.3,,,172.0,,,,,1011.1,14340.0
94,1987-11,26.4,,,233.0,,,,,1011.4,12660.0
95,1987-12,26.5,,,123.0,,,,,1013.2,14580.0
96,1988-01,25.4,,,48.0,,,,,1014.2,14700.0
97,1988-02,25.7,,,37.0,,,,,1013.0,15600.0
98,1988-03,26.3,,,4.0,,,,,1014.6,16020.0
99,1988-04,27.4,,,9.0,,,,,1013.2,16560.0
100,1988-05,27.9,,,70.0,,,,,1013.7,18120.0
101,1988-06,27.0,,,287.0,,,,,1013.8,13320.0
102,1988-07,26.8,,,278.0,,,,,1014.4,12540.0
103,1988-08,26.6,,,286.0,,,,,1012.6,11640.0
104,1988-09,26.5,,,253.0,,,,,1012.4,9060.0
105,1988-10,26.4,,,488.0,,,,,1010.5,10980.0
106,1988-11,26.0,,,217.0,,,,,1012.2,11460.0
107,1988-12,25.3,,,191.0,,,,,1012.9,13080.0
108,1989-01,25.0,,,77.0,,,,,1013.9,15420.0
109,1989-02,24.9,,,67.0,,,,,1014.7,13080.0
110,1989-03,,,,,,,,,,
111,1989-04,26.1,,,28.0,,,,,1013.6,15720.0
112,1989-05,26.7,,,84.0,,,,,1014.6,16020.0
113,1989-06,24.7,,,160.0,,,,,1014.6,15480.0
114,1989-07,,,,,,,,,,
115,1989-08,27.1,,,108.0,,,,,1013.0,15660.0
116,1989-09,,,,,,,,,,
117,1989-10,26.8,,,120.0,,,,,1012.4,15180.0
118,1989-11,26.2,,,292.0,,,,,1011.0,9120.0
119,1989-12,25.3,,,57.0,,,,,1014.0,15720.0
120,1990-01,25.2,,,73.0,,,,,1013.5,13620.0
121,1990-02,25.0,,,41.0,,,,,1014.6,11940.0
122,1990-03,26.2,,,13.0,,,,,1014.2,12480.0
123,1990-04,27.2,,,69.0,,,,,1012.5,15060.0
124,1990-05,26.9,,,167.0,,,,,1013.5,12900.0
125,1990-06,26.5,,,228.0,,,,,1014.4,12000.0
126,1990-07,26.8,,,258.0,,,,,1014.4,15060.0
127,1990-08,26.7,,,295.0,,,,,1014.1,12960.0
128,1990-09,27.1,,,137.0,,,,,1012.4,13440.0
129,1990-10,27.1,,,154.0,,,,,1011.4,12000.0
130,1990-11,26.5,,,206.0,,,,,1012.0,12780.0
131,1990-12,25.7,,,95.0,,,,,1012.8,13980.0
132,1991-01,25.2,,,51.0,,,,,1014.8,15480.0
133,1991-02,25.5,,,42.0,,,,,1014.4,12840.0
134,1991-03,25.9,,,48.0,,,,,1013.5,15120.0
135,1991-04,26.4,,,84.0,,,,,1013.5,13740.0
136,1991-05,27.2,,,48.0,,,,,1013.6,17100.0
137,1991-06,27.0,,,130.0,,,,,1014.3,14040.0
138,1991-07,26.4,,,203.0,,,,,1014.7,12960.0
139,1991-08,26.0,,,349.0,,,,,1015.0,10680.0
140,1991-09,26.1,,,252.0,,,,,1013.3,10560.0
141,1991-10,26.4,,,128.0,,,,,1012.4,11460.0
142,1991-11,26.3,,,327.0,,,,,,
143,1991-12,25.7,,,76.0,,,,,,
144,1992-01,24.8,,,83.0,,,,,,
145,1992-02,25.3,,,59.0,,,,,1014.3,13500.0
146,1992-03,25.0,,,7.0,,,,,1013.6,16740.0
147,1992-04,27.2,,,14.0,,,,,1013.2,14400.0
148,1992-05,27.3,,,172.0,,,,,1013.1,13440.0
149,1992-06,26.0,,,383.0,,,,,1013.9,8220.0
150,1992-07,27.6,,,244.0,,,,,,
151,1992-08,26.5,,,208.0,,,,,1014.7,13140.0
152,1992-09,26.7,,,215.0,,,,,1012.1,11280.0
153,1992-10,26.9,,,145.0,,,,,,
154,1992-11,26.2,,,128.0,,,,,1011.1,11340.0
155,1992-12,25.7,,,97.0,,,,,1012.6,13440.0
156,1993-01,25.0,,,100.0,,,,,,
157,1993-02,25.4,,,20.0,,,,,,
158,1993-03,26.4,,,17.0,,,,,1014.3,14760.0
159,1993-04,27.5,,,14.0,,,,,1013.5,14880.0
160,1993-05,27.6,,,170.0,,,,,,
161,1993-06,27.7,,,187.0,,,,,1014.2,12060.0
162,1993-07,27.0,,,116.0,,,,,1014.1,13980.0
163,1993-08,26.7,,,449.0,,,,,1015.1,11100.0
164,1993-09,26.8,,,220.0,,,,,1012.9,12120.0
165,1993-10,26.8,,,209.0,,,,,1012.5,12180.0
166,1993-11,26.2,,,331.0,,,,,1011.7,9240.0
167,1993-12,26.0,,,157.0,,,,,1012.8,12660.0
168,1994-01,25.7,,,33.0,,,,,1013.9,15360.0
169,1994-02,25.8,,,34.0,,,,,1014.5,14580.0
170,1994-03,26.3,,,34.0,,,,,1014.9,15060.0
171,1994-04,26.7,,,64.0,,,,,1013.8,15240.0
172,1994-05,27.5,,,71.0,,,,,1013.8,16080.0
173,1994-06,25.3,,,282.0,,,,,1015.7,12120.0
174,1994-07,26.5,,,205.0,,,,,1014.7,11820.0
175,1994-08,26.8,,,198.0,,,,,1014.0,13980.0
176,1994-09,26.5,,,273.0,,,,,1013.2,11820.0
177,1994-10,26.5,,,249.0,,,,,1011.4,12300.0
178,1994-11,26.1,,,241.0,,,,,1012.1,12480.0
179,1994-12,25.6,,,109.0,,,,,1013.0,14100.0
180,1995-01,25.4,20.9,31.2,27.0,,,,,1015.4,17400.0
181,1995-02,25.6,21.3,31.6,28.0,,,,,1017.7,15480.0
182,1995-03,26.4,22.5,32.8,26.0,,,,,1015.1,15180.0
183,1995-04,27.6,21.3,35.0,43.0,,,,,1014.4,16140.0
184,1995-05,28.3,21.7,34.7,37.0,,,,,1014.4,17220.0
185,1995-06,27.1,24.4,31.5,177.0,,,,,1013.8,10800.0
186,1995-07,27.1,24.0,31.9,410.0,,,,,1013.0,12900.0
187,1995-08,27.0,23.9,32.6,329.0,,,,,1012.1,10920.0
188,1995-09,28.3,25.8,31.7,66.0,,,,,1013.4,14280.0
189,1995-10,27.1,23.5,33.0,89.0,,,,,,
190,1995-11,26.6,22.8,32.4,114.0,,,,,,
191,1995-12,26.4,22.0,32.3,74.0,,,,,1013.0,16320.0
192,1996-01,25.8,21.1,31.9,52.0,,,,,1012.7,16920.0
193,1996-02,26.2,22.4,31.8,29.0,,,,,1013.2,15360.0
194,1996-03,26.4,21.8,32.1,19.0,,,,,1013.6,16500.0
195,1996-04,27.1,22.9,32.8,34.0,,,,,1013.4,14400.0
196,1996-05,26.8,23.7,31.4,203.0,,,,,1014.1,13560.0
197,1996-06,26.6,23.5,30.6,326.0,,,,,1014.2,9420.0
198,1996-07,26.7,23.9,28.1,287.0,,,,,1014.6,12300.0
199,1996-08,26.4,24.8,29.1,207.0,,,,,1014.6,13680.0
200,1996-09,26.9,23.4,32.2,204.0,,,,,1012.3,10620.0
201,1996-10,27.0,23.5,32.1,149.0,,,,,1011.5,13200.0
202,1996-11,26.2,23.3,31.0,174.0,,,,,1010.9,11280.0
203,1996-12,26.1,22.5,30.9,120.0,,,,,1012.3,13920.0
204,1997-01,25.9,21.5,31.9,85.0,,,,,1013.3,12720.0
205,1997-02,25.3,22.6,29.4,112.0,,,,,1014.2,10800.0
206,1997-03,25.6,21.7,32.4,27.0,,,,,1014.1,16080.0
207,1997-04,26.6,22.6,32.1,38.0,,,,,1013.7,15000.0
208,1997-05,27.1,23.9,31.8,62.0,,,,,1016.5,14700.0
209,1997-06,26.7,24.1,31.0,276.0,,,,,1013.3,10260.0
210,1997-07,26.7,23.8,31.3,312.0,,,,,1014.6,12900.0
211,1997-08,26.9,23.8,31.7,190.0,,,,,1014.5,12960.0
212,1997-09,27.6,24.0,33.0,136.0,,,,,1012.2,12840.0
213,1997-10,27.9,23.9,33.7,125.0,,,,,1011.3,14640.0
214,1997-11,26.7,23.7,31.7,358.0,,,,,1012.2,13260.0
215,1997-12,26.3,22.2,31.6,78.0,,,,,1013.5,17100.0
216,1998-01,26.2,22.9,31.2,32.0,,,,,1013.3,17640.0
217,1998-02,26.8,23.5,32.2,30.0,,,,,1013.8,13620.0
218,1998-03,27.2,23.2,32.7,12.0,,,,,1013.3,16740.0
219,1998-04,28.3,24.7,33.7,24.0,,,,,1012.4,15960.0
220,1998-05,27.7,24.9,32.1,212.0,,,,,1013.4,12120.0
221,1998-06,27.2,24.5,31.3,418.0,,,,,1014.6,8220.0
222,1998-07,27.2,24.2,32.1,298.0,,,,,1014.2,12300.0
223,1998-08,27.9,24.3,33.1,208.0,,,,,1012.8,13740.0
224,1998-09,27.7,24.4,33.1,210.0,,,,,1012.5,12180.0
225,1998-10,27.1,24.2,32.1,309.0,,,,,1012.2,10680.0
226,1998-11,26.5,23.5,31.4,152.0,,,,,1011.6,10260.0
227,1998-12,26.3,23.3,31.5,225.0,,,,,1012.1,10980.0
228,1999-01,25.6,22.3,31.0,158.0,,,,,1013.0,12180.0
229,1999-02,25.8,22.0,31.4,56.0,,,,,1013.6,11040.0
230,1999-03,26.3,22.3,31.8,60.0,,,,,1012.7,15120.0
231,1999-04,27.1,23.6,32.4,67.0,,,,,1013.7,14280.0
232,1999-05,27.8,23.7,33.3,12.0,,,,,1014.2,18180.0
233,1999-06,27.3,23.7,32.5,289.0,,,,,1013.6,11520.0
234,1999-07,27.3,23.7,32.5,171.0,,,,,1014.3,14400.0
235,1999-08,27.0,23.6,32.8,257.0,,,,,1013.4,11280.0
236,1999-09,27.6,24.0,34.0,192.0,,,,,1011.7,12240.0
237,1999-10,26.8,23.5,32.8,233.0,,,,,1012.1,10620.0
238,1999-11,27.2,23.9,32.6,248.0,,,,,1011.4,13500.0
239,1999-12,26.6,22.8,32.2,171.0,,,,,1012.0,13620.0
240,2000-01,25.8,22.0,31.0,66.0,,,,,1013.0,15780.0
241,2000-02,25.8,22.1,31.2,44.0,,,,,1015.1,13020.0
242,2000-03,26.1,22.4,31.7,79.0,,,,,1013.4,12780.0
243,2000-04,26.8,23.4,31.6,98.0,,,,,1014.0,15060.0
244,2000-05,27.3,24.0,32.2,135.0,,,,,1013.6,12900.0
245,2000-06,27.1,24.3,31.3,201.0,,,,,1014.2,10920.0
246,2000-07,27.0,23.8,31.7,200.0,,,,,1013.6,12240.0
247,2000-08,27.6,24.0,32.8,233.0,,,,,1013.3,14400.0
248,2000-09,27.3,23.9,32.9,223.0,,,,,1012.1,11820.0
249,2000-10,27.1,23.7,32.3,213.0,,,,,1012.4,13320.0
250,2000-11,26.2,23.2,31.6,390.0,,,,,1011.0,8580.0
251,2000-12,25.9,22.1,31.0,77.0,,,,,,
252,2001-01,25.6,21.2,31.3,9.0,,,,,1015.2,16800.0
253,2001-02,25.3,20.8,31.5,28.0,,,,,1014.7,13800.0
254,2001-03,26.6,22.0,32.4,19.0,,,,,1014.5,18120.0
255,2001-04,27.2,22.7,33.0,13.0,,,,,1014.2,15600.0
256,2001-05,28.1,24.1,33.7,47.0,,,,,1013.6,16740.0
257,2001-06,27.3,23.6,32.1,228.0,,,,,,
258,2001-07,27.0,23.7,32.4,195.0,,,,,,
259,2001-08,27.5,23.9,32.9,235.0,,,,,,
