,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,12.1,7.3,,10.0,,,,,1018.2,14580.0
1,1980-02,13.3,,,16.0,,,,,1020.5,13200.0
2,1980-03,15.3,,,23.0,,,,,1013.8,15420.0
3,1980-04,15.6,,20.8,21.0,,,,,1014.5,14400.0
4,1980-05,20.3,,,15.0,,,,,1012.0,18780.0
5,1980-06,23.8,,,1.0,,,,,1014.8,20580.0
6,1980-07,25.3,,,0.0,,,,,1014.9,22500.0
7,1980-08,27.0,22.9,,0.0,,,,,1015.7,21420.0
8,1980-09,25.7,,29.6,26.0,,,,,1018.3,17880.0
9,1980-10,21.1,,,56.0,,,,,1016.1,16260.0
10,1980-11,17.7,,,9.0,,,,,1017.4,11520.0
11,1980-12,10.5,,,45.0,,,,,1019.3,13080.0
12,1981-01,9.9,,,2.0,,,,,1020.7,13440.0
13,1981-02,11.9,7.7,,45.0,,,,,1018.7,12840.0
14,1981-03,16.8,,,5.0,,,,,1015.1,15120.0
15,1981-04,18.6,,,0.0,,,,,1013.8,16140.0
16,1981-05,21.4,,,1.0,,,,,1014.2,19920.0
17,1981-06,24.2,,,9.0,,,,,1014.7,18120.0
18,1981-07,26.1,,,0.0,,,,,1016.4,21360.0
19,1981-08,27.1,,,0.0,,,,,1015.1,20100.0
20,1981-09,25.5,,,6.0,,,,,1016.8,16500.0
21,1981-10,22.6,,27.6,6.0,,,,,1018.1,16680.0
22,1981-11,16.3,,,45.0,,,,,1023.6,15720.0
23,1981-12,14.8,,,3.0,,,,,1014.6,12840.0
24,1982-01,13.3,,,24.0,,,,,1018.2,13440.0
25,1982-02,13.0,,,23.0,,,,,1017.8,13140.0
26,1982-03,14.8,,,20.0,,,,,1018.0,15180.0
27,1982-04,17.9,,,16.0,,,,,1012.3,14760.0
28,1982-05,20.2,,,1.0,,,,,1017.5,18240.0
29,1982-06,26.0,,,0.0,,,,,1015.9,21000.0
30,1982-07,29.3,,34.2,0.0,,,,,1015.2,22140.0
31,1982-08,28.5,,,0.0,,,,,1014.7,20400.0
32,1982-09,26.9,,,15.0,,,,,1016.5,16440.0
33,1982-10,23.2,,,18.0,,,,,1014.3,14160.0
34,1982-11,16.8,,,43.0,,,,,1018.3,11880.0
35,1982-12,11.4,,,82.0,,,,,1020.8,12000.0
36,1983-01,11.1,,,3.0,,,,,1030.5,14820.0
37,1983-02,12.6,,,16.0,,,,,1019.5,14460.0
38,1983-03,15.1,,,14.0,,,,,1018.3,15240.0
39,1983-04,18.1,,,0.0,,,,,1015.9,14700.0
40,1983-05,20.8,,,4.0,,,,,1014.4,16440.0
41,1983-06,24.2,,,11.0,,,,,1016.1,19860.0
42,1983-07,27.1,,,0.0,,,,,1015.4,21660.0
43,1983-08,28.5,,,0.0,,,,,1014.4,19680.0
44,1983-09,25.4,,,0.5,,,,,1017.0,18780.0
45,1983-10,21.9,,,11.0,,,,,1020.2,14580.0
46,1983-11,18.6,,,1.0,,,,,1016.5,13200.0
47,1983-12,13.2,,,57.0,,,,,1019.7,13440.0
48,1984-01,12.1,,,1.0,,,,,1021.2,14040.0
49,1984-02,11.9,,,16.0,,,,,1017.5,12600.0
50,1984-03,14.4,,,25.0,,,,,1013.8,15180.0
51,1984-04,17.8,,,9.0,,,,,1013.4,17640.0
52,1984-05,21.5,,,10.0,,,,,1009.9,19080.0
53,1984-06,23.3,,,0.0,,,,,1017.4,19380.0
54,1984-07,26.0,,,0.0,,,,,1017.5,22440.0
55,1984-08,27.6,,,0.5,,,,,1015.3,19080.0
56,1984-09,25.9,,,1.0,,,,,1014.8,17160.0
57,1984-10,21.0,,,266.0,,,,,1018.3,11760.0
58,1984-11,17.5,,,11.0,,,,,1016.1,14160.0
59,1984-12,12.8,,,18.0,,,,,1020.6,10980.0
60,1985-01,11.2,,,18.0,,,,,1014.8,12120.0
61,1985-02,15.7,,,0.0,,,,,1019.9,13080.0
62,1985-03,14.6,,,23.0,,,,,1014.9,14940.0
63,1985-04,18.2,,,13.0,,,,,1014.4,15060.0
64,1985-05,21.3,,,3.0,,,,,1011.5,18540.0
65,1985-06,24.8,,,0.0,,,,,1014.9,20340.0
66,1985-07,27.6,,,0.0,,,,,1015.9,16020.0
67,1985-08,27.1,,,0.0,,,,,1015.7,21000.0
68,1985-09,24.7,,,17.0,,,,,1017.9,17160.0
69,1985-10,21.5,,,19.0,,,,,1019.8,15960.0
70,1985-11,19.0,,,0.0,,,,,1015.6,14280.0
71,1985-12,13.7,,,22.0,,,,,1021.1,10200.0
72,1986-01,12.6,,,3.0,,,,,1019.8,15000.0
73,1986-02,14.4,,,0.0,,,,,1012.1,14820.0
74,1986-03,15.5,,,37.0,,,,,1016.9,13800.0
75,1986-04,17.9,,,43.0,,,,,1012.6,15000.0
76,1986-05,21.9,,,3.0,,,,,1017.3,19500.0
77,1986-06,24.3,,,1.0,,,,,1014.9,20340.0
78,1986-07,26.7,,,0.0,,,,,1015.4,21120.0
79,1986-08,28.4,,,0.0,,,,,1014.8,20700.0
80,1986-09,26.5,,,1.0,,,,,1016.8,16080.0
81,1986-10,23.1,,,10.0,,,,,1018.0,13620.0
82,1986-11,16.3,,,31.0,,,,,1020.4,12600.0
83,1986-12,12.3,,,47.0,,,,,1023.9,11940.0
84,1987-01,11.2,,,1.0,,,,,1018.5,13140.0
85,1987-02,13.9,,,3.0,,,,,1015.3,12240.0
86,1987-03,14.1,,,13.0,,,,,1016.7,14820.0
87,1987-04,17.1,,,,,,,,,
88,1987-05,19.8,,,,,,,,,
89,1987-06,24.4,,,3.0,,,,,1016.4,18360.0
90,1987-07,27.5,,30.8,3.0,,,,,1013.6,19320.0
91,1987-08,28.7,,,0.0,,,,,1014.6,20220.0
92,1987-09,27.1,,,10.0,,,,,1017.3,17940.0
93,1987-10,23.8,,,31.0,,,,,1017.5,14700.0
94,1987-11,17.0,,,14.0,,,,,1017.0,12840.0
95,1987-12,15.4,,,37.0,,,,,1021.0,10680.0
96,1988-01,13.8,,18.4,14.0,,,,,1019.8,12840.0
97,1988-02,13.3,,17.8,1.0,,,,,1018.3,13740.0
98,1988-03,16.4,,,8.0,,,,,1017.0,16440.0
99,1988-04,18.5,,22.0,0.5,,,,,1013.5,16980.0
100,1988-05,23.3,,,1.0,,,,,1012.3,19020.0
101,1988-06,24.8,,,8.0,,,,,,
102,1988-07,27.8,,,0.0,,,,,,
103,1988-08,28.2,,32.0,0.5,,,,,1014.1,20760.0
104,1988-09,25.7,,,26.0,,,,,1017.0,16980.0
105,1988-10,23.4,,,2.0,,,,,1017.5,15480.0
106,1988-11,17.9,,21.5,75.0,,,,,1018.5,9360.0
107,1988-12,11.9,,,38.0,,,,,1021.8,12180.0
108,1989-01,12.0,,,19.0,,,,,1028.8,11880.0
109,1989-02,13.4,,,6.0,,,,,1024.1,11880.0
110,1989-03,15.9,,,2.0,,,,,1016.7,16140.0
111,1989-04,18.9,,,1.0,,,,,1012.2,17940.0
112,1989-05,20.9,,,0.5,,,,,1016.0,16560.0
113,1989-06,24.0,,,0.0,,,,,1015.3,20640.0
114,1989-07,27.1,,,2.0,,,,,,
115,1989-08,28.7,,,1.0,,,,,1013.6,19920.0
116,1989-09,26.9,,,4.0,,,,,1014.9,16680.0
117,1989-10,21.8,,,12.0,,,,,1019.2,14580.0
118,1989-11,18.9,,,50.6,,,,,,
119,1989-12,16.0,,,2.0,,,,,1018.7,14400.0
120,1990-01,13.1,,,219.0,,,,,1022.3,9240.0
121,1990-02,15.3,,,0.0,,,,,1023.6,15300.0
122,1990-03,16.2,,,10.0,,,,,1025.1,14460.0
123,1990-04,19.0,,,24.0,,,,,1014.6,15000.0
124,1990-05,21.0,,,20.0,,,,,1015.2,16200.0
125,1990-06,24.8,,,2.0,,,,,1014.8,19860.0
126,1990-07,27.2,,,0.0,,,,,,
127,1990-08,27.6,,,,,,,,,
128,1990-09,28.2,,32.4,4.1,,,,,,
129,1990-10,25.7,,30.5,,,,,,,
130,1990-11,17.7,,,73.0,,,,,1015.2,11520.0
131,1990-12,11.3,,,60.0,,,,,1017.1,13740.0
132,1991-01,11.7,,,17.0,,,,,1023.2,14640.0
133,1991-02,12.2,,16.8,6.0,,,,,1017.7,13260.0
134,1991-03,16.8,,,27.0,,,,,1012.5,12840.0
135,1991-04,16.5,,,1.0,,,,,1015.5,15720.0
136,1991-05,18.9,,,1.0,,,,,1015.7,17940.0
137,1991-06,23.3,,,33.0,,,,,,
138,1991-07,26.7,,,0.0,,,,,1014.9,21420.0
