,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-3.2,,,86.0,,,,,1022.2,
1,1980-02,-0.1,,,31.0,,,,,1019.6,
2,1980-03,4.9,,,34.0,,,,,1010.8,
3,1980-04,9.4,,,59.0,,,,,1011.7,
4,1980-05,15.5,,,68.0,,,,,1010.6,
5,1980-06,19.9,,,19.0,,,,,1009.6,
6,1980-07,24.9,,,10.0,,,,,1006.0,
7,1980-08,22.5,,,6.0,,,,,1009.7,
8,1980-09,16.4,,,1.0,,,,,1015.2,
9,1980-10,13.8,,,3.0,,,,,1016.3,
10,1980-11,7.8,,,61.0,,,,,1020.0,
11,1980-12,3.6,,,39.0,,,,,1018.3,
12,1981-01,2.6,,,66.0,,,,,1012.9,
13,1981-02,2.6,,,37.0,,,,,1016.7,
14,1981-03,7.0,,,87.0,,,,,1014.2,
15,1981-04,10.2,,,26.0,,,,,1014.0,
16,1981-05,13.4,,,53.0,,,,,1012.2,
17,1981-06,20.8,,,25.0,,,,,1011.1,
18,1981-07,23.4,,,23.0,,,,,1007.6,
19,1981-08,22.1,,,8.0,,,,,1010.1,
20,1981-09,19.2,,,24.0,,,,,1014.4,
21,1981-10,15.3,,,15.0,,,,,1017.3,
22,1981-11,5.0,,,56.0,,,,,1019.5,
23,1981-12,6.4,,,75.0,,,,,1014.3,
24,1982-01,1.2,,,33.0,,,,,1020.9,
25,1982-02,-0.2,,,10.0,,,,,1020.0,
26,1982-03,4.4,,,25.0,,,,,1016.7,
27,1982-04,10.9,,,87.0,,,,,1011.5,
28,1982-05,16.1,,,24.0,,,,,1013.9,
29,1982-06,19.1,,,44.0,,,,,1011.6,
30,1982-07,20.2,,,19.0,,,,,1010.0,
31,1982-08,21.3,,,81.0,,,,,1009.6,
32,1982-09,18.9,,,1.0,,,,,1014.9,
33,1982-10,12.2,,,23.0,,,,,1017.9,
34,1982-11,4.4,,,3.0,,,,,1024.7,
35,1982-12,3.0,,,24.0,,,,,1021.5,
36,1983-01,-3.6,,,43.0,,,,,1023.4,
37,1983-02,-0.3,,,37.0,,,,,1018.5,
38,1983-03,5.9,,,13.0,,,,,1017.8,
39,1983-04,12.1,,,42.0,,,,,1014.0,
40,1983-05,15.7,,,73.0,,,,,1010.5,
41,1983-06,18.1,,,42.0,,,,,1011.6,
42,1983-07,21.4,,,42.0,,,,,1008.7,
43,1983-08,20.1,,,28.0,,,,,1010.3,
44,1983-09,18.3,,,10.0,,,,,1012.9,
45,1983-10,10.9,,,21.0,,,,,1019.9,
46,1983-11,6.6,,,113.0,,,,,1018.4,
47,1983-12,2.7,,,24.0,,,,,1023.0,
48,1984-01,2.8,,,41.0,,,,,1019.2,
49,1984-02,4.3,,,24.0,,,,,1019.9,
50,1984-03,6.1,,,38.0,,,,,1012.6,
51,1984-04,8.3,,,77.0,,,,,1011.4,
52,1984-05,16.3,,,29.0,,,,,1012.1,
53,1984-06,19.5,,,27.0,,,,,1010.5,
54,1984-07,21.5,,,37.0,,,,,1008.3,
55,1984-08,19.2,,,15.0,,,,,1010.5,
56,1984-09,19.8,,,0.0,,,,,1012.1,
57,1984-10,13.4,,,0.5,,,,,1020.0,
58,1984-11,7.3,,,22.0,,,,,1019.3,
59,1984-12,-1.1,,,4.0,,,,,1026.2,
60,1985-01,2.5,,,63.0,,,,,1016.7,
61,1985-02,-3.5,,,74.0,,,,,1018.6,
62,1985-03,3.0,,,17.0,,,,,1019.7,
63,1985-04,11.8,,,49.0,,,,,1011.5,
64,1985-05,17.6,,,49.0,,,,,1011.0,
65,1985-06,20.1,,,50.0,,,,,1009.5,
66,1985-07,20.8,,,6.0,,,,,1011.1,
67,1985-08,24.9,,,2.0,,,,,1007.0,
68,1985-09,17.9,,,0.0,,,,,1014.6,
69,1985-10,10.3,,,56.0,,,,,1018.9,
70,1985-11,8.7,,,49.0,,,,,1017.5,
71,1985-12,2.0,,,33.0,,,,,1022.0,
72,1986-01,3.0,,,76.0,,,,,1017.7,
73,1986-02,3.7,,,49.0,,,,,1014.5,
74,1986-03,7.7,,,16.0,,,,,1016.9,
75,1986-04,13.4,,,15.0,,,,,1012.5,
76,1986-05,12.8,,,39.0,,,,,1013.1,
77,1986-06,18.9,,,63.0,,,,,1009.2,
78,1986-07,24.6,,,7.0,,,,,1008.2,
79,1986-08,25.9,,,0.5,,,,,1007.7,
80,1986-09,20.2,,,14.0,,,,,1013.5,
81,1986-10,12.2,,,8.0,,,,,1018.2,
82,1986-11,4.0,,,24.0,,,,,1023.3,
83,1986-12,1.1,,,74.0,,,,,1020.3,
84,1987-01,2.2,,,87.0,,,,,1017.9,
85,1987-02,4.6,,,19.0,,,,,1017.0,
