,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,1.0,-3.0,5.0,51.0,,,,,1023.6,5340.0
1,1980-02,0.1,-2.9,4.2,68.0,,,,,1025.2,4680.0
2,1980-03,8.4,4.6,13.4,36.0,,,,,1018.9,6900.0
3,1980-04,19.0,13.3,25.5,35.0,,,,,1012.1,11760.0
4,1980-05,23.7,17.3,30.5,17.0,,,,,1012.3,14880.0
5,1980-06,28.4,20.9,36.0,0.0,,,,,1008.8,19800.0
6,1980-07,31.9,22.8,40.0,0.5,,,,,1006.4,23160.0
7,1980-08,27.0,20.6,36.1,3.0,,,,,1009.4,19800.0
8,1980-09,23.0,15.6,31.1,0.0,,,,,1013.9,18120.0
9,1980-10,14.7,9.4,21.6,25.0,,,,,1019.0,12180.0
10,1980-11,12.3,7.7,18.1,29.0,,,,,1019.1,7320.0
11,1980-12,6.3,2.7,11.6,14.0,,,,,1021.0,5400.0
12,1981-01,6.0,1.9,11.4,25.0,,,,,1020.0,8100.0
13,1981-02,6.6,2.1,11.7,39.0,,,,,1020.0,6840.0
14,1981-03,11.9,7.9,17.4,48.0,,,,,1015.3,8340.0
15,1981-04,15.3,10.4,21.2,76.0,,,,,1014.9,10200.0
16,1981-05,20.9,15.5,27.0,71.0,,,,,1013.0,13800.0
17,1981-06,27.3,20.4,34.1,6.0,,,,,1009.5,19800.0
18,1981-07,30.7,24.0,37.2,25.0,,,,,1006.3,20160.0
19,1981-08,28.9,20.9,36.6,2.0,,,,,1009.0,21420.0
20,1981-09,23.5,15.8,31.9,8.0,,,,,1015.5,18060.0
21,1981-10,14.7,7.9,23.0,5.0,,,,,1022.0,
22,1981-11,11.9,5.3,19.7,23.0,,,,,1020.5,
23,1981-12,6.7,2.5,12.1,13.0,,,,,1020.8,6420.0
24,1982-01,1.5,-2.0,6.7,40.0,,,,,1021.9,7020.0
25,1982-02,3.2,-0.2,8.0,35.0,,,,,1020.5,
26,1982-03,9.0,3.7,14.8,23.0,,,,,1017.8,9240.0
27,1982-04,19.9,13.0,27.6,7.0,,,,,1013.6,14400.0
28,1982-05,23.5,16.6,30.7,35.0,,,,,1015.6,15900.0
29,1982-06,27.4,20.3,34.7,8.0,,,,,1009.8,19860.0
30,1982-07,30.6,22.3,38.3,0.0,,,,,1005.3,20880.0
31,1982-08,27.6,20.0,34.9,1.0,,,,,1009.6,
32,1982-09,22.3,14.0,30.6,0.0,,,,,1017.7,
33,1982-10,14.1,9.4,20.8,26.0,,,,,1019.7,9480.0
34,1982-11,5.2,1.4,10.3,32.0,,,,,1025.9,6360.0
35,1982-12,4.1,-0.6,10.8,6.0,,,,,1023.3,8820.0
36,1983-01,4.7,0.0,11.3,25.0,,,,,1021.0,7800.0
37,1983-02,8.1,2.2,15.3,2.5,,,,,1018.4,11100.0
38,1983-03,9.7,3.6,16.7,31.0,,,,,1019.3,12780.0
39,1983-04,17.6,11.8,24.2,55.0,,,,,1015.2,10320.0
40,1983-05,24.1,17.6,30.8,19.0,,,,,1011.3,13020.0
41,1983-06,29.1,21.7,36.3,5.0,,,,,1009.6,19320.0
42,1983-07,33.1,25.1,40.6,0.0,,,,,1004.4,21420.0
43,1983-08,29.8,22.5,37.2,2.0,,,,,1007.2,19020.0
44,1983-09,23.3,16.2,30.8,1.0,,,,,1013.6,15120.0
45,1983-10,15.6,8.5,24.2,0.5,,,,,1020.0,15180.0
46,1983-11,11.9,6.6,19.3,14.0,,,,,1021.0,8880.0
47,1983-12,4.9,1.0,10.7,28.0,,,,,1024.7,6600.0
48,1984-01,2.1,-1.7,7.1,12.0,,,,,1023.7,6960.0
49,1984-02,-2.7,-6.4,1.4,9.0,,,,,1031.1,5400.0
50,1984-03,8.8,5.4,13.6,56.0,,,,,1019.2,
51,1984-04,17.7,11.3,24.8,48.0,,,,,1012.9,13020.0
52,1984-05,21.7,15.3,28.3,27.0,,,,,1012.2,14160.0
53,1984-06,28.1,20.4,35.3,0.5,,,,,1009.0,20340.0
54,1984-07,32.4,23.9,40.6,0.0,,,,,1005.0,22140.0
55,1984-08,30.2,22.8,37.5,0.0,,,,,1006.1,19980.0
56,1984-09,22.7,14.9,31.3,0.0,,,,,1015.0,18060.0
57,1984-10,15.4,9.0,23.2,33.0,,,,,1020.5,13020.0
58,1984-11,10.3,6.3,16.3,41.0,,,,,1021.2,6360.0
59,1984-12,-2.7,-5.8,1.3,16.0,,,,,1031.4,5040.0
60,1985-01,1.0,-1.6,4.8,29.0,,,,,1022.2,2400.0
61,1985-02,7.4,2.7,14.2,36.0,,,,,1012.8,7920.0
62,1985-03,7.1,2.8,12.6,35.0,,,,,1023.8,7920.0
63,1985-04,18.8,12.1,26.6,11.0,,,,,1012.4,11700.0
64,1985-05,24.5,16.4,32.0,12.0,,,,,1011.7,19920.0
65,1985-06,30.3,22.3,37.9,0.5,,,,,1006.3,20580.0
66,1985-07,30.5,23.3,37.4,0.0,,,,,1007.1,20160.0
67,1985-08,27.8,19.9,35.7,3.0,,,,,1010.6,20640.0
68,1985-09,23.5,15.1,32.7,0.0,,,,,1013.4,18240.0
69,1985-10,14.1,8.2,22.1,14.0,,,,,1020.4,12360.0
70,1985-11,10.0,4.3,16.8,1.0,,,,,1023.4,9600.0
71,1985-12,5.2,2.0,9.7,36.0,,,,,1022.2,3540.0
72,1986-01,4.8,0.9,9.7,27.0,,,,,1020.9,6300.0
73,1986-02,5.8,1.5,10.7,48.0,,,,,1020.2,6120.0
74,1986-03,5.9,1.1,10.7,21.0,,,,,1024.5,8400.0
75,1986-04,16.7,10.8,22.7,46.0,,,,,1017.8,10140.0
76,1986-05,23.9,16.7,31.1,11.0,,,,,1021.9,16380.0
77,1986-06,28.2,20.1,35.7,3.0,,,,,1006.9,18900.0
78,1986-07,30.7,22.4,38.4,18.0,,,,,1008.3,21120.0
79,1986-08,28.3,19.7,36.6,0.5,,,,,1010.8,21660.0
80,1986-09,24.5,16.6,32.9,6.0,,,,,1015.6,17400.0
81,1986-10,16.6,10.9,24.1,13.0,,,,,1020.5,12660.0
82,1986-11,8.5,3.7,15.1,5.0,,,,,1023.0,8760.0
83,1986-12,5.9,1.6,11.5,48.0,,,,,1021.2,7020.0
84,1987-01,7.2,2.4,13.9,5.0,,,,,1020.8,8100.0
85,1987-02,6.4,1.6,13.0,10.6,,,,,,
86,1987-03,9.4,6.5,13.8,101.0,,,,,1015.8,3120.0
87,1987-04,15.4,9.8,21.8,14.0,,,,,1016.7,11160.0
88,1987-05,25.5,17.7,33.0,15.0,,,,,1012.2,17400.0
89,1987-06,29.2,20.5,36.6,0.5,,,,,1010.1,21600.0
90,1987-07,30.4,22.9,37.7,5.0,,,,,1008.3,19980.0
91,1987-08,30.4,22.4,38.0,0.0,,,,,1008.2,
92,1987-09,25.3,14.8,30.0,4.0,,,,,1015.3,15660.0
93,1987-10,11.4,6.4,17.9,35.0,,,,,1026.2,10680.0
94,1987-11,9.5,4.8,16.0,12.0,,,,,1023.6,8520.0
95,1987-12,7.0,2.1,13.9,19.0,,,,,1020.7,11760.0
96,1988-01,2.7,0.0,6.6,45.0,,,,,1022.4,4380.0
97,1988-02,2.9,-0.5,7.7,36.0,,,,,1022.5,4560.0
98,1988-03,10.8,5.8,16.8,39.0,,,,,1014.9,10200.0
99,1988-04,18.0,12.4,24.8,27.0,,,,,1015.5,10200.0
100,1988-05,22.2,15.7,28.5,35.0,,,,,1013.7,16320.0
101,1988-06,29.8,21.6,37.4,6.0,,,,,1005.9,20100.0
102,1988-07,30.4,22.9,37.8,18.0,,,,,1005.8,19980.0
103,1988-08,28.0,20.0,35.9,4.0,,,,,1008.3,
104,1988-09,23.0,15.7,31.2,4.0,,,,,1014.5,16800.0
105,1988-10,16.2,9.2,25.1,1.0,,,,,1020.2,14100.0
106,1988-11,12.4,6.8,20.1,4.0,,,,,1019.4,9240.0
107,1988-12,8.8,3.8,16.4,6.0,,,,,1017.6,9360.0
108,1989-01,1.3,-1.7,5.8,16.0,,,,,1023.8,3960.0
109,1989-02,2.8,-2.0,9.3,27.0,,,,,1026.2,9060.0
110,1989-03,11.9,6.1,18.8,39.0,,,,,1016.2,11040.0
111,1989-04,17.8,10.2,25.6,5.0,,,,,1017.8,16680.0
112,1989-05,22.5,14.3,30.3,12.0,,,,,1014.9,18540.0
113,1989-06,30.1,22.2,37.9,0.5,,,,,1008.0,19440.0
114,1989-07,32.6,24.7,40.4,0.5,,,,,1007.0,21240.0
115,1989-08,30.3,21.8,38.8,0.5,,,,,1007.9,21240.0
116,1989-09,22.7,14.5,31.4,0.5,,,,,1013.3,17160.0
117,1989-10,18.4,11.7,26.5,5.0,,,,,1018.6,13200.0
118,1989-11,10.9,4.3,19.0,5.0,,,,,1021.0,10500.0
119,1989-12,6.8,4.2,10.3,55.0,,,,,1020.7,3300.0
120,1990-01,3.0,-0.3,7.4,15.0,,,,,1024.9,3780.0
121,1990-02,6.4,2.3,11.8,13.0,,,,,1020.0,6060.0
122,1990-03,11.6,6.0,17.6,23.0,,,,,1021.3,10920.0
123,1990-04,16.4,11.2,22.9,60.0,,,,,1014.3,11280.0
124,1990-05,23.7,16.3,31.0,8.0,,,,,1013.1,17220.0
125,1990-06,30.7,23.0,38.0,0.5,,,,,1006.6,21180.0
126,1990-07,31.3,24.0,38.6,1.0,,,,,1006.7,19320.0
127,1990-08,29.6,22.1,36.8,0.5,,,,,1009.3,19560.0
128,1990-09,25.2,17.4,34.2,0.0,,,,,1011.6,17280.0
129,1990-10,15.4,9.6,22.6,16.0,,,,,1020.2,11280.0
130,1990-11,12.2,6.7,19.4,16.0,,,,,1020.8,9360.0
131,1990-12,3.5,0.2,8.6,25.0,,,,,1024.7,4740.0
132,1991-01,3.4,0.2,7.8,8.0,,,,,1023.1,5220.0
133,1991-02,4.6,0.8,9.5,17.0,,,,,1023.4,4680.0
134,1991-03,9.1,5.9,13.4,78.0,,,,,1019.9,4200.0
135,1991-04,18.8,12.7,25.5,6.0,,,,,1014.5,12660.0
136,1991-05,21.6,15.6,28.7,31.0,,,,,1010.6,13380.0
137,1991-06,28.4,21.0,35.5,5.0,,,,,1009.3,19200.0
138,1991-07,31.5,23.4,39.3,0.5,,,,,1005.1,21000.0
139,1991-08,28.5,20.4,36.9,0.5,,,,,1008.5,19800.0
140,1991-09,23.9,17.1,31.6,2.0,,,,,1014.6,15240.0
141,1991-10,18.0,11.2,26.6,1.0,,,,,1019.2,13440.0
142,1991-11,9.2,4.5,15.4,12.0,,,,,1024.2,8160.0
143,1991-12,4.8,1.6,9.4,35.0,,,,,1020.0,
144,1992-01,3.0,-0.4,8.0,54.0,,,,,1021.6,5820.0
145,1992-02,5.7,2.1,11.1,22.0,,,,,1017.0,5100.0
146,1992-03,8.2,3.2,13.8,40.0,,,,,1020.0,7560.0
147,1992-04,16.3,11.2,22.5,32.0,,,,,1014.3,9060.0
148,1992-05,19.2,13.8,24.8,70.0,,,,,1015.7,12600.0
149,1992-06,27.8,21.6,34.4,19.0,,,,,1007.5,17400.0
150,1992-07,30.7,23.2,37.8,0.5,,,,,1007.0,21660.0
151,1992-08,27.4,20.2,34.7,0.5,,,,,1011.6,18420.0
152,1992-09,22.3,14.5,30.5,0.5,,,,,1016.3,16860.0
153,1992-10,15.3,8.9,23.9,15.0,,,,,1019.2,12960.0
154,1992-11,11.4,5.6,19.6,2.0,,,,,1020.5,
155,1992-12,5.8,3.4,9.1,55.0,,,,,1022.1,2040.0
156,1993-01,3.8,0.3,8.6,13.0,,,,,1023.2,4980.0
157,1993-02,3.7,0.4,7.9,48.0,,,,,1024.0,3540.0
158,1993-03,9.9,4.9,16.1,25.0,,,,,1019.0,9360.0
159,1993-04,17.6,11.8,24.2,43.0,,,,,1014.5,10680.0
160,1993-05,22.2,16.2,28.8,36.0,,,,,1012.9,12900.0
161,1993-06,28.5,21.4,35.8,24.0,,,,,1008.5,17820.0
162,1993-07,31.2,23.9,38.4,1.0,,,,,1008.0,21840.0
163,1993-08,28.0,20.1,36.7,11.0,,,,,1011.4,20520.0
164,1993-09,24.6,17.5,33.1,1.0,,,,,1013.1,16380.0
165,1993-10,14.6,7.7,22.8,1.0,,,,,1024.3,12180.0
166,1993-11,5.0,2.6,8.5,48.0,,,,,1025.8,2820.0
167,1993-12,3.8,1.4,7.6,16.0,,,,,1025.6,2520.0
168,1994-01,4.7,2.0,9.1,30.0,,,,,1021.9,
169,1994-02,2.3,-1.1,7.5,34.0,,,,,1022.7,4380.0
170,1994-03,10.4,6.6,15.5,45.0,,,,,1019.2,5640.0
171,1994-04,16.8,10.7,23.1,8.0,,,,,1017.8,12840.0
172,1994-05,24.5,17.3,31.8,8.0,,,,,1012.0,16200.0
173,1994-06,28.3,21.6,35.0,2.0,,,,,1007.8,16860.0
174,1994-07,30.7,24.2,37.8,0.5,,,,,1005.6,20520.0
175,1994-08,30.7,24.1,38.1,0.5,,,,,1007.1,19560.0
176,1994-09,21.1,12.8,30.2,0.0,,,,,1019.2,17880.0
177,1994-10,15.7,9.8,23.5,33.0,,,,,1022.3,
178,1994-11,12.3,8.6,17.7,24.0,,,,,1017.8,
179,1994-12,3.8,0.0,9.4,8.0,,,,,1024.1,
