,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,28.3,,,191.0,,,,,1007.3,12060.0
1,1980-02,28.1,,,463.0,,,,,1007.7,8460.0
2,1980-03,26.8,,,,,,,,,
3,1980-04,28.7,,,98.0,,,,,1007.8,13020.0
4,1980-05,,,,,,,,,,
5,1980-06,28.5,,,152.0,,,,,1009.0,13680.0
6,1980-07,,,,,,,,,,
7,1980-08,,,,,,,,,,
8,1980-09,28.1,,,266.0,,,,,1009.6,13680.0
9,1980-10,,,,,,,,,,
10,1980-11,27.8,,,446.0,,,,,1008.4,8760.0
11,1980-12,28.6,,,441.0,,,,,1007.3,13920.0
12,1981-01,28.6,,,205.0,,,,,1007.6,12180.0
13,1981-02,28.3,,,673.0,,,,,1006.7,6180.0
14,1981-03,28.6,,,365.0,,,,,1007.8,12840.0
15,1981-04,28.2,,,535.0,,,,,1008.4,10260.0
16,1981-05,28.4,,,151.0,,,,,1009.4,13440.0
17,1981-06,28.3,,,100.0,,,,,1009.7,14400.0
18,1981-07,27.9,,,564.0,,,,,1009.3,10080.0
19,1981-08,27.9,,,129.0,,,,,1010.1,15480.0
20,1981-09,28.3,,,325.0,,,,,1009.4,12540.0
21,1981-10,28.1,,,205.0,,,,,1009.2,15660.0
22,1981-11,28.2,,,212.0,,,,,1008.4,13320.0
23,1981-12,28.4,,,392.0,,,,,1007.2,7320.0
24,1982-01,28.3,,,291.0,,,,,1007.6,10680.0
25,1982-02,28.1,,,240.0,,,,,1007.7,
26,1982-03,28.3,,,222.0,,,,,1007.4,11220.0
27,1982-04,28.4,,,149.0,,,,,1009.2,13560.0
28,1982-05,28.6,,,215.0,,,,,1009.2,12960.0
29,1982-06,28.4,,,279.0,,,,,1009.0,13260.0
30,1982-07,28.4,,,191.0,,,,,1008.7,14700.0
31,1982-08,27.9,,,293.0,,,,,1008.5,11820.0
32,1982-09,27.3,,,513.0,,,,,1009.8,7560.0
33,1982-10,27.7,,,428.0,,,,,1008.2,11100.0
34,1982-11,28.1,,,371.0,,,,,1006.9,7920.0
35,1982-12,28.2,,,230.0,,,,,1008.4,12840.0
36,1983-01,28.2,,,656.0,,,,,1007.4,17040.0
37,1983-02,27.8,,,374.0,,,,,1008.7,15540.0
38,1983-03,27.6,,,516.0,,,,,1009.5,9360.0
39,1983-04,27.9,,,109.0,,,,,1009.7,12900.0
40,1983-05,28.1,,,364.0,,,,,1009.8,10320.0
41,1983-06,28.0,,,169.0,,,,,1009.9,11940.0
42,1983-07,27.7,,,253.0,,,,,1009.6,10260.0
43,1983-08,27.3,,,352.0,,,,,1010.9,7560.0
44,1983-09,27.8,,,245.0,,,,,1010.2,11820.0
45,1983-10,27.9,,,202.0,,,,,1009.4,13440.0
46,1983-11,27.8,,,318.0,,,,,1009.4,10200.0
47,1983-12,27.9,,,435.0,,,,,1008.8,8520.0
48,1984-01,28.0,,,258.0,,,,,1008.6,12840.0
49,1984-02,28.1,,,273.0,,,,,1007.7,12300.0
50,1984-03,27.7,,,454.0,,,,,1008.9,8460.0
51,1984-04,28.1,,,165.0,,,,,1009.3,14520.0
52,1984-05,28.1,,,225.0,,,,,1009.2,11220.0
53,1984-06,27.7,,,346.0,,,,,1009.5,10320.0
54,1984-07,27.6,,,204.0,,,,,1009.6,11100.0
55,1984-08,27.5,,,417.0,,,,,1009.5,13380.0
56,1984-09,27.5,,,256.0,,,,,1010.2,11700.0
57,1984-10,27.7,,,356.0,,,,,1009.5,11580.0
58,1984-11,27.7,,,201.0,,,,,1008.8,12600.0
59,1984-12,27.6,,,836.0,,,,,1005.4,9480.0
60,1985-01,27.7,,,466.0,,,,,1007.8,7680.0
61,1985-02,28.0,,,182.0,,,,,1006.8,11580.0
62,1985-03,27.5,,,582.0,,,,,1006.5,6180.0
63,1985-04,28.1,,,159.0,,,,,1008.3,13500.0
64,1985-05,27.9,,,307.0,,,,,1008.2,9960.0
65,1985-06,28.1,,,97.0,,,,,1009.3,13800.0
66,1985-07,27.6,,,210.0,,,,,1010.0,13020.0
67,1985-08,28.2,,,175.0,,,,,1009.8,14340.0
68,1985-09,28.2,,,136.0,,,,,1009.7,15360.0
69,1985-10,28.4,,,189.0,,,,,1009.4,15480.0
70,1985-11,28.3,,,89.0,,,,,1007.9,12360.0
71,1985-12,28.4,,,220.0,,,,,1007.8,11280.0
72,1986-01,28.3,,,542.0,,,,,1006.3,11400.0
73,1986-02,28.1,,,394.0,,,,,1008.2,10140.0
74,1986-03,28.4,,,180.0,,,,,1008.6,13380.0
75,1986-04,28.0,,,497.0,,,,,1007.7,8580.0
76,1986-05,28.6,,,183.0,,,,,,
77,1986-06,28.3,,,224.0,,,,,1008.6,12600.0
78,1986-07,27.7,,,398.0,,,,,1009.7,11580.0
79,1986-08,27.8,,,291.0,,,,,1009.1,14340.0
80,1986-09,28.6,,,75.0,,,,,1009.2,16560.0
81,1986-10,28.5,,,241.0,,,,,1010.4,18660.0
82,1986-11,28.6,,,188.0,,,,,1007.2,11760.0
83,1986-12,28.8,,,316.5,,,,,,
84,1987-01,28.0,,,399.0,,,,,1007.1,6960.0
85,1987-02,28.2,,,488.0,,,,,1006.4,6780.0
86,1987-03,27.9,,,360.0,,,,,1008.6,11280.0
87,1987-04,28.2,,,238.0,,,,,1008.3,10440.0
88,1987-05,27.7,,,509.0,,,,,1008.6,7620.0
89,1987-06,27.8,,,162.0,,,,,1009.5,7740.0
90,1987-07,27.6,,,431.0,,,,,1010.0,6660.0
91,1987-08,27.7,,,206.0,,,,,1009.5,12000.0
92,1987-09,27.8,,,448.0,,,,,1010.6,7560.0
93,1987-10,28.3,,,288.0,,,,,1009.8,12000.0
94,1987-11,28.7,,,147.0,,,,,1008.6,13920.0
95,1987-12,28.4,,,497.0,,,,,1006.5,9600.0
96,1988-01,28.4,,,384.0,,,,,1007.0,8880.0
97,1988-02,28.1,,,471.0,,,,,1006.5,8160.0
98,1988-03,28.6,,,280.0,,,,,1008.1,12840.0
99,1988-04,27.7,,,614.0,,,,,1008.8,9300.0
100,1988-05,28.1,,,336.0,,,,,1009.1,11640.0
101,1988-06,27.8,,,298.0,,,,,1010.4,11280.0
102,1988-07,27.5,,,436.0,,,,,1010.5,10620.0
103,1988-08,27.8,,,207.0,,,,,1011.4,14100.0
104,1988-09,28.2,,,133.0,,,,,1010.0,15180.0
105,1988-10,27.5,,,261.0,,,,,1008.9,11280.0
106,1988-11,27.9,,,70.0,,,,,1009.4,13320.0
107,1988-12,27.8,,,239.0,,,,,1008.7,12240.0
108,1989-01,27.2,,,429.0,,,,,1007.5,10560.0
109,1989-02,27.4,,,264.0,,,,,1008.8,8100.0
110,1989-03,27.5,,,283.0,,,,,1009.2,12960.0
111,1989-04,28.0,,,230.0,,,,,1008.2,12360.0
112,1989-05,28.1,,,248.0,,,,,1009.0,13680.0
113,1989-06,28.6,,,101.0,,,,,1010.7,13080.0
114,1989-07,27.9,,,145.0,,,,,1010.1,15780.0
115,1989-08,27.9,,,215.0,,,,,1010.3,15540.0
116,1989-09,27.8,,,215.0,,,,,1010.4,12480.0
117,1989-10,28.2,,,143.0,,,,,1009.2,14940.0
118,1989-11,28.2,,,312.0,,,,,1007.8,10500.0
119,1989-12,28.4,,,343.0,,,,,1008.2,11700.0
120,1990-01,28.2,,,654.0,,,,,1005.2,10260.0
121,1990-02,27.9,,,494.0,,,,,1006.5,9240.0
122,1990-03,28.0,,,378.0,,,,,1007.6,7860.0
123,1990-04,28.1,,,206.0,,,,,1008.4,13980.0
124,1990-05,29.0,,,,,,,,,
125,1990-06,28.4,,,94.0,,,,,1009.2,12900.0
126,1990-07,28.3,,,146.0,,,,,,
127,1990-08,28.0,,,326.0,,,,,1010.5,12480.0
128,1990-09,28.3,,,112.0,,,,,1009.9,16800.0
129,1990-10,28.7,,,323.0,,,,,1010.2,15420.0
130,1990-11,28.5,,,373.0,,,,,1007.3,10620.0
131,1990-12,28.3,,,530.0,,,,,1007.2,9720.0
132,1991-01,28.5,,,317.0,,,,,1007.3,12900.0
133,1991-02,28.4,,,459.0,,,,,1007.1,7140.0
134,1991-03,28.5,,,439.0,,,,,1008.8,13920.0
135,1991-04,28.5,,,334.0,,,,,1008.7,10740.0
136,1991-05,28.7,,,261.0,,,,,1009.8,14820.0
137,1991-06,28.8,,,282.0,,,,,1010.1,12840.0
138,1991-07,28.5,,,241.0,,,,,1010.2,13020.0
139,1991-08,28.4,,,392.0,,,,,1010.8,9840.0
140,1991-09,28.8,,,214.0,,,,,,
141,1991-10,28.3,,,197.0,,,,,1009.1,14100.0
142,1991-11,28.6,,,199.0,,,,,1008.4,13140.0
143,1991-12,28.5,,,764.0,,,,,1006.8,12360.0
144,1992-01,27.8,,,281.0,,,,,1008.3,
145,1992-02,,,,454.0,,,,,,
146,1992-03,27.1,,,368.0,,,,,1008.4,10440.0
147,1992-04,28.1,,,466.0,,,,,1009.1,11040.0
148,1992-05,28.0,,,287.0,,,,,1009.7,11880.0
149,1992-06,28.1,,,312.0,,,,,1009.5,
150,1992-07,28.1,,,191.0,,,,,1010.7,12360.0
151,1992-08,28.3,,,118.0,,,,,1010.7,16140.0
152,1992-09,28.4,,,165.0,,,,,1008.5,18540.0
153,1992-10,28.2,,,288.0,,,,,1009.1,11700.0
154,1992-11,28.1,,,402.0,,,,,1009.2,10560.0
155,1992-12,28.0,,,359.0,,,,,1006.9,9600.0
156,1993-01,28.6,,,208.0,,,,,1008.1,13380.0
157,1993-02,28.0,,,331.0,,,,,1008.6,9900.0
158,1993-03,26.7,,,460.0,,,,,1009.8,9180.0
159,1993-04,27.7,,,501.0,,,,,1008.8,9300.0
160,1993-05,28.1,,,403.0,,,,,1009.9,
161,1993-06,28.3,,,167.0,,,,,1010.0,11220.0
162,1993-07,27.6,,,548.0,,,,,1009.6,6900.0
163,1993-08,27.8,,,253.0,,,,,1010.8,13320.0
164,1993-09,27.9,,,290.0,,,,,1010.9,10140.0
165,1993-10,28.5,,,424.0,,,,,1009.4,11040.0
166,1993-11,28.5,,,186.0,,,,,1009.2,
167,1993-12,,,,,,,,,,
168,1994-01,27.9,,,447.0,,,,,1008.3,10500.0
169,1994-02,28.5,,,128.0,,,,,1009.4,12420.0
170,1994-03,29.0,,,351.0,,,,,1009.2,13740.0
171,1994-04,28.7,,,215.0,,,,,1008.9,
172,1994-05,28.6,,,204.0,,,,,1009.6,13920.0
173,1994-06,28.4,,,417.0,,,,,1009.4,9900.0
174,1994-07,28.4,,,288.0,,,,,1009.4,12420.0
175,1994-08,28.2,,,186.0,,,,,1010.3,9720.0
176,1994-09,28.3,,,253.0,,,,,1010.7,11580.0
177,1994-10,28.4,,,651.0,,,,,1010.3,
178,1994-11,28.7,,,,,,,,,
179,1994-12,29.0,,,313.0,,,,,1006.9,10560.0
180,1995-01,28.1,,,565.0,,,,,1008.0,7860.0
181,1995-02,27.4,,,159.0,,,,,1009.2,10260.0
182,1995-03,28.4,,,342.0,,,,,,
183,1995-04,28.4,,,447.0,,,,,1008.9,12900.0
184,1995-05,28.2,,,237.0,,,,,1012.2,
185,1995-06,28.6,,,282.0,,,,,1010.5,11520.0
186,1995-07,28.2,,,224.0,,,,,1010.4,11280.0
187,1995-08,28.4,,,193.0,,,,,1010.6,13380.0
188,1995-09,28.4,,,278.0,,,,,1011.2,13320.0
189,1995-10,27.8,,,468.0,,,,,1010.3,11100.0
190,1995-11,28.3,,,193.0,,,,,1009.4,13260.0
191,1995-12,27.9,,,537.0,,,,,1009.1,8580.0
192,1996-01,28.7,,,268.0,,,,,,
193,1996-02,28.3,,,218.0,,,,,1008.4,10560.0
194,1996-03,28.0,,,641.0,,,,,1008.5,10440.0
195,1996-04,28.2,,,549.0,,,,,1009.3,11100.0
196,1996-05,28.3,,,374.0,,,,,1011.5,
197,1996-06,28.4,,,83.0,,,,,1010.6,13860.0
198,1996-07,,,,155.0,,,,,,
199,1996-08,28.2,,,167.0,,,,,1011.3,
200,1996-09,28.1,,,257.0,,,,,,
201,1996-10,28.5,,,129.0,,,,,,
202,1996-11,28.3,,,132.0,,,,,,
203,1996-12,28.3,,,245.0,,,,,,
204,1997-01,28.2,,,224.0,,,,,,
205,1997-02,28.1,,,471.0,,,,,,
206,1997-03,27.5,,,844.0,,,,,,
207,1997-04,28.6,,,193.0,,,,,1009.7,14820.0
208,1997-05,28.5,,,313.0,,,,,1014.6,
209,1997-06,28.0,,,273.0,,,,,1009.8,11340.0
210,1997-07,28.5,,,138.0,,,,,1009.6,14160.0
211,1997-08,28.3,,,114.0,,,,,1010.3,13320.0
212,1997-09,,,,,,,,,,
213,1997-10,28.3,,,122.0,,,,,1009.3,9840.0
214,1997-11,28.8,,,141.0,,,,,1010.9,13500.0
215,1997-12,26.3,,,584.0,,,,,1008.0,7500.0
216,1998-01,,,,,,,,,,
217,1998-02,,,,,,,,,,
218,1998-03,,,,,,,,,,
219,1998-04,,,,,,,,,,
220,1998-05,28.8,,,,,,,,,
221,1998-06,,,,,,,,,,
222,1998-07,27.6,,,385.0,,,,,1011.3,
223,1998-08,27.7,,,380.0,,,,,1011.0,10680.0
224,1998-09,,,,,,,,,,
225,1998-10,27.6,,,376.0,,,,,1010.1,10740.0
226,1998-11,28.2,,,226.0,,,,,1009.1,12900.0
227,1998-12,28.2,,,360.0,,,,,,
228,1999-01,28.0,,,312.0,,,,,1008.4,8220.0
229,1999-02,27.9,,,249.0,,,,,,
230,1999-03,27.8,,,340.0,,,,,,
231,1999-04,28.5,,,255.0,,,,,,
232,1999-05,28.3,,,172.0,,,,,,
233,1999-06,28.1,,,221.0,,,,,1010.5,12300.0
234,1999-07,28.5,,,72.0,,,,,1009.9,16080.0
235,1999-08,28.4,,,94.0,,,,,1011.1,16920.0
236,1999-09,27.9,,,93.0,,,,,1011.0,15540.0
237,1999-10,28.5,,,51.0,,,,,,
238,1999-11,28.5,,,,,,,,,
239,1999-12,28.3,,,,,,,,,
240,2000-01,28.0,,,199.0,,,,,1008.0,11520.0
241,2000-02,28.4,,,204.0,,,,,1009.5,13860.0
242,2000-03,27.9,,,404.0,,,,,1009.1,13560.0
243,2000-04,28.4,,,154.0,,,,,1009.2,13920.0
244,2000-05,28.5,,,104.0,,,,,,
245,2000-06,28.2,,,256.0,,,,,,
246,2000-07,28.3,,,144.0,,,,,,
247,2000-08,28.3,,,204.0,,,,,,
248,2000-09,28.5,,,108.0,,,,,1010.6,11040.0
249,2000-10,28.4,,,,,,,,,
250,2000-11,28.8,,,101.0,,,,,,
251,2000-12,28.7,,,257.0,,,,,1007.4,12720.0
252,2001-01,28.8,,,,,,,,,
253,2001-02,28.6,,,,,,,,,
254,2001-03,28.5,,,201.0,,,,,,
255,2001-04,28.8,,,,,,,,,
256,2001-05,28.5,,,,,,,,,
257,2001-06,28.4,,,216.0,,,,,1008.7,12960.0
258,2001-07,28.5,,,206.0,,,,,1009.6,14220.0
259,2001-08,28.4,,,176.0,,,,,1009.2,14580.0
260,2001-09,27.9,,,182.0,,,,,1010.0,14040.0
261,2001-10,28.6,,,207.0,,,,,1009.4,14340.0
262,2001-11,28.4,,,328.0,,,,,,
263,2001-12,28.4,,,,,,,,,
264,2002-01,28.6,,,208.0,,,,,,
265,2002-02,28.6,,,450.0,,,,,,
266,2002-03,28.2,,,502.0,,,,,1008.7,12240.0
267,2002-04,29.0,,,373.0,,,,,,
268,2002-05,29.2,,,,,,,,,
269,2002-06,28.5,,,221.0,,,,,1009.5,10020.0
270,2002-07,28.5,,,157.0,,,,,,
271,2002-08,28.4,,,223.0,,,,,1009.4,13500.0
272,2002-09,28.5,,,282.0,,,,,,
273,2002-10,28.3,,,303.0,,,,,1008.9,10800.0
274,2002-11,29.0,,,219.0,,,,,1008.0,11040.0
275,2002-12,28.6,,,259.0,,,,,,
276,2003-01,28.5,,,480.0,,,,,1007.4,6480.0
277,2003-02,28.5,,,209.0,,,,,1007.7,8040.0
278,2003-03,28.6,,,248.0,,,,,1008.8,14280.0
279,2003-04,28.6,,,398.0,,,,,1009.0,11220.0
280,2003-05,28.8,,,207.0,,,,,1009.0,11940.0
281,2003-06,28.0,,,266.0,,,,,1010.4,8640.0
282,2003-07,28.3,,,229.0,,,,,1009.7,13440.0
283,2003-08,28.0,,,222.0,,,,,1010.6,13080.0
284,2003-09,28.1,,,259.0,,,,,1010.5,11460.0
285,2003-10,28.2,,,317.0,,,,,1009.7,13680.0
286,2003-11,28.1,,,398.0,,,,,1008.8,12840.0
287,2003-12,28.2,,,299.0,,,,,1007.6,9900.0
288,2004-01,28.5,,,287.0,,,,,1007.6,8460.0
289,2004-02,28.4,,,297.0,,,,,1008.4,7980.0
290,2004-03,28.4,,,485.0,,,,,1007.8,7620.0
291,2004-04,28.3,,,239.0,,,,,1008.9,9300.0
292,2004-05,28.9,,,158.0,,,,,,
293,2004-06,28.5,,,148.0,,,,,1009.7,12840.0
294,2004-07,28.4,,,163.0,,,,,1010.1,12480.0
295,2004-08,28.7,,,160.0,,,,,1010.3,16080.0
296,2004-09,28.5,,,263.0,,,,,1010.5,12240.0
