,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,-7.2,-10.1,-3.8,64.0,,,,,1020.5,
1,1980-02,-4.4,-6.8,-1.4,24.0,,,,,1025.1,
2,1980-03,-3.6,-6.7,0.3,60.0,,,,,1019.9,
3,1980-04,7.0,3.7,11.1,62.0,,,,,1012.9,
4,1980-05,11.3,7.4,16.0,43.0,,,,,1014.2,
5,1980-06,17.1,13.6,21.8,131.0,,,,,1010.0,
6,1980-07,18.8,15.1,23.4,97.0,,,,,1010.5,
7,1980-08,17.3,13.9,21.6,32.0,,,,,1013.1,
8,1980-09,13.7,10.5,18.1,52.0,,,,,1017.6,
9,1980-10,8.8,6.1,12.3,36.0,,,,,1015.9,
10,1980-11,1.3,-0.8,3.4,66.0,,,,,1017.0,
11,1980-12,2.3,-3.2,0.6,7.0,,,,,1016.7,
12,1981-01,-4.2,,,46.0,,,,,1016.1,
13,1981-02,-2.5,-4.4,0.2,45.0,,,,,1018.9,
14,1981-03,2.0,-1.4,5.6,42.0,,,,,1014.5,
15,1981-04,5.4,2.2,9.1,33.0,,,,,1015.7,
16,1981-05,16.1,11.3,21.3,26.0,,,,,1016.0,
17,1981-06,21.1,16.2,26.5,49.0,,,,,1004.9,
18,1981-07,20.8,16.6,25.8,105.0,,,,,1013.1,
19,1981-08,18.3,14.1,23.2,49.0,,,,,1014.5,
20,1981-09,14.2,10.1,18.9,20.0,,,,,1018.7,
21,1981-10,9.6,6.3,13.7,101.0,,,,,1017.0,
22,1981-11,1.8,-0.1,3.8,60.0,,,,,1015.8,
23,1981-12,-1.5,-4.1,1.1,110.0,,,,,1007.9,
24,1982-01,-3.1,-5.7,-0.1,16.0,,,,,1018.0,
25,1982-02,-4.9,-7.6,-1.7,31.0,,,,,1025.5,
26,1982-03,2.0,-0.7,5.6,8.0,,,,,1021.4,
27,1982-04,6.9,3.4,11.0,100.0,,,,,1012.7,
28,1982-05,15.1,10.8,20.4,25.0,,,,,1019.7,
29,1982-06,16.9,12.9,21.7,76.0,,,,,1012.8,
30,1982-07,18.5,14.8,23.1,113.0,,,,,1013.1,
31,1982-08,19.3,15.5,24.0,63.0,,,,,1014.3,
32,1982-09,15.7,11.2,20.9,34.0,,,,,1020.4,
33,1982-10,8.7,5.8,12.4,16.0,,,,,1020.1,
34,1982-11,4.0,1.1,7.4,33.0,,,,,1022.9,
35,1982-12,2.2,0.2,4.3,28.0,,,,,1015.1,
36,1983-01,-0.5,-2.9,1.8,39.0,,,,,1013.8,
37,1983-02,-2.6,-5.1,0.0,41.0,,,,,1015.9,
38,1983-03,3.2,-0.6,8.0,39.0,,,,,1014.8,
39,1983-04,10.9,6.6,15.8,54.0,,,,,1013.2,
40,1983-05,18.0,13.5,22.7,108.0,,,,,1011.8,
41,1983-06,18.2,14.0,23.1,62.0,,,,,1015.2,
42,1983-07,19.2,15.2,24.2,32.0,,,,,1011.6,
43,1983-08,18.9,14.6,24.1,44.0,,,,,1015.6,
44,1983-09,16.2,11.3,21.9,23.0,,,,,1017.1,
45,1983-10,8.3,4.9,12.4,42.0,,,,,1018.8,
46,1983-11,1.2,-1.3,3.9,34.0,,,,,1015.2,
47,1983-12,-1.4,-3.6,0.9,21.0,,,,,1020.3,
48,1984-01,-2.4,-4.7,-0.1,42.0,,,,,1017.0,
49,1984-02,-5.9,-8.0,-3.4,56.0,,,,,1030.0,
50,1984-03,0.4,-1.9,3.0,49.0,,,,,1019.2,
51,1984-04,9.8,4.9,15.3,14.0,,,,,1018.6,
52,1984-05,16.8,11.9,22.0,63.0,,,,,1012.4,
53,1984-06,15.7,12.0,20.3,140.0,,,,,1011.5,
54,1984-07,17.6,13.6,22.1,74.0,,,,,1012.7,
55,1984-08,18.7,14.2,23.8,8.0,,,,,1015.4,
56,1984-09,15.4,11.4,20.5,41.0,,,,,1012.7,
57,1984-10,10.1,6.5,14.4,22.0,,,,,1019.2,
58,1984-11,0.5,-1.9,3.7,30.0,,,,,1023.2,
59,1984-12,-5.0,-7.5,-2.2,47.0,,,,,1028.4,
60,1985-01,-9.5,-12.7,-5.6,74.0,,,,,1016.1,
61,1985-02,-12.5,-15.5,-9.1,35.0,,,,,1015.7,
62,1985-03,-3.3,-6.4,0.4,12.0,,,,,1025.5,
63,1985-04,9.4,5.1,14.7,35.0,,,,,1011.2,
64,1985-05,17.0,12.4,22.2,87.0,,,,,1013.5,
65,1985-06,16.7,13.0,21.3,84.0,,,,,1009.1,
66,1985-07,17.9,14.3,22.3,101.0,,,,,1013.4,
67,1985-08,20.7,16.0,25.9,31.0,,,,,1015.2,
68,1985-09,12.6,9.4,16.8,90.0,,,,,1014.5,
69,1985-10,8.1,5.3,11.7,11.0,,,,,1022.1,
70,1985-11,-1.4,-3.7,1.1,86.0,,,,,1020.1,
71,1985-12,-1.3,-3.7,1.1,40.0,,,,,1016.8,
72,1986-01,-2.7,-5.0,-0.2,58.0,,,,,1010.8,
73,1986-02,-9.2,-12.2,-6.1,33.0,,,,,1024.0,
74,1986-03,0.4,-2.8,3.9,11.0,,,,,1026.3,
75,1986-04,10.7,5.9,16.0,31.0,,,,,1013.5,
76,1986-05,16.7,11.5,21.9,17.0,,,,,1018.3,
77,1986-06,19.3,15.0,24.0,97.0,,,,,1012.6,
78,1986-07,19.0,14.5,24.3,93.0,,,,,1013.3,
79,1986-08,19.9,15.6,25.1,113.0,,,,,1013.8,
80,1986-09,12.5,8.9,17.4,22.0,,,,,1017.9,
81,1986-10,7.3,4.2,11.2,24.0,,,,,1021.1,
82,1986-11,1.7,0.0,3.8,31.0,,,,,1025.4,
83,1986-12,-3.5,-6.2,-0.9,70.0,,,,,1016.2,
84,1987-01,-13.7,-17.6,-9.7,66.0,,,,,1018.8,
85,1987-02,-3.9,-6.8,-1.1,11.0,,,,,1018.4,
86,1987-03,-5.7,-9.2,-2.4,36.0,,,,,1021.1,
87,1987-04,5.0,1.3,9.2,72.0,,,,,1016.9,
88,1987-05,14.2,10.0,19.1,91.0,,,,,1012.0,
89,1987-06,18.2,13.9,22.9,67.0,,,,,1013.9,
90,1987-07,20.3,15.7,25.5,65.0,,,,,1014.8,
91,1987-08,16.4,12.5,20.9,86.0,,,,,1013.3,
92,1987-09,13.4,9.4,17.8,66.0,,,,,1016.0,
93,1987-10,6.8,2.8,11.3,15.0,,,,,1030.7,
94,1987-11,2.2,0.2,4.2,56.0,,,,,1019.0,
95,1987-12,-3.0,-5.7,-0.4,39.0,,,,,1017.8,
96,1988-01,-6.2,-7.1,-2.2,8.0,,,,,1022.8,
97,1988-02,-3.4,-6.0,-0.6,17.0,,,,,1019.1,
98,1988-03,1.3,-1.1,4.0,55.0,,,,,1010.4,
99,1988-04,8.1,4.2,12.7,36.0,,,,,1017.0,
100,1988-05,15.2,10.8,19.9,75.0,,,,,1016.1,
101,1988-06,18.3,14.9,22.5,104.0,,,,,1007.9,
102,1988-07,21.8,17.5,26.6,56.0,,,,,1012.8,
103,1988-08,18.5,14.1,23.4,77.0,,,,,1013.1,
104,1988-09,14.1,10.4,18.7,57.0,,,,,1016.1,
105,1988-10,7.2,3.3,12.0,15.0,,,,,1024.9,
106,1988-11,-2.2,-4.4,0.3,37.0,,,,,1017.8,
107,1988-12,-3.1,-5.8,-0.2,56.0,,,,,1013.3,
108,1989-01,0.5,-1.5,2.4,13.0,,,,,1023.5,
109,1989-02,2.5,0.3,5.2,57.0,,,,,1019.7,
110,1989-03,5.2,2.1,8.9,35.0,,,,,1015.8,
111,1989-04,10.1,5.8,15.2,28.0,,,,,1015.3,
112,1989-05,15.2,10.3,20.3,29.0,,,,,1016.8,
113,1989-06,19.4,15.2,24.7,162.0,,,,,1011.5,
114,1989-07,19.4,15.0,24.0,65.0,,,,,1015.2,
115,1989-08,19.6,15.0,24.5,55.0,,,,,1012.0,
116,1989-09,14.5,11.4,18.1,100.0,,,,,1016.2,
117,1989-10,9.1,6.1,12.6,57.0,,,,,1015.6,
118,1989-11,0.2,-2.3,3.0,40.0,,,,,1017.7,
119,1989-12,1.4,-3.1,2.5,6.0,,,,,1022.3,
120,1990-01,-0.1,-1.9,1.9,25.0,,,,,1020.9,
121,1990-02,2.8,0.4,5.6,54.0,,,,,1014.9,
122,1990-03,6.9,2.9,11.7,7.0,,,,,1019.0,
123,1990-04,9.4,5.8,13.9,92.0,,,,,1013.1,
124,1990-05,14.6,10.0,19.9,46.0,,,,,1016.7,
125,1990-06,16.9,13.0,21.3,77.0,,,,,1010.7,
126,1990-07,17.2,14.2,23.6,9.0,,,,,1013.9,
127,1990-08,18.5,13.9,24.0,75.0,,,,,1016.4,
128,1990-09,12.0,8.8,16.6,54.0,,,,,1012.1,
129,1990-10,8.6,5.0,13.6,24.0,,,,,1019.8,
130,1990-11,5.2,3.4,7.6,47.0,,,,,1013.8,
131,1990-12,-2.3,-4.3,-0.1,40.0,,,,,1023.3,
132,1991-01,-1.6,-4.1,1.3,18.0,,,,,1022.7,
133,1991-02,-5.5,-8.8,-2.4,12.0,,,,,1020.6,
134,1991-03,0.5,-2.7,4.7,7.0,,,,,1023.2,
135,1991-04,9.0,5.3,13.5,19.0,,,,,1016.9,
136,1991-05,12.8,9.1,17.0,117.0,,,,,1011.1,
137,1991-06,18.5,14.3,23.6,97.0,,,,,1013.0,
138,1991-07,21.2,17.2,25.8,63.0,,,,,1013.0,
139,1991-08,18.9,15.1,23.6,55.0,,,,,1014.5,
140,1991-09,14.8,10.2,20.3,7.0,,,,,1017.2,
141,1991-10,8.8,5.8,12.5,61.0,,,,,1020.1,
142,1991-11,2.4,0.6,4.6,17.0,,,,,1022.2,
143,1991-12,-2.8,-4.8,-0.8,20.0,,,,,1020.5,
144,1992-01,-1.1,-4.1,0.4,20.0,,,,,1020.3,
145,1992-02,-1.7,-4.1,1.0,29.0,,,,,1017.4,
146,1992-03,3.7,0.9,7.4,41.0,,,,,1017.1,
147,1992-04,7.0,3.4,11.7,84.0,,,,,1013.2,
148,1992-05,13.0,8.8,18.8,63.0,,,,,1018.7,
149,1992-06,18.7,14.3,24.0,29.0,,,,,1013.3,
150,1992-07,22.5,15.6,26.0,8.0,,,,,1017.0,
151,1992-08,22.9,17.4,29.0,36.0,,,,,1015.5,
152,1992-09,13.5,9.3,18.5,60.0,,,,,1018.1,
153,1992-10,6.4,3.4,10.6,60.0,,,,,1011.7,
154,1992-11,1.6,-0.6,4.3,98.0,,,,,1014.9,
155,1992-12,-3.6,-5.9,-1.3,12.0,,,,,1024.5,
156,1993-01,-1.2,-3.9,1.6,36.0,,,,,1019.3,
157,1993-02,-2.4,-5.1,0.5,47.0,,,,,1022.8,
158,1993-03,0.7,-2.4,4.7,27.0,,,,,1016.3,
159,1993-04,8.0,4.9,11.4,36.0,,,,,1010.7,
160,1993-05,16.5,11.7,22.0,25.0,,,,,1016.0,
161,1993-06,16.7,12.4,21.6,87.0,,,,,1011.3,
162,1993-07,17.9,13.7,22.9,108.0,,,,,1010.6,
163,1993-08,17.5,13.1,22.5,54.0,,,,,1016.8,
164,1993-09,11.5,8.2,16.0,129.0,,,,,1014.6,
165,1993-10,7.8,4.2,11.8,19.0,,,,,1022.5,
166,1993-11,-6.0,-9.0,-2.2,22.0,,,,,1035.4,
167,1993-12,-0.2,-2.1,1.6,75.0,,,,,1013.8,
168,1994-01,0.2,-1.5,2.0,40.0,,,,,1014.0,
169,1994-02,-5.8,-9.0,-2.1,13.0,,,,,1024.0,
170,1994-03,1.4,-1.4,5.0,72.0,,,,,1015.8,
171,1994-04,10.9,6.7,16.0,29.0,,,,,1013.9,
172,1994-05,13.1,9.2,17.9,61.0,,,,,1014.9,
173,1994-06,16.3,12.4,20.6,88.0,,,,,1011.2,
174,1994-07,21.1,16.5,25.7,66.0,,,,,1015.5,
175,1994-08,19.2,15.1,24.1,77.0,,,,,1013.5,
176,1994-09,17.8,13.1,23.2,18.0,,,,,1017.2,
177,1994-10,8.0,4.0,12.9,29.0,,,,,1021.5,
178,1994-11,1.1,-1.9,4.4,43.0,,,,,1018.7,
179,1994-12,-3.4,-5.7,-0.9,44.0,,,,,1022.3,
180,1995-01,-3.8,-6.3,-1.2,35.0,,,,,1018.8,
181,1995-02,2.2,-0.3,5.0,45.0,,,,,1013.7,
182,1995-03,3.5,0.0,7.5,33.0,,,,,1014.4,
183,1995-04,8.8,5.6,13.0,69.0,,,,,1011.4,
184,1995-05,14.0,9.7,19.2,107.0,,,,,1015.0,
185,1995-06,20.1,15.6,25.3,55.0,,,,,1012.3,
186,1995-07,20.5,16.0,25.5,81.0,,,,,1014.6,
187,1995-08,19.8,13.7,25.3,75.0,,,,,1012.6,
188,1995-09,13.9,9.8,18.7,101.0,,,,,1013.8,
189,1995-10,9.0,5.1,13.8,11.0,,,,,1024.5,
190,1995-11,-0.7,-8.6,11.0,42.0,,,,,1016.3,
191,1995-12,-5.4,-7.2,-3.6,30.0,,,,,1024.5,
192,1996-01,-9.8,-12.7,-6.8,37.0,300.0,,,,1029.7,
193,1996-02,-7.1,-10.5,-3.9,43.0,89.0,,,,1019.4,
194,1996-03,-3.0,-6.0,0.0,45.0,,,,,1023.4,
195,1996-04,9.2,5.1,14.1,42.0,,,,,1018.8,
196,1996-05,18.6,13.2,24.6,28.0,,,,,1011.9,
197,1996-06,18.9,13.9,24.3,73.0,,,,,1015.9,
198,1996-07,19.3,14.6,24.9,69.0,,,,,1013.8,
199,1996-08,19.1,14.6,24.4,46.0,,,,,1017.9,
200,1996-09,11.2,8.3,14.8,113.0,,,,,1010.6,
201,1996-10,8.6,5.1,12.8,42.0,,,,,1019.9,
202,1996-11,6.7,4.2,9.6,84.0,,,,,1016.7,
203,1996-12,-3.9,-5.7,-1.7,49.0,,,,,1019.1,
204,1997-01,-5.7,-8.2,-2.9,9.0,,,,,1022.1,
205,1997-02,-1.1,-3.9,2.5,24.0,,,,,1017.7,
206,1997-03,2.2,-0.8,6.1,30.0,,,,,1017.2,
207,1997-04,6.1,1.8,10.8,41.0,,,,,1011.9,
208,1997-05,16.1,11.1,21.8,48.0,,,,,1014.0,
209,1997-06,18.3,14.2,23.1,83.0,,,,,1011.4,
210,1997-07,19.4,15.9,24.1,92.0,,,,,1011.1,
211,1997-08,19.2,15.1,23.9,35.0,,,,,1015.5,
212,1997-09,11.8,8.1,16.4,71.0,,,,,1017.8,
213,1997-10,6.2,3.3,10.1,56.0,,,,,1013.1,
214,1997-11,3.2,1.2,5.5,51.0,,,,,1018.6,
215,1997-12,-4.2,-6.5,-1.5,84.0,,,,,1018.1,
216,1998-01,-1.0,-3.1,1.5,36.0,,,,,1019.4,
217,1998-02,0.4,-2.8,3.7,15.0,,,,,1018.4,
218,1998-03,1.3,-1.4,4.9,49.0,,,,,1015.7,
219,1998-04,10.3,6.3,14.8,99.0,,,,,1010.9,
220,1998-05,15.2,10.7,20.0,31.0,,,,,1014.2,
221,1998-06,19.8,15.3,24.9,63.0,,,,,1014.1,
222,1998-07,19.5,15.4,24.2,88.0,,,,,1008.5,
223,1998-08,18.3,14.0,23.1,58.0,,,,,1014.3,
224,1998-09,14.2,9.7,19.2,26.0,,,,,1016.1,
225,1998-10,7.7,4.6,11.6,76.0,,,,,1016.7,
226,1998-11,-3.2,-5.2,-0.8,73.0,,,,,1020.9,
227,1998-12,-5.1,-7.4,-2.0,33.0,,,,,1021.7,
228,1999-01,-2.2,-3.3,0.4,48.0,,,,,1017.9,
229,1999-02,-1.5,-4.2,1.3,38.0,99.0,,,,1007.3,
230,1999-03,3.2,-0.2,7.1,43.0,,,,,1016.4,
231,1999-04,11.6,7.0,16.8,20.0,,,,,1014.2,
232,1999-05,12.8,8.1,17.7,48.0,,,,,1016.0,
233,1999-06,22.6,17.1,28.1,47.0,,,,,1015.7,
234,1999-07,22.7,18.2,27.3,81.0,,,,,1011.6,
235,1999-08,19.3,14.9,23.9,132.0,,,,,1013.2,
236,1999-09,15.8,11.2,20.8,8.0,,,,,1017.6,
237,1999-10,8.2,5.0,11.9,52.0,,,,,1018.1,
238,1999-11,-0.2,-3.2,3.1,47.0,,,,,1022.8,
239,1999-12,-0.2,-2.4,2.1,58.0,,,,,1013.5,
240,2000-01,-4.1,-6.4,-1.9,31.0,,,,,1016.5,
241,2000-02,0.0,-2.3,2.7,37.0,99.0,,,,1016.7,
242,2000-03,1.7,-0.8,4.8,34.0,,,,,1014.1,
243,2000-04,12.7,8.5,17.7,28.0,,,,,1011.1,
244,2000-05,15.4,10.1,20.9,73.0,,,,,1015.5,
245,2000-06,17.9,13.1,23.0,65.0,,,,,1016.0,
246,2000-07,19.1,14.8,24.0,82.0,,,,,1008.3,
247,2000-08,20.6,15.8,26.2,20.0,,,,,1016.7,
248,2000-09,12.3,9.3,16.1,141.0,,,,,1017.4,
249,2000-10,9.5,5.2,14.4,0.5,,,,,1025.8,
250,2000-11,4.5,2.9,6.3,44.0,,,,,1022.1,
251,2000-12,1.3,-0.5,3.3,24.0,,,,,1016.0,
252,2001-01,-1.0,-2.6,0.8,33.0,,,,,1022.8,
253,2001-02,-2.5,-4.9,0.0,54.0,,,,,1015.1,
254,2001-03,2.7,-0.7,7.1,89.0,,,,,1012.6,
255,2001-04,11.2,6.4,16.3,65.0,,,,,1013.6,
256,2001-05,14.2,9.5,19.0,33.0,,,,,1013.9,
257,2001-06,16.7,12.9,21.2,152.0,,,,,1010.5,
258,2001-07,24.6,19.5,30.3,6.0,,,,,1013.9,
259,2001-08,21.0,16.2,26.7,16.0,,,,,1016.6,
260,2001-09,13.8,9.9,18.4,53.0,,,,,1015.0,
261,2001-10,9.3,5.5,13.6,23.0,,,,,1021.0,
262,2001-11,2.3,-0.1,5.1,70.0,,,,,1014.2,
263,2001-12,-7.3,-10.3,-4.4,39.0,51.0,,,,1021.0,
264,2002-01,-2.6,-5.2,0.1,22.0,,,,,1020.9,
265,2002-02,3.7,0.2,7.4,38.0,,,,,1013.1,
266,2002-03,5.5,1.0,10.6,17.0,,,,,1015.9,
267,2002-04,9.9,5.7,14.8,40.0,,,,,1017.8,
268,2002-05,16.5,11.5,21.9,65.0,,,,,1017.1,
269,2002-06,18.4,14.2,22.7,190.0,,,,,1015.3,
270,2002-07,23.9,18.7,29.7,13.0,,,,,1014.9,
271,2002-08,20.1,15.6,25.1,101.0,,,,,1014.8,
272,2002-09,13.9,10.8,17.8,76.0,,,,,1015.2,
273,2002-10,7.0,3.8,10.8,74.0,,,,,1015.1,
274,2002-11,3.9,1.8,6.5,50.0,,,,,1018.4,
275,2002-12,-8.4,-12.2,-5.4,11.0,,,,,1027.1,
276,2003-01,-4.6,-6.0,-1.3,37.0,,,,,1017.1,
277,2003-02,-6.4,-9.2,-3.1,18.0,99.0,,,,1025.2,
278,2003-03,0.1,-3.1,3.4,26.0,,,,,1022.2,
279,2003-04,7.0,2.6,11.9,24.0,,,,,1018.4,
280,2003-05,19.4,13.6,25.1,49.0,,,,,1017.8,
281,2003-06,18.0,13.3,23.0,26.0,,,,,1013.4,
282,2003-07,21.3,16.8,26.3,61.0,,,,,1012.3,
283,2003-08,19.2,14.8,24.1,87.0,,,,,1013.5,
284,2003-09,14.1,6.8,26.7,32.0,,,,,1020.8,
285,2003-10,6.8,4.2,10.2,110.0,,,,,1013.8,
286,2003-11,3.4,1.7,5.4,30.0,,,,,1024.6,
287,2003-12,-0.6,-2.8,2.1,32.0,,,,,1020.3,
288,2004-01,-4.3,-6.3,-2.3,55.0,,,,,1012.5,
289,2004-02,-2.6,-6.4,0.3,45.0,,,,,1014.4,
290,2004-03,3.9,0.7,8.0,21.0,,,,,1020.7,
291,2004-04,9.1,4.5,13.7,21.0,,,,,1017.2,
292,2004-05,13.2,9.0,18.0,53.0,,,,,1013.1,
293,2004-06,17.7,12.9,22.6,7.0,,,,,1014.2,
294,2004-07,20.5,15.7,25.6,113.0,,,,,1014.1,
295,2004-08,20.7,15.9,25.1,130.0,,,,,1013.9,
296,2004-09,14.2,10.7,19.1,79.0,,,,,1019.2,
297,2004-10,9.3,6.3,13.4,31.0,,,,,1020.4,
298,2004-11,2.9,0.4,6.1,44.0,,,,,1017.6,
299,2004-12,0.2,-1.9,2.6,16.0,,,,,1019.3,
300,2005-01,-0.6,-2.6,1.9,50.0,,,,,1016.7,
301,2005-02,-5.1,-7.8,-2.3,62.0,,,,,1020.3,
302,2005-03,-1.6,-4.8,2.4,52.0,,,,,1014.4,
303,2005-04,10.3,5.7,15.6,68.0,,,,,1015.8,
304,2005-05,16.4,11.8,21.5,60.0,,,,,1015.4,
305,2005-06,17.3,13.2,22.2,111.0,,,,,1013.1,
306,2005-07,21.4,16.3,27.0,29.0,,,,,1013.8,
307,2005-08,20.0,15.6,25.2,86.0,,,,,1015.5,
308,2005-09,16.3,11.1,22.4,7.0,,,,,1020.9,
309,2005-10,9.0,5.2,13.6,78.0,,,,,1025.2,
310,2005-11,2.2,0.1,4.9,39.0,,,,,1023.0,
311,2005-12,-1.0,-2.7,0.9,78.0,,,,,1016.9,
312,2006-01,-7.5,-9.8,-4.7,17.0,,,,,1030.0,
313,2006-02,-6.1,-8.6,-2.9,33.0,,,,,1016.5,
314,2006-03,0.0,-2.8,3.0,62.0,,,,,1011.9,
315,2006-04,9.7,5.3,14.8,30.0,,,,,1015.2,
316,2006-05,14.4,9.8,19.7,130.0,,,,,1015.6,
317,2006-06,18.4,14.1,23.0,119.0,,,,,1016.7,
318,2006-07,21.0,16.1,26.6,68.0,,,,,1018.0,
319,2006-08,19.9,15.5,24.9,52.0,,,,,1008.9,
320,2006-09,15.5,11.2,20.6,36.0,,,,,1017.9,
321,2006-10,9.7,6.1,14.3,39.0,,,,,1018.5,
322,2006-11,3.4,0.9,6.2,25.0,,,,,1017.3,
323,2006-12,2.4,0.4,4.7,11.0,,,,,1024.0,
324,2007-01,2.1,-0.4,4.8,48.0,,,,,1010.8,
325,2007-02,-4.1,-7.5,-0.7,61.0,,,,,1017.3,
326,2007-03,6.3,2.2,10.7,15.0,,,,,1019.4,
327,2007-04,9.0,4.6,14.0,9.0,,,,,1016.8,
328,2007-05,18.4,12.9,24.4,49.0,,,,,1011.5,
329,2007-06,20.4,15.4,25.8,85.0,,,9.3,,1012.0,
330,2007-07,21.3,16.4,27.0,110.0,,,,,1009.5,
331,2007-08,21.5,16.8,26.9,96.0,,,,,1013.8,
332,2007-09,14.8,10.2,20.2,30.0,,,,,1015.8,
333,2007-10,9.4,5.9,13.7,23.0,,,,,1022.3,
334,2007-11,0.6,-1.5,3.2,86.0,,,,,1016.0,
335,2007-12,-0.9,-1.8,0.1,22.0,,,12.1,,1024.0,
336,2008-01,-3.0,-5.3,-0.3,33.0,,,,,1025.7,
337,2008-02,0.6,-2.2,4.0,14.0,,,,,1024.0,
338,2008-03,4.6,1.2,8.9,36.0,,,,,1006.0,
339,2008-04,10.7,7.2,15.0,123.0,,,13.3,,1011.5,
340,2008-05,14.3,9.4,19.5,38.0,,,9.2,,1014.9,
341,2008-06,18.8,13.9,23.8,100.0,,,,,1014.4,
342,2008-07,20.8,16.1,26.0,84.0,,,11.1,,1011.4,
343,2008-08,21.6,16.0,27.7,27.0,,,,,1013.3,
344,2008-09,13.5,9.6,17.9,151.0,,,,,1016.7,
345,2008-10,10.7,6.7,15.1,18.0,,,,,1020.0,
346,2008-11,3.5,0.7,6.8,41.0,,,11.6,,1018.9,
347,2008-12,-0.7,-2.1,1.5,77.0,,,,,1023.2,
348,2009-01,-3.3,-5.7,-0.6,34.0,,,,,1017.4,
349,2009-02,-1.6,-3.9,1.1,45.0,,,,,1013.9,
350,2009-03,2.3,-0.1,5.7,55.0,,,,,1012.1,
351,2009-04,11.1,5.6,16.8,2.0,,,,,1019.3,
352,2009-05,15.1,10.0,21.0,35.0,,,,,1015.7,
353,2009-06,20.4,15.1,26.1,63.0,,,,,1013.2,
354,2009-07,21.7,17.2,26.9,38.0,,,9.4,,1012.5,
355,2009-08,19.2,13.9,24.7,16.0,,,,,1017.8,
356,2009-09,17.3,12.7,22.7,16.0,,,,,1019.4,
357,2009-10,9.1,5.2,13.2,27.0,,,,,1016.6,
358,2009-11,4.7,2.5,7.4,31.0,,,,,1017.6,
359,2009-12,-3.2,-5.1,-1.1,88.0,,,,,1015.0,
