,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,,21.7,30.4,,,,,,,
1,1980-02,,21.7,29.8,,,,,,,
2,1980-03,,21.7,30.2,,,,,,,
3,1980-04,,22.6,30.8,42.9,0.0,,,,,
4,1980-05,,24.5,31.7,208.7,0.0,,,,,
5,1980-06,,25.4,32.8,31.4,0.0,,,,,
6,1980-07,,25.1,32.9,67.3,0.0,,,,,
7,1980-08,,25.2,32.8,70.4,0.0,,,,,
8,1980-09,,24.2,32.1,,0.0,,,,,
9,1980-10,,24.3,32.0,151.4,0.0,,,,,
10,1980-11,,23.5,32.4,34.3,0.0,,,,,
11,1980-12,,22.8,30.6,61.9,0.0,,,,,
12,1981-01,,22.0,31.0,44.9,0.0,,,,,
13,1981-02,,22.4,30.3,39.7,0.0,,,,,
14,1981-03,,23.2,30.6,20.2,0.0,,,,,
15,1981-04,,23.0,30.0,99.7,0.0,,,,,
16,1981-05,,24.0,30.2,155.0,0.0,,,,,
17,1981-06,,24.3,30.8,78.5,0.0,,,,,
18,1981-07,,24.9,31.8,119.6,0.0,,,,,
19,1981-08,,24.9,32.1,125.2,0.0,,,,,
20,1981-09,,24.4,32.0,101.4,0.0,,,,,
21,1981-10,,23.9,31.0,187.3,0.0,,,,,
22,1981-11,,24.0,31.4,113.9,0.0,,,,,
23,1981-12,,23.0,29.7,169.3,0.0,,,,,
24,1982-01,,,,,,,,,,
25,1982-02,,21.5,29.5,76.8,0.0,,,,,
26,1982-03,,21.6,30.5,22.6,0.0,,,,,
27,1982-04,,22.2,30.9,45.2,0.0,,,,,
28,1982-05,,23.2,30.3,171.4,0.0,,,,,
29,1982-06,,,,,,,,,,
30,1982-07,,,,,,,,,,
31,1982-08,,,,,,,,,,
32,1982-09,,24.7,32.2,108.9,0.0,,,,,
33,1982-10,,24.0,32.2,115.4,0.0,,,,,
34,1982-11,,22.6,29.7,162.3,0.0,,,,,
35,1982-12,,21.2,28.8,113.9,0.0,,,,,
36,1983-01,,21.8,29.9,29.4,0.0,,,,,
37,1983-02,,21.8,30.6,84.1,0.0,,,,,
38,1983-03,,23.0,31.2,27.1,0.0,,,,,
39,1983-04,,23.0,31.4,230.4,0.0,,,,,
40,1983-05,,24.1,31.6,68.3,0.0,,,,,
41,1983-06,,25.1,32.4,177.0,0.0,,,,,
42,1983-07,,24.9,32.1,98.0,0.0,,,,,
43,1983-08,,24.6,32.0,91.0,0.0,,,,,
44,1983-09,,25.1,33.6,41.3,0.0,,,,,
45,1983-10,,24.2,33.2,72.2,0.0,,,,,
46,1983-11,,23.1,31.3,151.8,0.0,,,,,
47,1983-12,,22.6,30.4,88.3,0.0,,,,,
48,1984-01,,21.6,30.8,53.1,0.0,,,,,
49,1984-02,,21.2,30.4,60.7,0.0,,,,,
50,1984-03,,,,,,,,,,
51,1984-04,,,,,,,,,,
52,1984-05,,,,,,,,,,
53,1984-06,,24.0,31.6,102.9,0.0,,,,,
54,1984-07,,24.8,31.8,24.0,0.0,,,,,
55,1984-08,,,,,,,,,,
56,1984-09,,,,,,,,,,
57,1984-10,,,,,,,,,,
58,1984-11,,,,,,,,,,
59,1984-12,,,,,,,,,,
60,1985-01,,,,,,,,,,
61,1985-02,,,,,,,,,,
62,1985-03,,,,,,,,,,
63,1985-04,,,,,,,,,,
64,1985-05,,,31.7,87.7,0.0,,,,,
65,1985-06,,25.4,31.9,33.8,0.0,,,,,
66,1985-07,,,32.5,60.6,0.0,,,,,
67,1985-08,,,32.9,91.8,0.0,,,,,
68,1985-09,,,,,,,,,,
69,1985-10,,23.5,30.5,275.6,0.0,,,,,
70,1985-11,,23.1,30.2,175.7,0.0,,,,,
71,1985-12,,22.4,30.7,,,,,,,
72,1986-01,,21.7,29.4,32.0,0.0,,,,,
73,1986-02,,21.2,29.6,15.4,0.0,,,,,
74,1986-03,,22.4,30.0,,,,,,,
75,1986-04,,23.4,30.3,165.6,,,,,,
76,1986-05,,22.9,30.2,152.6,,,,,,
77,1986-06,,24.6,31.4,29.2,0.0,,,,,
78,1986-07,,24.7,32.0,46.3,0.0,,,,,
79,1986-08,,24.7,32.3,113.5,0.0,,,,,
80,1986-09,,25.0,32.6,27.6,0.0,,,,,
81,1986-10,,24.1,32.1,91.4,0.0,,,,,
82,1986-11,,23.3,30.5,175.8,0.0,,,,,
83,1986-12,,22.4,30.4,40.7,0.0,,,,,
84,1987-01,,21.8,30.1,53.9,0.0,,,,,
85,1987-02,,22.6,29.8,10.6,0.0,,,,,
86,1987-03,,22.5,29.6,80.7,0.0,,,,,
87,1987-04,,24.3,30.9,49.1,0.0,,,,,
88,1987-05,,24.1,30.8,249.0,0.0,,,,,
89,1987-06,,24.6,31.3,73.1,0.0,,,,,
90,1987-07,,25.3,32.2,25.3,0.0,,,,,
91,1987-08,,25.8,33.1,61.3,0.0,,,,,
92,1987-09,,25.6,33.4,36.1,0.0,,,,,
93,1987-10,,25.0,32.6,110.6,,,,,,
94,1987-11,,24.4,31.5,263.1,0.0,,,,,
95,1987-12,,23.8,30.6,75.9,0.0,,,,,
96,1988-01,,,,,,,,,,
97,1988-02,,22.1,29.7,14.8,0.0,,,,,
98,1988-03,,22.4,30.2,32.4,0.0,,,,,
99,1988-04,,23.4,30.9,20.2,0.0,,,,,
100,1988-05,,24.5,31.2,113.2,0.0,,,,,
101,1988-06,,25.0,31.6,110.5,0.0,,,,,
102,1988-07,,25.0,31.7,108.6,0.0,,,,,
103,1988-08,,24.7,32.1,96.5,0.0,,,,,
104,1988-09,,24.4,32.8,181.5,0.0,,,,,
105,1988-10,,23.9,32.3,50.9,0.0,,,,,
106,1988-11,,23.3,31.0,61.7,0.0,,,,,
107,1988-12,,22.5,29.9,41.8,0.0,,,,,
108,1989-01,,22.2,29.8,37.6,0.0,,,,,
109,1989-02,,22.0,29.7,35.6,0.0,,,,,
110,1989-03,,22.6,30.0,21.1,0.0,,,,,
111,1989-04,,22.3,29.6,47.4,0.0,,,,,
112,1989-05,,23.4,30.3,37.7,0.0,,,,,
113,1989-06,,,,,,,,,,
114,1989-07,,24.7,31.6,76.2,0.0,,,,,
115,1989-08,,,,147.6,0.0,,,,,
116,1989-09,,,,,,,,,,
117,1989-10,,,,,,,,,,
118,1989-11,,,,,,,,,,
119,1989-12,,,,,,,,,,
120,1990-01,,,,,,,,,,
121,1990-02,,,,,,,,,,
122,1990-03,,,,,,,,,,
123,1990-04,,22.4,,27.5,0.0,,,,,
124,1990-05,,,30.9,57.9,0.0,,,,,
125,1990-06,,24.8,31.8,,,,,,,
126,1990-07,,25.6,33.1,21.9,0.0,,,,,
127,1990-08,,25.9,33.7,73.5,0.0,,,,,
128,1990-09,,24.8,32.6,99.2,0.0,,,,,
129,1990-10,,,32.0,195.1,0.0,,,,,
130,1990-11,,24.2,32.8,60.3,0.0,,,,,
131,1990-12,,,30.7,49.5,0.0,,,,,
132,1991-01,,22.1,30.2,,,,,,,
133,1991-02,,,,32.5,,,,,,
134,1991-03,,22.7,30.7,13.3,,,,,,
135,1991-04,,23.4,31.2,16.9,,,,,,
136,1991-05,,24.1,31.4,43.8,,,,,,
137,1991-06,,25.5,32.4,16.3,,,,,,
138,1991-07,,25.5,32.2,76.6,,,,,,
139,1991-08,,,33.1,24.9,,,,,,
140,1991-09,,25.2,33.2,90.5,,,,,,
141,1991-10,,23.8,32.4,62.7,,,,,,
142,1991-11,,23.6,31.0,,,,,,,
143,1991-12,,22.4,29.8,34.9,,,,,,
144,1992-01,,21.9,30.0,91.9,,,,,,
145,1992-02,,22.3,30.6,19.1,,,,,,
146,1992-03,,,,,,,,,,
147,1992-04,,23.3,32.3,,,,,,,
148,1992-05,,24.0,31.4,,0.0,,,,,
149,1992-06,,25.8,32.3,,0.0,,,,,
150,1992-07,,26.0,33.8,,0.0,,,,,
151,1992-08,,,,,,,,,,
152,1992-09,,25.7,34.0,64.1,0.0,,,,,
153,1992-10,,24.9,34.2,76.4,0.0,,,,,
154,1992-11,,24.3,31.6,166.7,0.0,,,,,
155,1992-12,,23.6,30.9,124.2,0.0,,,,,
156,1993-01,,23.3,30.1,33.5,0.0,,,,,
157,1993-02,,22.8,31.1,11.9,0.0,,,,,
158,1993-03,,23.1,32.2,16.0,0.0,,,,,
159,1993-04,,24.4,33.4,70.8,0.0,,,,,
160,1993-05,,25.1,32.0,107.8,0.0,,,,,
161,1993-06,,25.6,32.8,,,,,,,
162,1993-07,,26.0,34.2,44.1,,,,,,
163,1993-08,,26.3,35.0,17.7,,,,,,
164,1993-09,,25.8,34.5,,,,,,,
165,1993-10,,25.4,34.0,,,,,,,
166,1993-11,,24.3,32.1,,,,,,,
167,1993-12,,24.1,31.0,41.8,,,,,,
168,1994-01,,23.2,31.1,80.3,,,,,,
169,1994-02,,23.1,31.6,35.4,,,,,,
170,1994-03,,22.8,32.5,52.0,,,11.5,,,
171,1994-04,,23.9,33.0,38.7,,,7.6,,,
172,1994-05,,25.2,34.7,58.2,,,24.1,,,
173,1994-06,,25.6,34.8,31.4,,,15.5,,,
174,1994-07,,25.7,34.8,18.8,,,4.3,,,
175,1994-08,,26.1,35.3,45.2,,,9.0,,,
176,1994-09,,25.3,34.3,43.7,,,19.8,,,
177,1994-10,,25.2,34.1,89.4,,,6.8,,,
178,1994-11,,24.5,32.5,78.9,,,10.8,,,
179,1994-12,,,,,,,,,,
180,1995-01,,22.4,31.2,118.7,0.0,,13.0,,,
181,1995-02,,22.6,31.8,69.9,0.0,,9.0,,,
182,1995-03,,21.7,31.2,,,,,,,
183,1995-04,,23.7,33.2,35.6,0.0,,,,,
184,1995-05,,,,64.3,0.0,,,,,
185,1995-06,,25.3,34.3,120.7,0.0,,,,,
186,1995-07,,,,,,,,,,
187,1995-08,,25.4,33.9,87.4,0.0,,,,,
188,1995-09,,,,,,,,,,
189,1995-10,,,,,,,,,,
190,1995-11,,,,,,,,,,
191,1995-12,,,,,,,,,,
192,1996-01,,,,,,,,,,
193,1996-02,,22.6,31.2,,0.0,,,,,
194,1996-03,,,,,,,,,,
195,1996-04,,,31.8,,,,,,,
196,1996-05,,,,,,,,,,
197,1996-06,,26.2,33.9,,,,,,,
198,1996-07,,,,,,,,,,
199,1996-08,,,,,,,,,,
200,1996-09,,,,,,,,,,
201,1996-10,,,,,,,,,,
202,1996-11,,,,,,,,,,
203,1996-12,,,,,,,,,,
204,1997-01,,,,,,,,,,
205,1997-02,,,,,,,,,,
206,1997-03,,,,,,,,,,
207,1997-04,,,,,,,,,,
208,1997-05,,,,,,,,,,
209,1997-06,,,,,,,,,,
210,1997-07,,,,,,,,,,
211,1997-08,,,,,,,,,,
212,1997-09,,,,,,,,,,
213,1997-10,,,,,,,,,,
214,1997-11,,,,,,,,,,
215,1997-12,,,,,,,,,,
216,1998-01,,,,,,,,,,
217,1998-02,,,,,,,,,,
218,1998-03,,,,,,,,,,
219,1998-04,,,,,,,,,,
220,1998-05,,,,,,,,,,
221,1998-06,,,,,,,,,,
222,1998-07,,,,,,,,,,
223,1998-08,,,,,,,,,,
224,1998-09,29.1,26.3,31.6,188.3,,,17.9,,,
225,1998-10,,,,206.2,,,,,,
226,1998-11,27.6,24.8,30.0,138.0,,,15.7,,,
227,1998-12,26.7,23.8,29.2,151.0,,,20.9,,,
228,1999-01,25.7,22.8,28.3,50.6,,,17.3,,,
229,1999-02,24.7,21.7,27.4,27.5,,,15.5,,,
230,1999-03,25.6,22.6,28.4,27.1,,,15.6,,1015.7,
231,1999-04,26.6,23.4,29.4,,,,14.9,,1016.2,
232,1999-05,28.2,25.8,30.3,23.4,,,14.4,,1016.0,
233,1999-06,28.7,26.0,31.2,93.2,,,16.1,,,
234,1999-07,28.1,24.9,31.2,65.1,,,16.9,,,
235,1999-08,,25.6,31.6,159.0,,,15.1,,,
236,1999-09,28.8,26.1,31.3,112.5,,,14.6,,1012.7,
237,1999-10,,25.5,30.4,171.5,,,15.3,,,
238,1999-11,26.7,23.8,29.6,206.0,,,14.9,,,
239,1999-12,25.7,22.9,28.0,143.3,,,19.5,,,
240,2000-01,25.1,22.0,27.9,40.0,,,20.0,,1017.5,
241,2000-02,25.0,22.0,27.8,51.4,,,16.5,,1018.7,
242,2000-03,,21.7,27.7,19.5,,,16.0,,,
243,2000-04,26.4,23.5,29.0,14.7,,,18.6,,1016.8,
244,2000-05,27.2,24.3,29.7,89.4,,,16.4,,,
245,2000-06,28.0,25.2,30.5,39.5,,,19.0,,,
246,2000-07,28.5,25.5,31.3,55.1,,,17.7,,1016.6,
247,2000-08,28.8,25.9,31.4,102.6,,,18.5,,1015.8,
248,2000-09,28.3,25.6,30.8,97.6,,,13.5,,1013.7,
249,2000-10,27.9,25.1,30.5,96.0,,,8.0,,,
250,2000-11,27.5,24.3,30.2,70.6,,,13.8,,1013.8,
251,2000-12,26.6,23.7,29.1,28.5,,,17.4,,1016.8,
252,2001-01,25.8,22.8,28.6,58.3,,,14.4,,1017.8,
253,2001-02,25.7,22.6,28.5,41.4,,,18.0,,1018.4,
254,2001-03,25.9,23.2,28.4,37.4,,,15.0,,1016.7,
255,2001-04,26.1,23.1,28.9,56.5,,,16.1,,,
256,2001-05,26.1,,,99.7,,,16.9,,1015.5,
257,2001-06,28.8,26.0,31.3,13.8,,,17.4,,1017.6,
