,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,2.8,-0.5,6.3,72.0,76.0,,,66.6,1019.8,5592.0
1,1980-02,2.3,-2.0,6.5,29.0,76.0,,,68.4,1019.2,11544.0
2,1980-03,7.9,2.9,12.9,128.0,51.0,,,,1017.2,11178.0
3,1980-04,15.6,10.4,20.9,83.0,0.0,,,79.6,1013.8,14484.0
4,1980-05,20.8,15.5,26.1,67.0,0.0,,,76.0,1013.8,19110.0
5,1980-06,,18.3,29.2,42.8,0.0,,,83.2,,21168.0
6,1980-07,27.9,23.1,32.8,60.0,0.0,,,70.2,1015.2,21918.0
7,1980-08,28.2,23.1,33.3,28.0,0.0,,,97.9,1016.9,19200.0
8,1980-09,,19.9,30.2,48.0,0.0,,,61.2,1018.7,16704.0
9,1980-10,15.5,10.6,20.3,66.0,0.0,,,83.2,1017.3,13266.0
10,1980-11,9.2,4.7,13.6,65.0,0.0,,,85.0,1019.3,10134.0
11,1980-12,4.3,0.0,8.6,17.0,0.0,,,85.0,1022.0,8196.0
12,1981-01,0.9,-3.6,4.7,9.0,51.0,,,70.2,1017.6,8526.0
13,1981-02,6.5,1.0,11.9,72.0,0.0,,,90.7,1022.3,8688.0
14,1981-03,8.7,3.4,14.0,38.0,0.0,,,88.9,1013.1,10878.0
15,1981-04,16.8,11.0,22.3,54.0,0.0,,,68.4,1018.5,13992.0
16,1981-05,19.0,13.7,24.3,89.0,0.0,,,74.2,1014.9,16530.0
17,1981-06,25.9,21.3,30.6,65.0,0.0,,,81.4,1014.7,18312.0
18,1981-07,26.8,22.5,31.0,145.0,0.0,,,79.6,1016.6,18624.0
19,1981-08,25.0,20.4,29.6,77.0,0.0,,,51.8,1017.7,17874.0
20,1981-09,,17.1,26.3,49.2,0.0,,,57.2,,13674.0
21,1981-10,14.6,9.6,19.6,92.0,0.0,,,79.6,1020.8,11334.0
22,1981-11,10.8,6.2,15.3,10.0,0.0,,,68.4,1017.0,9576.0
23,1981-12,3.6,-0.1,7.2,62.0,25.0,,,79.6,1016.9,6246.0
24,1982-01,-2.2,-6.6,2.3,58.0,76.0,,,81.4,1019.4,7842.0
25,1982-02,3.5,-1.0,8.0,113.0,76.0,,,72.0,1022.5,7686.0
26,1982-03,7.6,2.7,12.5,67.0,0.0,,,74.2,1019.6,10698.0
27,1982-04,12.2,6.1,18.3,81.0,0.0,,,92.5,1017.4,16002.0
28,1982-05,20.6,15.0,26.1,130.0,0.0,,,61.2,1017.2,17304.0
29,1982-06,22.7,18.4,26.9,137.0,0.0,,,74.2,1014.0,15756.0
30,1982-07,26.8,22.2,31.4,76.0,0.0,,,53.6,1017.0,17934.0
