,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,0.5,-2.8,6.2,40.0,,,,,1024.9,7020.0
1,1980-02,-0.2,-3.5,4.3,80.0,,,,,1026.0,5520.0
2,1980-03,7.3,2.8,12.8,60.3,,,,,1020.3,9420.0
3,1980-04,17.6,11.6,23.7,50.0,,,,,1013.9,13920.0
4,1980-05,21.3,14.9,28.1,35.0,,,,,1011.8,18600.0
5,1980-06,25.5,17.5,33.4,9.0,,,,,1007.8,22020.0
6,1980-07,28.4,19.4,37.6,0.5,,,,,1003.4,24120.0
7,1980-08,25.4,17.3,33.8,8.0,,,,,1007.4,21780.0
8,1980-09,20.4,12.6,29.3,0.0,,,,,1013.6,18360.0
9,1980-10,13.5,8.3,20.5,35.0,,,,,1019.5,11220.0
10,1980-11,11.5,7.6,17.4,41.0,,,,,1021.0,7080.0
11,1980-12,5.5,2.1,10.6,19.0,,,,,1023.1,4920.0
12,1981-01,4.7,1.3,9.2,53.0,,,,,1023.0,5280.0
13,1981-02,4.5,1.2,9.1,37.0,,,,,1022.1,4860.0
14,1981-03,10.9,6.6,16.4,91.0,,,,,1017.7,8340.0
15,1981-04,15.1,9.8,21.5,50.0,,,,,1015.4,12120.0
16,1981-05,20.0,13.8,26.9,52.0,,,,,1012.5,16920.0
17,1981-06,24.3,17.3,31.5,14.0,,,,,1007.9,20400.0
18,1981-07,27.5,20.2,34.7,16.0,,,,,1003.7,21120.0
19,1981-08,25.1,17.3,33.0,1.0,,,,,1006.8,22020.0
20,1981-09,20.1,12.8,28.3,9.0,,,,,1015.1,17760.0
21,1981-10,11.8,5.8,19.1,2.0,,,,,1023.6,
22,1981-11,8.9,3.9,15.7,44.0,,,,,1022.2,10680.0
23,1981-12,5.5,2.0,10.6,26.0,,,,,1024.4,6720.0
24,1982-01,2.0,-1.6,7.2,36.0,,,,,1024.0,6720.0
25,1982-02,2.7,-1.2,7.9,31.0,,,,,1022.2,8280.0
26,1982-03,7.2,2.8,12.9,102.0,,,,,1019.8,8580.0
27,1982-04,17.3,10.4,24.5,21.0,,,,,1015.0,16560.0
28,1982-05,21.5,14.1,29.0,16.0,,,,,1014.5,18420.0
29,1982-06,25.4,17.0,33.3,17.0,,,,,1007.9,22140.0
30,1982-07,26.9,19.1,34.8,2.0,,,,,1004.2,22500.0
31,1982-08,25.4,17.4,33.7,0.5,,,,,1006.9,21060.0
32,1982-09,19.5,12.5,27.9,18.0,,,,,1015.1,17220.0
33,1982-10,13.2,8.2,20.1,77.0,,,,,1020.7,9900.0
34,1982-11,2.9,-0.5,7.5,68.0,,,,,1027.6,4740.0
35,1982-12,1.0,-2.5,6.6,28.0,,,,,1027.2,
36,1983-01,2.2,-1.4,7.1,50.0,,,,,1024.5,4500.0
37,1983-02,6.7,1.8,13.4,43.0,,,,,1021.7,10440.0
38,1983-03,7.9,3.5,13.6,27.0,,,,,1020.6,
39,1983-04,16.3,10.3,22.6,18.0,,,,,1014.0,11280.0
40,1983-05,20.3,13.6,27.2,50.0,,,,,1012.1,15240.0
41,1983-06,25.9,18.2,33.4,10.0,,,,,1008.0,
42,1983-07,29.3,20.5,37.7,0.5,,,,,1002.6,21900.0
43,1983-08,27.1,18.9,35.7,0.5,,,,,1004.8,19500.0
44,1983-09,20.4,12.7,28.7,0.5,,,,,1017.8,17340.0
45,1983-10,13.3,6.8,21.5,0.5,,,,,1021.1,14640.0
46,1983-11,10.8,5.9,17.9,53.0,,,,,1023.2,7440.0
47,1983-12,2.9,-0.2,7.9,63.0,,,,,1026.8,5760.0
48,1984-01,0.1,-3.0,4.6,18.0,,,,,1026.6,5520.0
49,1984-02,-5.1,-8.9,-0.2,44.0,,,,,1033.0,6420.0
50,1984-03,8.1,4.4,13.3,111.0,,,,,1012.5,7020.0
51,1984-04,14.9,9.3,21.1,24.0,,,,,1014.8,13320.0
52,1984-05,20.8,14.0,27.9,18.0,,,,,1011.2,17940.0
53,1984-06,26.0,18.0,33.9,9.0,,,,,1005.4,21540.0
54,1984-07,29.0,20.4,37.7,0.0,,,,,1001.0,23820.0
55,1984-08,27.6,18.9,36.9,0.0,,,,,1003.1,22680.0
56,1984-09,19.2,11.9,27.9,0.5,,,,,1014.4,17580.0
57,1984-10,13.2,7.2,21.1,37.0,,,,,1021.5,13200.0
58,1984-11,8.4,4.0,14.4,77.0,,,,,1023.1,7020.0
59,1984-12,-6.8,-10.3,-1.5,30.0,,,,,1035.5,7440.0
60,1985-01,0.1,-3.4,4.9,63.0,,,,,1025.2,6300.0
61,1985-02,6.0,1.5,12.4,64.0,,,,,1016.2,7020.0
62,1985-03,6.3,2.4,11.4,82.0,,,,,1024.7,9360.0
63,1985-04,17.1,11.1,24.3,44.0,,,,,1013.3,15120.0
64,1985-05,20.6,14.0,27.6,33.0,,,,,1011.8,19020.0
65,1985-06,26.5,17.9,34.4,0.0,,,,,1004.9,23460.0
66,1985-07,28.6,20.1,36.5,0.5,,,,,1008.4,19320.0
67,1985-08,25.0,16.9,33.2,0.5,,,,,1007.6,22320.0
68,1985-09,21.0,12.6,30.6,0.0,,,,,1013.1,19920.0
69,1985-10,12.2,6.6,19.6,26.0,,,,,1020.6,
70,1985-11,6.2,1.1,13.7,6.0,,,,,1026.3,11520.0
71,1985-12,4.3,1.2,8.8,42.0,,,,,1024.7,4560.0
72,1986-01,4.6,0.9,10.1,42.0,,,,,1023.5,7680.0
73,1986-02,4.9,1.5,10.1,22.0,,,,,1022.8,7800.0
74,1986-03,5.4,1.1,11.4,47.0,,,,,1023.7,10500.0
75,1986-04,15.0,9.2,22.0,33.0,,,,,1017.4,15120.0
76,1986-05,21.8,14.7,29.3,20.0,,,,,1011.9,19440.0
77,1986-06,25.0,17.4,32.7,6.0,,,,,1005.5,20640.0
78,1986-07,27.8,18.9,36.5,5.0,,,,,1005.0,23760.0
79,1986-08,24.7,17.6,34.1,0.0,,,,,1008.2,
80,1986-09,21.9,14.3,31.1,14.0,,,,,1013.3,18240.0
81,1986-10,14.1,8.5,22.2,40.0,,,,,1021.4,14100.0
82,1986-11,7.3,3.5,13.4,17.0,,,,,1024.9,7560.0
83,1986-12,3.0,-0.8,8.4,99.0,,,,,1024.2,
84,1987-01,5.1,1.2,10.8,45.0,,,,,1024.6,7080.0
85,1987-02,5.9,1.7,12.0,25.0,,,,,1023.7,6300.0
86,1987-03,10.0,6.7,14.2,158.0,,,,,1016.3,6780.0
87,1987-04,12.9,8.3,18.6,129.0,,,,,1018.1,10440.0
88,1987-05,20.3,13.4,27.4,21.0,,,,,1013.8,21300.0
89,1987-06,24.3,17.0,32.0,5.0,,,,,1009.2,22080.0
90,1987-07,26.1,19.4,33.6,14.0,,,,,1006.5,20700.0
91,1987-08,27.3,19.3,35.8,0.5,,,,,1005.3,22860.0
92,1987-09,19.9,12.7,28.4,11.0,,,,,1015.1,17820.0
93,1987-10,9.5,4.4,15.9,49.0,,,,,1025.8,11640.0
94,1987-11,7.0,2.8,13.1,26.0,,,,,1025.0,6300.0
95,1987-12,6.7,2.6,12.9,47.0,,,,,1023.8,6000.0
96,1988-01,2.2,-1.0,7.0,67.0,,,,,1024.5,6480.0
97,1988-02,3.2,-0.8,8.5,42.0,,,,,1024.4,8400.0
98,1988-03,8.2,4.0,13.9,65.0,,,,,1017.1,10500.0
99,1988-04,17.4,12.0,23.7,44.0,,,,,1015.9,13920.0
100,1988-05,18.8,12.5,25.4,34.0,,,,,1013.9,17580.0
101,1988-06,27.2,19.2,34.8,0.5,,,,,1005.1,22860.0
102,1988-07,28.9,20.4,37.0,0.5,,,,,1002.2,23940.0
103,1988-08,25.4,17.8,33.5,0.5,,,,,1005.6,21840.0
104,1988-09,20.6,13.0,29.4,10.0,,,,,1013.6,19020.0
105,1988-10,13.0,6.5,21.0,16.0,,,,,1021.4,14760.0
106,1988-11,11.6,6.4,18.9,23.0,,,,,1022.2,8460.0
107,1988-12,6.6,2.8,12.7,14.0,,,,,1021.5,6180.0
108,1989-01,-0.9,-4.1,4.0,59.0,,,,,1024.0,6180.0
109,1989-02,-0.8,-4.4,4.4,33.0,,,,,1028.1,7920.0
110,1989-03,10.1,5.1,16.6,60.0,,,,,1017.9,12840.0
111,1989-04,12.8,6.2,20.0,48.0,,,,,1019.1,18000.0
112,1989-05,19.0,12.3,25.8,37.0,,,,,1015.3,18600.0
113,1989-06,25.6,17.4,33.4,0.5,,,,,1006.9,22860.0
114,1989-07,28.1,20.2,36.1,2.0,,,,,1004.1,23280.0
115,1989-08,26.2,17.8,35.0,0.0,,,,,1005.9,22560.0
116,1989-09,19.2,11.8,27.9,5.0,,,,,1013.0,17640.0
117,1989-10,15.3,8.7,23.7,17.0,,,,,1019.8,12600.0
118,1989-11,7.4,2.8,14.5,70.0,,,,,1024.9,10500.0
119,1989-12,6.5,3.7,10.9,86.0,,,,,1022.4,4740.0
120,1990-01,-0.3,-3.5,4.1,77.0,,,,,1026.8,4740.0
121,1990-02,4.2,1.0,9.0,56.0,,,,,1022.3,6120.0
122,1990-03,9.1,4.6,14.6,34.0,,,,,1021.3,10200.0
123,1990-04,14.5,9.6,20.3,179.0,,,,,1014.7,12660.0
