,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,21.2,,,7.0,,,,,,13620.0
1,1980-02,20.7,,,2.0,,,,,,14160.0
2,1980-03,22.0,,,0.0,,,,,,15780.0
3,1980-04,24.8,,,68.0,,,,,,11460.0
4,1980-05,23.9,,,83.0,,,,,,9900.0
5,1980-06,23.7,,,102.0,,,,,,10320.0
6,1980-07,23.5,,,91.0,,,,,,10920.0
7,1980-08,22.9,,,151.0,,,,,,11640.0
8,1980-09,23.6,,,208.0,,,,,,10920.0
9,1980-10,23.2,,,76.0,,,,,,13380.0
10,1980-11,23.2,,,86.0,,,,,,13200.0
11,1980-12,21.6,,,10.0,,,,,,13740.0
12,1981-01,21.1,,,8.0,,,,,,14580.0
13,1981-02,,,,,,,,,,
14,1981-03,22.5,,,12.0,,,,,,13380.0
15,1981-04,22.4,,,268.0,,,,,,3180.0
16,1981-05,23.2,,,169.0,,,,,,7920.0
17,1981-06,22.7,,,159.0,,,,,,8460.0
18,1981-07,22.2,,,113.0,,,,,,10500.0
19,1981-08,22.5,,,119.0,,,,,,9000.0
20,1981-09,22.7,,,147.0,,,,,,11520.0
21,1981-10,22.7,,,96.0,,,,,,9660.0
22,1981-11,23.1,,,26.0,,,,,,13140.0
23,1981-12,22.2,,,,,,,,,13080.0
24,1982-01,21.8,,,58.0,,,,,,14220.0
25,1982-02,21.5,,,6.0,,,,,,9300.0
26,1982-03,21.5,,,0.0,,,,,,11760.0
27,1982-04,22.3,,,66.0,,,,,,6780.0
28,1982-05,22.5,,,159.0,,,,,,8160.0
29,1982-06,22.3,,,231.0,,,,,,8640.0
30,1982-07,22.3,,,100.0,,,,,,10140.0
31,1982-08,22.5,,,61.0,,,,,,12540.0
32,1982-09,22.3,,,99.0,,,,,,11100.0
33,1982-10,22.8,,,60.0,,,,,,11880.0
34,1982-11,22.6,,,28.0,,,,,,12240.0
35,1982-12,22.1,,,15.0,,,,,,9660.0
36,1983-01,21.6,,,26.0,,,,,,12960.0
37,1983-02,22.4,,,1.0,,,,,,13620.0
38,1983-03,23.9,,,0.0,,,,,,15120.0
39,1983-04,23.8,,,58.0,,,,,,7740.0
40,1983-05,23.4,,,95.0,,,,,,6180.0
41,1983-06,23.3,,,130.0,,,,,,8340.0
42,1983-07,22.9,,,85.0,,,,,,10740.0
43,1983-08,23.0,,,78.0,,,,,,12060.0
44,1983-09,23.3,,,85.0,,,,,,13020.0
45,1983-10,22.8,,,105.0,,,,,,11820.0
46,1983-11,22.6,,,13.0,,,,,,14220.0
47,1983-12,22.1,,,1.0,,,,,,12420.0
48,1984-01,21.3,,,12.0,,,,,,11880.0
49,1984-02,21.9,,,12.0,,,,,,12960.0
50,1984-03,22.4,,,1.0,,,,,,14520.0
51,1984-04,23.3,,,44.0,,,,,,7380.0
52,1984-05,22.9,,,25.0,,,,,,11880.0
53,1984-06,23.4,,,46.0,,,,,,11460.0
54,1984-07,22.4,,,186.0,,,,,,11100.0
55,1984-08,22.7,,,111.0,,,,,,11220.0
56,1984-09,22.8,,,152.0,,,,,,10440.0
57,1984-10,22.3,,,400.0,,,,,,10020.0
58,1984-11,22.1,,,77.0,,,,,,9720.0
59,1984-12,,,,,,,,,,
60,1985-01,20.2,,,3.0,,,,,,12900.0
61,1985-02,20.9,,,13.0,,,,,,11880.0
62,1985-03,21.6,,,12.0,,,,,,10440.0
63,1985-04,22.7,,,86.0,,,,,,9060.0
