,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,26.9,23.7,30.6,237.0,,,,,1007.8,12420.0
1,1980-02,,24.6,31.1,,,,,,,
2,1980-03,27.5,24.5,30.6,503.0,,,,,1006.5,10680.0
3,1980-04,27.4,24.4,30.5,192.0,,,,,1007.9,12840.0
4,1980-05,,24.2,29.1,,,,,,,
5,1980-06,26.6,24.2,29.0,176.0,,,,,1010.8,11580.0
6,1980-07,,23.8,29.1,,,,,,,
7,1980-08,,23.7,28.7,,,,,,,
8,1980-09,26.5,24.0,29.2,363.0,,,,,1011.2,
9,1980-10,,24.2,29.7,,,,,,,
10,1980-11,26.7,24.1,29.5,387.0,,,,,1009.1,10020.0
11,1980-12,27.3,24.4,30.4,338.0,,,,,1008.3,11460.0
12,1981-01,27.4,24.2,30.9,357.0,,,,,1007.7,11400.0
13,1981-02,,24.1,30.3,,,,,,,
14,1981-03,27.1,23.9,30.3,320.0,,,,,1007.5,
15,1981-04,26.4,23.8,29.5,,,,,,1009.2,8040.0
16,1981-05,26.8,24.3,29.7,306.0,,,,,1010.8,12360.0
17,1981-06,26.5,24.4,29.3,200.0,,,,,1011.4,12480.0
18,1981-07,26.1,23.9,28.5,127.0,,,,,1011.7,12960.0
19,1981-08,26.6,23.8,29.1,,,,,,,
20,1981-09,26.2,23.9,28.8,334.0,,,,,1011.4,9780.0
21,1981-10,26.1,23.2,29.1,542.0,,,,,1010.6,9060.0
22,1981-11,27.1,23.9,30.0,269.0,,,,,1009.5,12720.0
23,1981-12,27.0,24.0,30.2,,,,,,,10740.0
24,1982-01,27.0,24.0,30.3,533.0,,,,,1008.3,9300.0
25,1982-02,27.0,24.3,30.0,444.0,,,,,1007.8,10020.0
26,1982-03,27.4,24.4,30.7,159.0,,,,,1008.9,13740.0
27,1982-04,27.1,23.5,31.1,113.0,,,,,1009.8,15420.0
28,1982-05,27.2,24.6,30.1,231.0,,,,,1010.3,
29,1982-06,26.9,24.1,29.8,156.0,,,,,1010.7,12900.0
30,1982-07,26.4,23.8,29.1,365.0,,,,,1010.4,11040.0
31,1982-08,26.0,24.1,28.3,482.0,,,,,1010.1,9120.0
32,1982-09,26.1,24.1,28.7,109.0,,,,,1011.4,10800.0
33,1982-10,26.7,24.3,29.4,321.0,,,,,1010.6,11940.0
34,1982-11,26.5,24.1,29.0,913.0,,,,,1008.6,7020.0
35,1982-12,26.7,23.7,30.0,100.0,,,,,1009.3,16440.0
36,1983-01,27.4,24.7,30.5,281.0,,,,,1007.2,11040.0
37,1983-02,27.7,24.7,30.9,271.0,,,,,1008.5,10200.0
38,1983-03,27.3,24.4,30.6,556.0,,,,,1009.2,9420.0
39,1983-04,27.0,24.0,29.9,245.0,,,,,1010.6,13500.0
40,1983-05,27.0,24.6,29.7,178.0,,,,,1010.4,13740.0
41,1983-06,26.3,23.8,28.9,93.0,,,,,1012.0,12480.0
42,1983-07,25.8,23.4,28.5,24.0,,,,,1012.1,13020.0
43,1983-08,25.9,23.7,28.8,128.0,,,,,1013.4,14100.0
44,1983-09,26.6,24.7,29.3,71.0,,,,,1012.6,12840.0
45,1983-10,26.6,24.2,29.2,192.0,,,,,1011.1,11640.0
46,1983-11,26.9,23.9,30.1,208.0,,,,,1010.4,13380.0
47,1983-12,26.7,24.0,29.9,897.0,,,,,1008.8,10140.0
48,1984-01,26.6,23.6,29.9,451.0,,,,,1009.3,11460.0
49,1984-02,27.1,23.7,30.7,320.0,,,,,1008.2,11940.0
50,1984-03,26.6,23.7,30.0,560.0,,,,,1008.9,7320.0
51,1984-04,27.4,24.3,30.6,166.0,,,,,1010.2,14700.0
52,1984-05,27.5,25.0,30.0,118.0,,,,,1010.8,13020.0
53,1984-06,27.0,24.8,29.2,264.8,,,,,,
54,1984-07,26.0,23.9,28.6,188.0,,,,,1011.7,12720.0
