,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1980-01,20.8,,,179.0,,,,,,15420.0
1,1980-02,21.0,,,83.0,,,,,,12420.0
2,1980-03,19.1,,,98.0,,,,,,13860.0
3,1980-04,18.2,,,12.0,,,,,,13320.0
4,1980-05,16.5,,,,,,,,,
5,1980-06,11.8,,,0.0,,,,,,17520.0
6,1980-07,11.5,,,1.0,,,,,,18000.0
7,1980-08,14.3,,,0.0,,,,,,18060.0
8,1980-09,19.2,,,,,,,,,
9,1980-10,19.7,,,44.0,,,,,,17580.0
10,1980-11,21.1,,,93.0,,,,,,13560.0
11,1980-12,,,,,,,,,,
12,1981-01,20.5,,,173.0,,,,,,11520.0
13,1981-02,19.8,,,,,,,,,
14,1981-03,19.3,,,157.5,,,,,,
15,1981-04,16.7,,,75.0,,,,,,14160.0
16,1981-05,13.9,,,6.0,,,,,,14760.0
17,1981-06,11.7,,,0.0,,,,,,18420.0
18,1981-07,11.9,7.1,20.7,0.0,,,,,,13080.0
19,1981-08,15.1,9.6,24.1,0.0,,,,,,19140.0
20,1981-09,17.5,12.3,25.6,17.0,,,,,,16920.0
21,1981-10,18.9,13.6,26.1,33.0,,,,,,16020.0
22,1981-11,21.3,16.5,28.0,106.0,,,,,,14220.0
23,1981-12,20.7,16.2,27.4,83.0,,,,,,16620.0
24,1982-01,20.3,16.6,26.4,135.0,,,,,,12660.0
25,1982-02,20.1,16.0,26.0,136.0,,,,,,11580.0
26,1982-03,20.1,15.1,27.2,33.0,,,,,,16500.0
27,1982-04,18.5,14.1,25.6,54.0,,,,,,15360.0
28,1982-05,14.7,10.3,22.8,16.0,,,,,,15600.0
29,1982-06,13.5,8.6,21.9,1.0,,,,,,16020.0
30,1982-07,13.0,,,2.0,,,,,,16260.0
31,1982-08,14.8,,,0.0,,,,,,18840.0
32,1982-09,17.6,,,9.0,,,,,,17220.0
33,1982-10,19.2,,,103.0,,,,,,15960.0
34,1982-11,21.7,,,34.0,,,,,,14520.0
35,1982-12,21.7,,,87.0,,,,,,15900.0
36,1983-01,21.9,,,149.0,,,,,,13920.0
37,1983-02,20.9,,,80.0,,,,,,14100.0
38,1983-03,20.9,,,108.0,,,,,,
39,1983-04,19.3,,,6.0,,,,,,15000.0
40,1983-05,17.3,,,22.0,,,,,,16440.0
41,1983-06,14.4,,,6.0,,,,,,15840.0
42,1983-07,13.7,,,3.0,,,,,,16800.0
43,1983-08,14.2,8.6,22.5,3.0,,,,,,17880.0
44,1983-09,19.6,13.4,28.2,0.0,,,,,,19260.0
45,1983-10,20.0,14.5,27.2,18.0,,,,,,16020.0
46,1983-11,22.5,17.1,29.5,34.0,,,,,,14820.0
47,1983-12,20.3,16.6,26.1,132.0,,,,,,11580.0
48,1984-01,20.8,16.1,27.4,132.0,,,,,,17340.0
49,1984-02,20.1,16.1,26.7,100.0,,,,,,13920.0
50,1984-03,19.6,16.0,25.8,129.0,,,,,,12300.0
51,1984-04,18.1,13.9,25.4,31.0,,,,,,15540.0
52,1984-05,15.9,12.0,23.4,31.0,,,,,,15720.0
53,1984-06,13.0,8.6,20.6,0.0,,,,,,14040.0
54,1984-07,13.9,9.1,21.1,0.0,,,,,,13140.0
55,1984-08,14.6,9.3,23.3,0.0,,,,,,18840.0
56,1984-09,19.1,13.5,28.0,10.0,,,,,,17700.0
57,1984-10,21.2,16.0,28.7,17.0,,,,,,16200.0
58,1984-11,20.0,15.8,26.0,118.0,,,,,,11880.0
59,1984-12,20.2,16.2,25.6,151.0,,,,,,11100.0
60,1985-01,21.7,16.8,25.5,465.0,,,,,,9780.0
61,1985-02,19.1,16.0,25.2,140.0,,,,,,12000.0
62,1985-03,19.6,16.1,26.5,215.0,,,,,,12600.0
63,1985-04,17.0,12.9,24.9,5.0,,,,,,15180.0
64,1985-05,14.4,10.8,22.9,3.0,,,,,,14040.0
65,1985-06,11.8,7.9,20.8,0.0,,,,,,15840.0
66,1985-07,12.6,8.5,21.2,9.0,,,,,,16680.0
67,1985-08,14.5,9.2,22.6,0.0,,,,,,17820.0
68,1985-09,18.5,13.1,26.1,5.0,,,,,,15540.0
69,1985-10,20.0,14.1,27.1,31.0,,,,,,17400.0
70,1985-11,19.9,15.1,26.6,25.0,,,,,,13440.0
71,1985-12,19.8,16.5,25.2,272.0,,,,,,8100.0
72,1986-01,19.6,16.2,25.3,342.0,,,,,,10500.0
73,1986-02,20.1,15.8,25.8,114.0,,,,,,11640.0
74,1986-03,19.6,15.4,25.9,109.0,,,,,,14640.0
75,1986-04,18.6,14.6,24.0,88.0,,,,,,12060.0
76,1986-05,16.0,10.6,23.5,0.0,,,,,,16860.0
77,1986-06,14.5,7.7,21.2,0.0,,,,,,16800.0
78,1986-07,14.0,7.5,21.1,0.0,,,,,,17880.0
79,1986-08,16.8,10.1,24.2,0.0,,,,,,
80,1986-09,19.1,12.5,26.6,0.0,,,,,,17580.0
81,1986-10,20.3,15.3,27.5,19.0,,,,,,15000.0
82,1986-11,21.2,16.1,28.0,86.0,,,,,,15600.0
83,1986-12,20.4,16.3,26.6,197.0,,,,,,12900.0
84,1987-01,20.9,16.6,26.9,122.0,,,,,,14880.0
85,1987-02,22.1,17.0,27.9,58.0,,,,,,15540.0
86,1987-03,20.3,16.6,28.1,107.0,,,,,,15840.0
87,1987-04,17.9,14.1,27.3,0.0,,,,,,18540.0
88,1987-05,16.5,12.1,25.2,1.0,,,,,,16200.0
89,1987-06,13.3,8.0,21.2,0.0,,,,,,17760.0
90,1987-07,12.3,7.7,21.7,0.0,,,,,,19320.0
91,1987-08,15.8,10.7,23.4,0.0,,,,,,15600.0
92,1987-09,19.7,14.3,27.3,1.0,,,,,,16800.0
93,1987-10,20.1,14.2,28.0,38.0,,,,,,17880.0
94,1987-11,22.9,17.2,30.0,9.0,,,,,,16620.0
95,1987-12,21.1,17.8,26.7,312.0,,,,,,10200.0
96,1988-01,21.3,17.1,27.3,176.0,,,,,,15240.0
97,1988-02,20.4,16.8,25.8,91.0,,,,,,11400.0
98,1988-03,19.7,16.2,25.6,187.0,,,,,,12600.0
99,1988-04,19.3,15.3,26.2,30.0,,,,,,14340.0
100,1988-05,15.4,11.1,22.8,0.0,,,,,,14700.0
101,1988-06,13.9,9.8,22.0,25.0,,,,,,15840.0
102,1988-07,13.2,8.8,21.7,1.0,,,,,,17460.0
103,1988-08,14.5,9.4,24.0,0.0,,,,,,18960.0
104,1988-09,18.4,12.2,27.2,0.0,,,,,,18960.0
105,1988-10,20.4,15.6,27.4,59.0,,,,,,16560.0
106,1988-11,19.5,14.6,26.5,69.0,,,,,,14820.0
107,1988-12,20.1,15.9,25.9,80.0,,,,,,12420.0
